"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Dorchester School District 4, South Carolina","4500002",13726,2854,10872,2491,1354,2194,1813,1498,710,273,539,10108,2084,8024,1847,1137,1672,1269,1061,533,152,353,3390,759,2631,579,206,497,507,392,177,100,173,65,0,65,4,0,4,23,0,0,21,13,163,11,152,61,11,21,14,45,0,0,0
"Marion School District 7, South Carolina","4500012",5161,858,4303,1290,710,956,610,313,208,9,207,3957,523,3434,1097,650,668,477,211,152,9,170,847,267,580,172,43,82,109,81,56,0,37,21,0,21,21,0,0,0,0,0,0,0,336,68,268,0,17,206,24,21,0,0,0
"Abbeville County School District, South Carolina","4500690",19874,2697,17177,4367,2452,3612,2687,1856,1343,362,498,14938,2060,12878,3250,1968,2722,2017,1396,1040,189,296,4532,596,3936,1034,484,797,631,426,257,171,136,157,0,157,28,0,8,7,18,36,0,60,247,41,206,55,0,85,32,16,10,2,6
"Aiken County School District, South Carolina","4500720",132575,20437,112138,24581,13098,19429,15268,15103,9090,3704,11865,56843,9612,47231,11252,5767,9222,6847,6258,3328,1213,3344,69317,9585,59732,12192,6693,9087,7854,8410,5386,2331,7779,1250,112,1138,303,146,58,141,64,99,43,284,5165,1128,4037,834,492,1062,426,371,277,117,458
"Allendale County School District, South Carolina","4500750",8524,3000,5524,1510,992,1207,599,441,468,137,170,6848,2461,4387,1249,833,939,491,297,322,137,119,1484,487,997,256,142,209,59,134,146,0,51,27,16,11,1,0,10,0,0,0,0,0,165,36,129,4,17,49,49,10,0,0,0
"Anderson School District 1, South Carolina","4500780",38513,5509,33004,5899,3647,5849,5197,5089,3433,1194,2696,24760,3569,21191,4289,2377,3755,3289,3260,2046,731,1444,12612,1713,10899,1511,1226,1922,1609,1671,1317,444,1199,302,70,232,18,32,38,84,15,33,12,0,839,157,682,81,12,134,215,143,37,7,53
"Anderson School District 2, South Carolina","4500810",18764,2759,16005,3144,2398,3053,2377,2183,1344,535,971,13868,1928,11940,2502,1641,2434,1810,1741,969,297,546,4530,753,3777,557,677,600,525,442,349,238,389,130,0,130,45,13,0,42,0,12,0,18,236,78,158,40,67,19,0,0,14,0,18
"Anderson School District 3, South Carolina","4500840",12229,1811,10418,2595,1675,2607,1419,1235,409,183,295,8936,1503,7433,1889,1118,1873,1105,867,252,125,204,3125,308,2817,669,557,700,289,307,157,58,80,86,0,86,0,0,11,14,61,0,0,0,82,0,82,37,0,23,11,0,0,0,11
"Anderson School District 4, South Carolina","4500870",17345,2010,15335,3204,1543,2759,2317,2388,1209,705,1210,10608,1360,9248,2050,958,1799,1523,1389,548,401,580,6075,532,5543,1048,564,884,719,857,615,290,566,134,8,126,32,0,0,19,43,18,14,0,528,110,418,74,21,76,56,99,28,0,64
"Anderson School District 5, South Carolina","4500900",63509,7622,55887,13271,6921,10724,8295,6659,4696,1353,3968,40288,5382,34906,8733,4898,6566,5294,4021,2742,736,1916,19450,1772,17678,3873,1679,3337,2449,2355,1663,569,1753,728,37,691,216,9,146,146,29,72,0,73,3043,431,2612,449,335,675,406,254,219,48,226
"Bamberg School District 1, South Carolina","4500930",6889,1083,5806,1520,732,1026,1017,752,381,156,222,5255,683,4572,1083,692,722,844,604,325,124,178,1462,400,1062,368,23,263,173,132,56,27,20,37,0,37,21,0,0,0,16,0,0,0,135,0,135,48,17,41,0,0,0,5,24
"Bamberg School District 2, South Carolina","4500960",6204,1557,4647,1538,558,1019,453,492,189,220,178,4880,1219,3661,1113,493,811,399,386,110,220,129,1243,332,911,419,65,157,42,106,73,0,49,0,0,0,0,0,0,0,0,0,0,0,81,6,75,6,0,51,12,0,6,0,0
"Barnwell School District 19, South Carolina","4501020",4824,992,3832,1156,511,842,490,464,150,62,157,3872,804,3068,852,452,633,428,412,146,43,102,738,168,570,169,31,189,62,41,4,19,55,6,0,6,0,6,0,0,0,0,0,0,208,20,188,135,22,20,0,11,0,0,0
"Barnwell School District 29, South Carolina","4501050",4098,827,3271,758,494,585,434,431,255,166,148,3194,594,2600,595,371,472,346,390,182,139,105,904,233,671,163,123,113,88,41,73,27,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",8952,1833,7119,1883,872,1113,846,1000,711,152,542,6549,1459,5090,1468,606,879,575,637,488,125,312,2222,362,1860,389,251,232,269,310,206,27,176,97,12,85,14,15,0,0,22,0,0,34,84,0,84,12,0,2,2,31,17,0,20
"Beaufort County School District, South Carolina","4501110",132184,13011,119173,22175,13091,19092,15886,16358,11468,4423,16680,27500,3921,23579,6324,3247,3932,3390,2687,1729,777,1493,87028,6674,80354,13014,7232,11723,10088,11924,8921,3395,14057,1941,247,1694,410,193,291,223,217,134,77,149,15715,2169,13546,2427,2419,3146,2185,1530,684,174,981
"Berkeley County School District, South Carolina","4501170",142187,19821,122366,25176,12952,21578,17456,18672,12066,3756,10710,65558,10428,55130,13339,6132,9809,8250,8219,4688,1322,3371,64365,7182,57183,9811,5465,9410,8078,8964,6561,2202,6692,2260,521,1739,208,178,281,278,339,133,104,218,10004,1690,8314,1818,1177,2078,850,1150,684,128,429
"Calhoun County School District, South Carolina","4501250",12425,1582,10843,2367,1422,1875,1752,1604,777,271,775,9516,1342,8174,1913,992,1445,1389,1146,586,210,493,2661,222,2439,426,385,395,363,369,172,61,268,19,0,19,0,8,0,0,0,0,0,11,229,18,211,28,37,35,0,89,19,0,3
"Charleston County School District, South Carolina","4501440",290587,34715,255872,53890,25764,42104,36140,35856,21802,8458,31858,137262,19155,118107,30320,14336,21283,17316,14942,8019,2845,9046,131582,12443,119139,20387,9007,16360,16444,18637,12502,5064,20738,3449,358,3091,423,319,518,360,577,286,132,476,18294,2759,15535,2760,2102,3943,2020,1700,995,417,1598
"Cherokee County School District, South Carolina","4501500",42035,5894,36141,9774,4792,7506,4989,4487,2475,735,1383,28470,3946,24524,7097,3316,4926,3349,2921,1565,528,822,12013,1764,10249,2259,1368,2294,1393,1385,852,179,519,335,12,323,113,0,23,81,73,33,0,0,1217,172,1045,305,108,263,166,108,25,28,42
"Chester County School District, South Carolina","4501530",26572,4689,21883,5564,3305,4319,3013,2717,1559,527,879,19531,3501,16030,4268,2502,3140,2273,1990,1024,327,506,6672,1187,5485,1241,786,1118,622,705,503,155,355,55,0,55,0,0,2,12,19,11,0,11,314,1,313,55,17,59,106,3,21,45,7
"Chesterfield County School District, South Carolina","4501560",37034,5801,31233,7956,4597,6404,4647,4161,1654,523,1291,24986,4035,20951,5158,3373,4326,3149,2774,1048,303,820,10995,1626,9369,2604,1195,1667,1426,1249,594,186,448,40,2,38,9,0,10,19,0,0,0,0,1013,138,875,185,29,401,53,138,12,34,23
"Clarendon School District 1, South Carolina","4501740",7818,1012,6806,2351,1066,1248,783,674,322,130,232,5642,786,4856,1644,861,1007,572,401,119,117,135,2124,214,1910,702,199,219,211,273,196,13,97,19,12,7,0,0,0,0,0,7,0,0,33,0,33,5,6,22,0,0,0,0,0
"Clarendon School District 2, South Carolina","4501770",15138,2101,13037,3847,1783,2385,2021,1500,673,195,633,10632,1614,9018,2730,1230,1598,1403,1054,426,130,447,4217,479,3738,1056,499,754,555,416,220,52,186,62,0,62,32,18,0,0,0,12,0,0,227,8,219,29,36,33,63,30,15,13,0
"Clarendon School District 3, South Carolina","4501800",5517,1693,3824,1099,579,753,512,383,241,93,164,4408,1248,3160,862,495,622,413,332,222,82,132,897,391,506,142,67,116,99,20,19,11,32,24,24,0,0,0,0,0,0,0,0,0,188,30,158,95,17,15,0,31,0,0,0
"Colleton County School District, South Carolina","4501830",31014,4730,26284,7161,3746,5410,3385,3101,1736,421,1324,22435,3696,18739,5283,2688,3798,2395,2290,1243,258,784,7650,851,6799,1736,972,1401,881,682,452,152,523,100,42,58,13,21,0,0,17,0,7,0,829,141,688,129,65,211,109,112,41,4,17
"Darlington County School District, South Carolina","4501860",54966,8625,46341,11202,6526,8598,6872,5795,3362,1147,2839,43316,6904,36412,9091,5231,6706,5620,4509,2463,918,1874,10433,1475,8958,1953,1064,1625,1147,1163,872,229,905,203,70,133,33,24,55,0,9,4,0,8,1014,176,838,125,207,212,105,114,23,0,52
"Dillon School District 1, South Carolina","4501890",3925,559,3366,906,670,664,586,216,192,31,101,3241,485,2756,747,569,551,440,170,160,31,88,640,67,573,159,68,113,142,46,32,0,13,17,0,17,0,13,0,4,0,0,0,0,27,7,20,0,20,0,0,0,0,0,0
"Dillon School District 2, South Carolina","4501920",14378,2642,11736,3573,2032,2785,1291,1038,566,203,248,11248,2124,9124,2523,1700,2119,1058,869,499,160,196,2591,441,2150,747,311,545,233,152,67,43,52,26,0,26,9,0,0,0,17,0,0,0,513,77,436,294,21,121,0,0,0,0,0
"Dillon School District 3, South Carolina","4501950",6437,1153,5284,1539,787,1215,801,426,305,96,115,5418,986,4432,1390,635,1050,658,335,247,44,73,931,138,793,148,150,155,143,83,58,14,42,16,0,16,0,0,8,0,8,0,0,0,72,29,43,1,2,2,0,0,0,38,0
"Dorchester School District 2, South Carolina","4502010",92811,12512,80299,14420,7974,12217,11014,13349,9290,3401,8634,36463,6041,30422,6017,3558,5080,4761,4931,2799,1023,2253,48688,5298,43390,7032,3640,5960,5462,7480,5755,2160,5901,2313,279,2034,652,163,165,298,287,290,95,84,5347,894,4453,719,613,1012,493,651,446,123,396
"Edgefield County School District, South Carolina","4502070",22223,4494,17729,4488,2084,3284,2312,2352,1285,563,1361,10078,1873,8205,2126,1176,1745,1188,936,462,250,322,10805,1943,8862,2127,852,1373,1041,1378,817,313,961,122,39,83,19,0,0,0,4,6,0,54,1218,639,579,216,56,166,83,34,0,0,24
"Fairfield County School District, South Carolina","4502100",19439,3071,16368,4171,2322,3015,2268,1961,1163,463,1005,15415,2637,12778,3252,2000,2469,1948,1506,724,365,514,3683,408,3275,819,314,513,314,401,377,91,446,145,0,145,44,0,0,6,51,29,0,15,196,26,170,56,8,33,0,3,33,7,30
"Florence School District 1, South Carolina","4502130",78223,10228,67995,15299,7991,11606,9299,10216,5565,1819,6200,52360,7126,45234,11458,5539,7763,6461,6677,3273,1149,2914,23002,2615,20387,3565,2238,3322,2420,3300,2067,567,2908,573,59,514,73,24,51,170,71,16,47,62,2288,428,1860,203,190,470,248,168,209,56,316
