"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Dorchester School District 4, South Carolina","4500002",12092,2841,4740,3082,959,470,8802,2225,3468,2192,608,309,3066,553,1184,871,297,161,61,4,3,0,54,0,163,59,85,19,0,0
"Marion School District 7, South Carolina","4500012",4312,808,2211,857,278,158,3407,656,1724,645,234,148,705,79,360,212,44,10,21,0,21,0,0,0,179,73,106,0,0,0
"Abbeville County School District, South Carolina","4500690",16453,4035,5352,4997,1327,742,12312,3185,4173,3616,871,467,3790,760,1117,1297,413,203,157,38,25,57,30,7,194,52,37,27,13,65
"Aiken County School District, South Carolina","4500720",111597,17568,35333,32292,16846,9558,47167,9618,17756,12436,4767,2590,58759,6073,16542,18582,11297,6265,1042,160,157,419,212,94,4629,1717,878,855,570,609
"Allendale County School District, South Carolina","4500750",7092,1851,2618,1546,768,309,5639,1622,2137,1080,602,198,1317,145,445,450,166,111,16,13,0,3,0,0,120,71,36,13,0,0
"Anderson School District 1, South Carolina","4500780",32450,5552,11210,9839,4122,1727,19970,3789,7318,5815,2189,859,11545,1496,3722,3765,1758,804,206,9,86,39,55,17,729,258,84,220,120,47
"Anderson School District 2, South Carolina","4500810",16057,3339,5652,4940,1328,798,11503,2600,4117,3616,802,368,4206,585,1431,1288,490,412,112,40,29,12,31,0,236,114,75,24,5,18
"Anderson School District 3, South Carolina","4500840",10360,2737,4195,2703,503,222,7439,2125,2958,1935,322,99,2753,552,1174,746,181,100,86,29,46,11,0,0,82,31,17,11,0,23
"Anderson School District 4, South Carolina","4500870",15100,2143,4440,4658,2478,1381,8941,1579,2633,2853,1320,556,5518,411,1697,1611,1086,713,134,12,15,61,11,35,507,141,95,133,61,77
"Anderson School District 5, South Carolina","4500900",52878,9859,16413,15729,7187,3690,32677,7024,10938,9241,3682,1792,16897,2028,4524,5835,2948,1562,685,277,128,72,208,0,2619,530,823,581,349,336
