"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Dorchester School District 4, South Carolina","4500002",21674,20528,25594,72679,16429
"Marion School District 7, South Carolina","4500012",16180,14830,23409,2499,23146
"Abbeville County School District, South Carolina","4500690",19269,18678,19960,60489,22143
"Aiken County School District, South Carolina","4500720",24302,21722,27235,28553,19738
"Allendale County School District, South Carolina","4500750",17407,16321,20755,21125,19926
"Anderson School District 1, South Carolina","4500780",26970,25567,30011,27333,26913
"Anderson School District 2, South Carolina","4500810",22113,21529,25606,30603,12667
"Anderson School District 3, South Carolina","4500840",18597,18300,18732,35978,20435
"Anderson School District 4, South Carolina","4500870",25495,23417,29261,45152,29265
"Anderson School District 5, South Carolina","4500900",21682,20236,24837,20268,22579
"Bamberg School District 1, South Carolina","4500930",20948,21125,21262,2499,15231
"Barnwell School District 45, South Carolina","4501080",21396,19536,27071,36534,46364
"Beaufort County School District, South Carolina","4501110",27912,20247,32557,23680,20637
"Berkeley County School District, South Carolina","4501170",25655,22438,29813,32903,19715
"Calhoun County School District, South Carolina","4501250",23503,22547,25161,82841,35625
"Charleston County School District, South Carolina","4501440",26368,21484,33068,32490,21065
"Cherokee County School District, South Carolina","4501500",19036,18251,21109,27538,16722
"Chester County School District, South Carolina","4501530",19066,18009,21315,43472,26045
"Chesterfield County School District, South Carolina","4501560",19391,19092,20060,23750,20572
"Clarendon School District 2, South Carolina","4501770",17441,17318,17778,6667,26065
"Colleton County School District, South Carolina","4501830",18397,17544,20244,11905,21646
"Darlington County School District, South Carolina","4501860",21046,20415,24104,19875,19055
"Dillon School District 2, South Carolina","4501920",15810,16399,15253,35588,6912
"Dillon School District 3, South Carolina","4501950",17141,16521,21722,27500,71086
"Dorchester School District 2, South Carolina","4502010",29584,25881,33937,25554,22282
"Edgefield County School District, South Carolina","4502070",21451,19075,26308,98657,15391
"Fairfield County School District, South Carolina","4502100",20418,19642,24824,40781,21389
"Florence School District 1, South Carolina","4502130",24010,21979,29940,31536,27881
"Florence School District 2, South Carolina","4502160",19654,19844,17688,26875,20990
"Florence School District 3, South Carolina","4502190",16674,16549,16754,48229,21346
"Florence School District 4, South Carolina","4502220",19008,19561,22014,14844,15901
"Florence School District 5, South Carolina","4502250",20131,19163,28393,10208,59125
"Georgetown County School District, South Carolina","4502280",21384,17960,27827,27500,18179
"Greenville County School District, South Carolina","4502310",25130,22376,30153,26186,20353
"Greenwood School District 50, South Carolina","4502340",21267,20909,22002,35833,20302
"Greenwood School District 51, South Carolina","4502370",17748,17923,17290,26875,12578
"Greenwood School District 52, South Carolina","4502400",21576,20336,25328,9453,5893
"Hampton School District 1, South Carolina","4502430",20824,20744,20955,26146,25000
"Hampton School District 2, South Carolina","4502460",15528,16105,13407,8036,16719
"Horry County School District, South Carolina","4502490",22222,19742,24948,23006,18474
"Jasper County School District, South Carolina","4502520",20325,20134,21726,21453,17303
"Kershaw County School District, South Carolina","4502550",23925,23168,27001,20500,18534
"Lancaster County School District, South Carolina","4502580",22326,19767,27025,4756,25412
"Laurens School District 55, South Carolina","4502610",21383,20904,22477,48846,19547
"Laurens School District 56, South Carolina","4502640",19213,19569,19042,7935,16111
"Lee County School District, South Carolina","4502670",16614,16116,18575,9861,20357
"Lexington School District 1, South Carolina","4502700",31355,30662,34254,31074,21417
"Lexington School District 2, South Carolina","4502730",24482,24161,28483,31008,19543
"Lexington School District 3, South Carolina","4502760",22048,22238,22476,14306,14529
"Lexington School District 4, South Carolina","4502790",23233,21642,24833,53750,23512
"Lexington School District 5, South Carolina","4502820",35239,33825,36128,47055,33640
"Marion School District 2, South Carolina","4502880",17753,18542,15085,6875,14375
"Marlboro County School District, South Carolina","4502970",16822,16031,20306,14750,14583
"McCormick County School District, South Carolina","4503000",21285,17866,27294,26053,20000
"Newberry County School District, South Carolina","4503030",23335,22286,26088,34018,22124
"Oconee County School District, South Carolina","4503060",21807,19055,26394,20337,21909
"Orangeburg School District 3, South Carolina","4503150",15744,14736,18750,5375,22377
"Orangeburg School District 4, South Carolina","4503180",21380,21015,21600,21125,23626
"Orangeburg School District 5, South Carolina","4503210",18904,18343,19706,35068,26276
"Pickens County School District, South Carolina","4503330",18894,18052,20259,20708,17507
"Richland School District 1, South Carolina","4503360",20485,19463,22439,26765,20784
"Richland School District 2, South Carolina","4503390",31655,29135,36602,31616,24195
"Saluda County School District, South Carolina","4503460",21492,22135,20189,19089,20262
"Spartanburg School District 1, South Carolina","4503480",20844,19745,25038,40372,8605
"Spartanburg School District 2, South Carolina","4503510",24191,22513,27327,39417,21863
"Spartanburg School District 3, South Carolina","4503540",17959,16971,20492,65357,25234
"Spartanburg School District 4, South Carolina","4503570",20989,19514,25463,17059,21188
"Spartanburg School District 5, South Carolina","4503600",27615,25220,32347,9914,21396
"Spartanburg School District 6, South Carolina","4503630",23259,21944,26992,32283,18921
"Spartanburg School District 7, South Carolina","4503660",19083,17184,23181,13125,21971
"Union County School District, South Carolina","4503750",19429,18652,21516,9000,18500
"Williamsburg County School District, South Carolina","4503780",15565,16282,13093,8720,14250
"York School District 1, South Carolina","4503810",21937,21480,22475,28125,21846
"York School District 2, South Carolina","4503840",29921,24311,31667,52875,28402
"York School District 3, South Carolina","4503870",24406,22097,28020,31250,22312
"York School District 4, South Carolina","4503900",39022,35849,41054,58068,26092
"Sumter County Consolidated School District, South Carolina","4503902",22066,19002,30173,27768,20766
"Remainder of South Carolina, South Carolina","4599999",13787,17031,13702,12152,14943
