"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Dorchester School District 4, South Carolina","4500002",43.5,41,45.8,52.2,40.9
"Abbeville County School District, South Carolina","4500690",42.5,41.4,46.3,52,32.7
"Aiken County School District, South Carolina","4500720",40.2,39.5,40.9,40.2,38.6
"Allendale County School District, South Carolina","4500750",38.3,38.2,40,28.2,31.1
"Anderson School District 1, South Carolina","4500780",38.3,33.2,45.8,47.1,45.6
"Anderson School District 2, South Carolina","4500810",42.6,39.3,48.6,49.1,36.2
"Anderson School District 3, South Carolina","4500840",40.8,37.5,49.3,47.7,44.3
"Anderson School District 4, South Carolina","4500870",43.1,38.6,51,49.1,58.9
"Anderson School District 5, South Carolina","4500900",38.7,35.2,46.5,43.3,36
"Bamberg School District 1, South Carolina","4500930",40.4,38.7,46.5,25.9,43.9
"Barnwell School District 45, South Carolina","4501080",37.3,33.8,45.2,42.2,67.6
"Beaufort County School District, South Carolina","4501110",41.6,22.9,50.6,32.8,35.9
"Berkeley County School District, South Carolina","4501170",34.6,28.4,39.6,30.7,38.2
"Calhoun County School District, South Carolina","4501250",43.9,41.5,51.3,51.1,45
"Charleston County School District, South Carolina","4501440",35.8,30.3,40.6,36.6,35.5
"Cherokee County School District, South Carolina","4501500",38,36,41.9,41.6,36.9
"Chester County School District, South Carolina","4501530",40.3,37.9,44.6,48.1,55.6
"Chesterfield County School District, South Carolina","4501560",39.2,39.7,38.5,21.8,36.7
"Clarendon School District 1, South Carolina","4501740",51,48.9,56.7,60.8,68.6
"Clarendon School District 2, South Carolina","4501770",40,34.5,47.7,28.3,46.2
"Clarendon School District 3, South Carolina","4501800",34.8,33.1,45.2,32.1,38.4
"Colleton County School District, South Carolina","4501830",41,37.2,50.9,21.5,33.4
"Darlington County School District, South Carolina","4501860",39.3,37.6,47.1,42.7,36
"Dillon School District 1, South Carolina","4501890",41.1,38.4,50.9,21.7,48.3
"Dillon School District 2, South Carolina","4501920",37.9,36.6,39.6,41.8,40.3
"Dillon School District 3, South Carolina","4501950",36.1,34.9,39.9,34.5,38.1
"Dorchester School District 2, South Carolina","4502010",34.9,25.3,41,31.3,40.2
"Edgefield County School District, South Carolina","4502070",40.6,43,38.4,45,35.7
"Fairfield County School District, South Carolina","4502100",42.5,40.2,49.4,48.3,37.9
"Florence School District 1, South Carolina","4502130",37.3,33.3,44.2,41.1,39.4
"Florence School District 2, South Carolina","4502160",39.4,39.9,44.3,20.8,31.9
"Florence School District 3, South Carolina","4502190",39.2,37.9,43,51.5,42
"Florence School District 4, South Carolina","4502220",38,37.8,49.8,33.6,29.6
"Florence School District 5, South Carolina","4502250",35.4,35,41.9,14.7,38.6
"Georgetown County School District, South Carolina","4502280",45.6,39.4,55,39.8,41.9
"Greenville County School District, South Carolina","4502310",37.2,31.1,43.2,36.8,36.8
"Greenwood School District 50, South Carolina","4502340",37.3,34.5,44.6,44,31.7
"Greenwood School District 51, South Carolina","4502370",40.7,38.9,46,52.8,17.1
"Greenwood School District 52, South Carolina","4502400",42.9,40.8,47.2,41.5,55.8
"Hampton School District 1, South Carolina","4502430",39.4,38.5,42.4,49.8,58.3
"Hampton School District 2, South Carolina","4502460",37.3,39.8,35.9,31.9,36.1
"Horry County School District, South Carolina","4502490",41.4,28.6,49.1,36.5,35.4
"Jasper County School District, South Carolina","4502520",35.5,35.2,39.7,60.5,31.9
"Kershaw County School District, South Carolina","4502550",40.8,36,45.9,39.7,41.4
"Lancaster County School District, South Carolina","4502580",40.1,38.7,42.7,52,37.7
"Laurens School District 55, South Carolina","4502610",41,37.3,50.9,37.5,33.3
"Laurens School District 56, South Carolina","4502640",37.8,35.6,46.2,43.2,43.6
"Lee County School District, South Carolina","4502670",38.4,37.2,40.7,40.5,31.1
"Lexington School District 1, South Carolina","4502700",36.5,30.7,42.5,42,38
"Lexington School District 2, South Carolina","4502730",37.2,34.2,44.2,37.3,31.7
"Lexington School District 3, South Carolina","4502760",40.1,37,48.4,45.4,38.4
"Lexington School District 4, South Carolina","4502790",36.5,31,45.6,48.5,40.5
"Lexington School District 5, South Carolina","4502820",39.5,31.2,45.2,38.1,42.8
"Marion School District 2, South Carolina","4502880",42.2,40.5,46.7,21.8,74.2
"Marlboro County School District, South Carolina","4502970",39.1,39.7,38.4,35.6,38
"McCormick County School District, South Carolina","4503000",49.9,45.6,55.9,55.1,61.8
"Newberry County School District, South Carolina","4503030",39.9,38.8,48.7,50.2,32.4
"Oconee County School District, South Carolina","4503060",43.2,37,51.1,39.9,36.6
"Orangeburg School District 3, South Carolina","4503150",40.8,39,46,58.3,40.8
"Orangeburg School District 4, South Carolina","4503180",38.4,37.2,44.6,53.3,32
"Orangeburg School District 5, South Carolina","4503210",36.6,36.2,37.7,31.9,40
"Pickens County School District, South Carolina","4503330",34.8,31.4,40.8,24.6,32.8
"Richland School District 1, South Carolina","4503360",32.1,30.3,35,32.6,32.6
"Richland School District 2, South Carolina","4503390",35.1,28.9,40,36.4,39.9
"Saluda County School District, South Carolina","4503460",40.5,40.3,50.8,31.5,33
"Spartanburg School District 1, South Carolina","4503480",42.2,37.8,49.4,43.5,32
"Spartanburg School District 2, South Carolina","4503510",36.3,31.7,42.8,35.3,37.4
"Spartanburg School District 3, South Carolina","4503540",42.8,40.8,46.2,55.1,30.4
