"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Dorchester School District 4, South Carolina","4500002",14891,2606,1645,10640,11269,2164,1250,7855,3379,386,354,2639,65,4,0,61,178,52,41,85
"Marion School District 7, South Carolina","4500012",6176,1566,1215,3395,4726,1042,1104,2580,1093,492,24,577,21,0,0,21,336,32,87,217
"Abbeville County School District, South Carolina","4500690",23575,4971,2851,15753,18557,4043,2241,12273,4572,810,602,3160,169,23,8,138,277,95,0,182
"Aiken County School District, South Carolina","4500720",160672,30391,16302,113979,69990,16180,8243,45567,83704,12297,7461,63946,1445,191,183,1071,5533,1723,415,3395
"Allendale County School District, South Carolina","4500750",9222,3349,1255,4618,7694,2961,1060,3673,1354,371,186,797,10,0,0,10,164,17,9,138
"Anderson School District 1, South Carolina","4500780",48923,5339,4294,39290,33628,3929,3170,26529,14144,1350,957,11837,305,0,17,288,846,60,150,636
"Anderson School District 2, South Carolina","4500810",22645,3468,3162,16015,17532,2691,2787,12054,4680,623,327,3730,125,53,13,59,308,101,35,172
"Anderson School District 3, South Carolina","4500840",15176,3209,2231,9736,11656,2679,1580,7397,3352,524,651,2177,86,0,0,86,82,6,0,76
"Anderson School District 4, South Carolina","4500870",21154,3294,2205,15655,13842,2344,1367,10131,6636,880,703,5053,148,11,7,130,528,59,128,341
"Anderson School District 5, South Carolina","4500900",76567,14600,9140,52827,51777,10935,6165,34677,20770,2934,2247,15589,762,195,83,484,3258,536,645,2077
"Bamberg School District 1, South Carolina","4500930",8248,1952,726,5570,6519,1434,566,4519,1562,494,154,914,37,0,0,37,130,24,6,100
"Bamberg School District 2, South Carolina","4500960",6725,2058,1080,3587,5615,1791,859,2965,1041,216,221,604,0,0,0,0,69,51,0,18
"Barnwell School District 19, South Carolina","4501020",5608,1689,527,3392,4516,1347,436,2733,878,159,91,628,6,6,0,0,208,177,0,31
