"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Alabama","01",38.2,35.7,43.5,37.5,36.3
"Alaska","02",33.4,19.8,44.3,30.1,43.7
"Arizona","04",36.5,18.4,49.8,35.8,42.3
"Arkansas","05",37.6,32.9,44.8,34.3,36.6
"California","06",35.6,23.1,53.6,38.2,44.5
"Colorado","08",36.2,22.6,45.6,36.7,39.4
"Connecticut","09",40.3,32.1,48.2,42.7,43.2
"Delaware","10",39.1,27.5,48.3,40,39.6
"District of Columbia","11",33.7,27.3,35.1,34.5,38.1
"Florida","12",41.2,20.7,53.2,41.1,46.6
"Georgia","13",35.8,28.2,42.8,34.8,39
"Hawaii","15",38.2,32.2,39.4,34.8,47.8
"Idaho","16",35.2,24.3,44.7,34,39
"Illinois","17",37,31.8,46.3,41.9,42.4
"Indiana","18",37.2,33.7,45.1,37.9,37
"Iowa","19",38,37.5,40.3,33.1,36.1
"Kansas","20",36,30.6,43.3,34.5,37.4
"Kentucky","21",38.3,36.8,41.9,34.1,36.1
"Louisiana","22",36,33.9,43.3,38,39.4
"Maine","23",43.5,39.4,49,41.7,46.1
"Maryland","24",38.1,27.6,46,34.6,41.2
"Massachusetts","25",39.3,35.3,43.7,39.3,42.7
"Michigan","26",39.3,35.9,50.4,36.5,42.4
"Minnesota","27",37.6,34.5,44.5,33.9,36.7
"Mississippi","28",36.3,34,41.8,34.6,37.6
"Missouri","29",38.1,33.8,45.7,35.4,38.2
"Montana","30",39.8,32.2,47.2,37,45.9
"Nebraska","31",36.2,33.1,42.4,33.6,36.5
"Nevada","32",36.9,12.9,45.4,36.5,42.7
"New Hampshire","33",41.8,28.8,48.1,41.3,44.1
"New Jersey","34",39.3,28.6,48.8,46.6,43.7
"New Mexico","35",36.8,26.8,48.4,39.6,42.1
"New York","36",38.1,32.2,41.5,49,45.1
"North Carolina","37",37.8,33.4,42.8,35.6,37.3
"North Dakota","38",35.9,36.7,35,30.2,33.9
"Ohio","39",39.1,35.7,49.2,38.5,40.9
"Oklahoma","40",36.2,30.9,44.4,37.3,36.8
"Oregon","41",38.9,26.3,49.4,37.1,40.1
"Pennsylvania","42",40.4,39.5,42.7,40.4,41.5
"Rhode Island","44",39.7,36.1,42.7,36.9,44
"South Carolina","45",38.3,33.5,44.1,38.1,38.5
"South Dakota","46",36.8,34.1,41.4,34.4,34.2
"Tennessee","47",38.3,33.3,45.1,34.9,36.5
"Texas","48",33.9,26.2,44.2,35.5,40.6
"Utah","49",29.9,23.8,38.4,31.2,37.8
"Vermont","50",42.2,35.6,47.2,39.3,46.4
"Virginia","51",37.6,29.1,44,34,40.4
"Washington","53",37.4,26.3,46.9,36.8,40.4
"West Virginia","54",41.6,41.9,41.3,38.6,39.1
"Wisconsin","55",38.8,36.4,44.5,36.7,38.3
"Wyoming","56",36.8,27.1,44,33.6,37.9
