"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Alabama","01",3892591,569548,3323043,768863,411404,588367,431013,432522,270865,107822,312187,2602145,388039,2214106,540223,289333,399516,294579,288507,172798,65699,163451,1099939,143648,956291,198675,101809,151925,117099,127897,88161,37994,132731,35226,5218,30008,6257,2595,4557,3591,4400,2897,1200,4511,155281,32643,122638,23708,17667,32369,15744,11718,7009,2929,11494
"Alaska","02",571190,26180,545010,116079,42885,73054,62036,71201,56014,28771,94970,178839,8390,170449,57830,15922,22896,17738,18531,13555,6351,17626,330437,13562,316875,47399,21829,39026,35769,43934,37380,20393,71145,12947,734,12213,2499,1213,1689,1409,1884,1228,519,1772,48967,3494,45473,8351,3921,9443,7120,6852,3851,1508,4427
"Arizona","04",5211077,868044,4343033,871399,469063,752117,584890,618306,382608,157203,507447,1452023,354664,1097359,302389,118245,177301,145800,152865,85824,33108,81827,2844116,305231,2538885,421587,257310,419885,336232,381745,251831,107197,363098,70163,11553,58610,12460,5592,8961,7727,8466,5738,1778,7888,844775,196596,648179,134963,87916,145970,95131,75230,39215,15120,54634
"Arkansas","05",2356007,327026,2028981,454201,264175,390922,280360,268552,154489,57901,158381,1334826,184540,1150286,270220,154520,219805,157318,153736,84892,31736,78059,877212,112246,764966,163485,94445,140615,104805,102576,63379,23356,72305,16552,2094,14458,3114,1446,2410,1802,2312,1387,551,1436,127417,28146,99271,17382,13764,28092,16435,9928,4831,2258,6581
"California","06",30462253,5422440,25039813,4868424,2883372,4032530,2892715,2993373,2138897,1003428,4227074,13889435,2985279,10904156,2449425,1173083,1567012,1217799,1340879,980636,469259,1706063,6219620,547442,5672178,746927,563756,807141,617229,699409,554979,283078,1399659,394389,62050,332339,59246,35082,45248,35221,40988,32486,15215,68853,9958809,1827669,8131140,1612826,1111451,1613129,1022466,912097,570796,235876,1052499
"Colorado","08",4162789,477492,3685297,703421,333270,548677,470277,533582,363522,161923,570625,1403282,195485,1207797,289971,117754,184690,153954,173502,112960,46451,128515,2215505,188130,2027375,319123,166234,278241,248184,303429,218637,101553,391974,64873,8231,56642,10919,4332,8174,6822,7799,5880,2830,9886,479129,85646,393483,83408,44950,77572,61317,48852,26045,11089,40250
"Connecticut","09",2945558,342061,2603497,465770,219050,370599,296345,341761,268718,128499,512755,1470217,175931,1294286,245112,108734,181443,149318,180964,144971,67656,216088,892465,82594,809871,126465,58989,99230,80206,97621,82604,43518,221238,115086,14749,100337,28981,13271,18214,12347,10148,6192,2377,8807,467790,68787,399003,65212,38056,71712,54474,53028,34951,14948,66622
"Delaware","10",747226,90253,656973,122554,60804,99929,87009,98702,68049,29768,90158,289644,40833,248811,52389,23459,37931,34938,39061,24836,9993,26204,370747,35364,335383,57682,30338,48225,41633,50715,36923,16691,53176,13266,1357,11909,2388,1057,1990,1913,1679,1225,417,1240,73569,12699,60870,10095,5950,11783,8525,7247,5065,2667,9538
"District of Columbia","11",541700,68812,472888,91962,32820,48039,43118,57926,48349,23709,126965,163733,31991,131742,39616,12476,16270,14115,16976,10985,4803,16501,283106,24040,259066,39139,14330,20625,19824,30403,30747,15303,88695,9970,1190,8780,1225,355,715,599,1057,823,664,3342,84891,11591,73300,11982,5659,10429,8580,9490,5794,2939,18427
"Florida","12",16048765,2512902,13535863,2746988,1601008,2517417,1867941,1849688,1093531,433688,1425602,4285711,1011799,3273912,862346,371181,567258,449966,442028,244172,90541,246420,7541964,777473,6764491,1101871,747445,1208325,930743,1000727,625651,257195,892534,570303,91301,479002,111546,65832,88161,67076,62240,32987,13666,37494,3650787,632329,3018458,671225,416550,653673,420156,344693,190721,72286,249154
"Georgia","13",7832615,1360854,6471761,1374102,710336,1101045,850974,857872,572782,236309,768341,3813091,732733,3080358,762386,382917,540446,413145,400006,245767,94595,241096,2992335,409458,2582877,460924,234905,376506,322957,366141,269137,116963,435344,112527,19692,92835,18765,8309,13757,12066,13236,9387,3730,13585,914662,198971,715691,132027,84205,170336,102806,78489,48491,21021,78316
"Hawaii","15",1135369,147428,987941,170287,87548,152894,140644,155370,105244,45540,130414,554068,75631,478437,85390,42620,72363,68515,77661,53853,22477,55558,308568,31693,276875,40482,20352,38665,35474,42153,31754,15279,52716,34456,5641,28815,5478,2226,4491,3582,4563,2811,1303,4361,238277,34463,203814,38937,22350,37375,33073,30993,16826,6481,17779
"Idaho","16",1240567,154996,1085571,252055,120762,196036,156465,144382,87009,32617,96245,487067,66804,420263,105401,46190,73194,60068,57059,33520,12510,32321,650846,69997,580849,125893,64839,102566,82526,78229,49305,18554,58937,13079,1712,11367,2668,1240,2123,1593,1274,988,329,1152,89575,16483,73092,18093,8493,18153,12278,7820,3196,1224,3835
"Illinois","17",10347484,1500882,8846602,1717157,836228,1438649,1106906,1192122,858680,384815,1312045,6418169,962352,5455817,1127429,507035,841658,679176,756127,551438,244639,748315,2092567,211172,1881395,322028,172007,275820,207875,244838,190505,88561,379761,118963,16608,102355,23117,12154,18490,11964,12462,8409,3520,12239,1717785,310750,1407035,244583,145032,302681,207891,178695,108328,48095,171730
"Indiana","18",5223072,678434,4544638,948098,482508,793562,651939,673233,411083,159427,424788,3364552,437276,2927276,621024,310914,503119,430409,451643,267092,102374,240701,1533424,172852,1360572,274630,144293,232081,182385,193147,126447,50436,157153,36194,5460,30734,6536,2763,4835,5061,4479,2749,984,3327,288902,62846,226056,45908,24538,53527,34084,23964,14795,5633,23607
"Iowa","19",2475176,207717,2267459,444742,220401,372198,332081,367828,225341,85588,219280,1708923,128861,1580062,294952,153304,260932,234760,268563,164170,59898,143483,619870,53161,566709,124022,55182,88003,75550,83163,52783,22519,65487,13213,1439,11774,2292,1453,1977,1788,1452,1021,399,1392,133170,24256,108914,23476,10462,21286,19983,14650,7367,2772,8918
"Kansas","20",2276416,244398,2032018,406700,201518,337513,291936,307725,188528,74650,223448,1223298,125221,1098077,228316,110524,184307,159926,173645,103035,38276,100048,849215,79839,769376,145367,73871,118043,102414,113834,74976,31908,108963,20146,2345,17801,3820,1615,3021,2632,2602,1407,660,2044,183757,36993,146764,29197,15508,32142,26964,17644,9110,3806,12393
"Kentucky","21",3535619,449754,3085865,731283,367372,548783,413598,411847,255648,96772,260562,2372295,298476,2073819,506912,255799,373450,280900,281777,166548,61393,147040,1004740,123152,881588,195036,96765,146825,114592,116871,79953,31653,99893,23926,3026,20900,4698,2251,3504,2966,2772,1919,634,2156,134658,25100,109558,24637,12557,25004,15140,10427,7228,3092,11473
"Louisiana","22",3670053,575602,3094451,700361,363814,529365,386619,403505,263716,110178,336893,2769471,447854,2321617,549973,280259,402517,288685,298030,192884,79090,230179,702757,91051,611706,118384,64259,95160,76363,84428,58154,25098,89860,24983,3833,21150,4147,1688,3315,2427,3383,2086,1068,3036,172842,32864,139978,27857,17608,28373,19144,17664,10592,4922,13818
"Maine","23",1112274,91160,1021114,209222,115950,183127,147571,146586,92410,35401,90847,673171,57163,616008,130703,75137,114938,93177,89792,53335,18662,40264,383951,27862,356089,66902,35340,58976,48175,50525,35448,15097,45626,11321,949,10372,2078,1049,1738,1280,1692,1011,522,1002,43831,5186,38645,9539,4424,7475,4939,4577,2616,1120,3955
"Maryland","24",4772468,592973,4179495,717291,324879,541279,474397,566599,453187,215340,886523,1973569,289580,1683989,366372,149051,236061,206587,239228,177197,75652,233841,1935919,173688,1762231,237811,114060,187270,171645,227556,204635,108741,510513,67634,9055,58579,10603,3959,6230,5353,7400,6090,3312,15632,795346,120650,674696,102505,57809,111718,90812,92415,65265,27635,126537
"Massachusetts","25",5509044,592591,4916453,925645,452683,680414,553066,644966,506306,238142,915231,3177540,332065,2845475,537865,266299,400601,322752,387700,308870,145683,475705,1202687,99834,1102853,188971,80773,121597,105472,135422,116870,59732,294016,154068,21057,133011,40990,20361,21174,13280,13083,8517,3480,12126,974749,139635,835114,157819,85250,137042,111562,108761,72049,29247,133384
"Michigan","26",8030282,1044628,6985654,1554742,752327,1177015,909335,945468,612962,264954,768851,5911404,772913,5138491,1165399,551743,859226,678129,715763,461043,194863,512325,1491633,149952,1341681,275857,146681,227682,171199,175796,115884,51833,176749,55214,8926,46288,11064,4986,7982,5437,6108,3797,1629,5285,572031,112837,459194,102422,48917,82125,54570,47801,32238,16629,74492
"Minnesota","27",4319213,363774,3955439,742394,352089,586842,514902,611757,423766,176343,547346,2774822,218601,2556221,478832,231570,379264,339892,413922,284352,114171,314218,1142566,84194,1058372,185557,88123,145908,125442,154388,114664,52046,192244,29168,3456,25712,5517,2229,3635,3271,3590,2512,1105,3853,372657,57523,315134,72488,30167,58035,46297,39857,22238,9021,37031
"Mississippi","28",2365897,387918,1977979,494209,255014,358485,265088,259075,146351,54367,145390,1618858,271330,1347528,353486,184440,250431,180523,170741,92490,32824,82593,669257,99430,569827,128384,62713,94789,76565,80310,49768,19655,57643,14411,2200,12211,2314,1134,2078,1729,1961,882,524,1589,63371,14958,48413,10025,6727,11187,6271,6063,3211,1364,3565
"Missouri","29",4862037,556871,4305166,919093,468478,751262,608231,613656,371912,149674,422860,3016524,354330,2662194,585063,295332,468055,384812,383747,228617,89062,227506,1590575,155155,1435420,290419,150434,242204,192985,205464,129188,53771,170955,34863,4699,30164,6300,3572,4426,4099,4322,2524,1298,3623,220075,42687,177388,37311,19140,36577,26335,20123,11583,5543,20776
"Montana","30",820596,75395,745201,161659,81025,136262,106490,105176,62053,25730,66806,401840,40124,361716,79814,38644,66415,54244,51831,29768,12198,28802,392694,31632,361062,76659,39762,65209,48870,51022,30634,13128,35778,6805,646,6159,1484,615,908,1005,681,624,134,708,19257,2993,16264,3702,2004,3730,2371,1642,1027,270,1518
"Nebraska","31",1467464,122703,1344761,265019,134033,222453,199653,209231,128484,48117,137771,898513,66655,831858,163936,83666,135427,121809,134225,82133,29984,80678,445463,34309,411154,79158,40232,63929,57813,62086,41202,16015,50719,11664,1083,10581,1955,937,1503,1700,1890,880,408,1308,111824,20656,91168,19970,9198,21594,18331,11030,4269,1710,5066
"Nevada","32",2211697,345939,1865758,329379,190096,336335,279343,275707,166898,74584,213416,307871,81920,225951,61078,22680,35624,29393,29752,19048,8633,19743,1354276,164362,1189914,192067,119302,203041,161842,182067,118010,53539,160046,40979,6267,34712,6195,3453,5717,5001,5763,3192,1531,3860,508571,93390,415181,70039,44661,91953,83107,58125,26648,10881,29767
"New Hampshire","33",1098166,100630,997536,176657,90173,148411,127001,150550,105396,45610,153738,401235,42409,358826,73874,37730,58859,49395,56303,35767,13113,33785,615353,46720,568633,89923,46498,78073,68587,85206,63262,29680,107404,12321,1044,11277,2324,1037,1652,1479,1716,1171,413,1485,69257,10457,58800,10536,4908,9827,7540,7325,5196,2404,11064
"New Jersey","34",7199958,1041916,6158042,1055196,526122,886780,699238,770279,639598,302878,1277951,3301716,513192,2788524,549917,228860,367028,306913,361500,314407,141754,518145,1872775,191144,1681631,229767,127032,218427,176356,206142,178271,90524,455112,195307,29119,166188,41145,20252,27621,20687,19422,13281,6279,17501,1830160,308461,1521699,234367,149978,273704,195282,183215,133639,64321,287193
"New Mexico","35",1653950,265027,1388923,317747,161316,240412,177967,181404,114101,48211,147765,757097,142098,614999,163417,73350,107177,80322,79976,46913,18643,45201,681258,76913,604345,110464,64049,97446,74894,84135,57398,25204,90755,20088,2749,17339,3469,1715,2866,2209,2472,1424,865,2319,195507,43267,152240,40397,22202,32923,20542,14821,8366,3499,9490
"New York","36",16079429,2428920,13650509,2685697,1309022,2084650,1619983,1795920,1307873,587920,2259444,9342101,1412985,7929116,1564089,712064,1139264,937086,1081469,808370,364554,1322220,2082434,207343,1875091,318883,154625,248781,202622,236732,189026,91056,433366,430509,60126,370383,110543,51071,58335,38783,40528,24904,9756,36463,4224385,748466,3475919,692182,391262,638270,441492,437191,285573,122554,467395
"North Carolina","37",7844445,1085300,6759145,1416245,773425,1194039,954041,946284,566472,216265,692374,4120721,592964,3527757,823470,451328,642029,509019,489518,273722,96048,242623,2934892,339511,2595381,467160,241567,400260,353449,391380,254193,104169,383203,91460,13154,78306,16392,8067,12312,10492,10943,7215,2851,10034,697372,139671,557701,109223,72463,139438,81081,54443,31342,13197,56514
