"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Alabama","01",3217902,524368,999761,951960,465268,276545,2116671,378196,715238,617596,262728,142913,939935,100344,247136,302727,176945,112783,28724,2455,6177,9992,6773,3327,132572,43373,31210,21645,18822,17522
"Alaska","02",460319,37700,126611,168570,82261,45177,118134,13962,42214,41531,15047,5380,289398,14038,70562,111043,58285,35470,9718,439,2365,4244,1878,792,43069,9261,11470,11752,7051,3535
"Arizona","04",4284776,604392,1050079,1469229,733845,427231,942855,136090,262644,358663,129503,55955,2532065,176904,604147,942534,504670,303810,56252,5990,11596,21079,11261,6326,753604,285408,171692,146953,88411,61140
"Arkansas","05",1949963,306199,682451,558722,263299,139292,1077127,165975,407877,301957,135742,65576,751051,92940,245229,237031,113194,62657,13124,863,3720,4670,2457,1414,108661,46421,25625,15064,11906,9645
"California","06",24865866,4602986,5153257,7400714,4870524,2838385,9642404,863278,2283252,3691520,1892402,911952,5777367,414367,1060903,1878086,1420455,1003556,328380,40855,59201,108026,77465,42833,9117715,3284486,1749901,1723082,1480202,880044
"Colorado","08",3453403,332246,759335,1068138,819675,474009,1028051,92416,289679,355682,202166,88108,1954174,93410,368319,617534,544673,330238,52936,3586,9632,17891,13601,8226,418242,142834,91705,77031,59235,47437
"Connecticut","09",2455577,257011,677887,612128,506662,401889,1155927,88300,383661,326870,216514,140582,779307,44761,156161,182288,209019,187078,100211,35010,30094,20249,7983,6875,420132,88940,107971,82721,73146,67354
"Delaware","10",620886,74267,195806,168049,108647,74117,223164,27520,87491,60988,32145,15020,321680,28948,93213,92894,61551,45074,11290,2142,3152,3231,1794,971,64752,15657,11950,10936,13157,13052
"District of Columbia","11",442721,49099,82531,74717,103179,133195,125419,19649,43637,34018,16516,11599,233925,14159,26492,29024,69759,94491,8627,402,672,1065,2780,3708,74750,14889,11730,10610,14124,23397
"Florida","12",13561596,1837056,4024052,4071061,2324792,1304635,2874537,377925,945656,912381,435567,203008,6883480,593715,2012333,2224366,1290913,762153,486259,87182,134379,150323,75882,38493,3317320,778234,931684,783991,522430,300981
"Georgia","13",6410416,959360,1832086,1804077,1148710,666183,2957138,524207,1046661,807973,375847,202450,2562023,194669,586159,814606,610116,356473,90558,8043,20000,29530,21640,11345,800697,232441,179266,151968,141107,95915
"Hawaii","15",950863,88221,267413,305489,191712,98028,445320,33360,152857,139877,83582,35644,260122,7739,46932,95991,64931,44529,27829,2415,7675,10045,5040,2654,217592,44707,59949,59576,38159,15201
"Idaho","16",1015487,110254,281600,365519,176651,81463,370317,31155,115115,142008,60070,21969,558553,44417,147170,205855,107253,53858,9972,606,2277,4557,1787,745,76645,34076,17038,13099,7541,4891
