"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"New York","36",19594330,1170258,3101974,1992364,2761727,2550605,2842956,1295857,472667,650750,1479233,1275939,12449301,1082906,2640927,1378448,1488380,1347101,1618004,746013,266604,365542,795454,719922,2292389,53170,208803,253339,434042,300562,318409,159000,62636,85489,224596,192343,476695,10772,49667,35716,58434,56041,71357,35303,15785,24441,67552,51627,4375945,23410,202577,324861,780871,846901,835186,355541,127642,175278,391631,312047
"North Carolina","37",9750405,618246,1665978,971134,1266243,1316548,1366778,637035,231575,330776,780502,565590,5634664,541816,1226413,550329,590453,594663,678407,345122,128855,184191,444884,349531,3268737,67076,366854,328799,474924,519116,555550,249020,89468,128741,297266,191923,105769,2902,15741,13842,19332,18750,18057,6122,1811,2665,3889,2658,741235,6452,56970,78164,181534,184019,114764,36771,11441,15179,34463,21478
"North Dakota","38",704925,46870,111431,88097,98724,77987,93055,47990,17336,22533,50171,50731,470492,40124,83559,47064,56225,46543,59553,32625,12015,15505,36464,40815,208982,6382,24627,36572,36929,26848,30375,14100,5104,6295,12682,9068,4896,139,823,920,1086,833,571,266,14,50,83,111,20555,225,2422,3541,4484,3763,2556,999,203,683,942,737
"Ohio","39",11560380,700088,1973573,1105608,1440377,1436606,1670106,820231,299227,409965,923149,781450,8682242,646264,1705161,856888,1066364,1043390,1215288,591696,208771,276559,588768,483093,2322337,46522,220680,193127,265224,288932,368617,194559,77628,115153,291012,260883,86610,2299,11627,10971,13626,14678,14728,5801,2090,2333,4877,3580,469191,5003,36105,44622,95163,89606,71473,28175,10738,15920,38492,33894
"Oklahoma","40",3818851,264867,676458,388503,520394,466958,506554,247977,88942,124130,301305,232763,2326000,232197,514430,234234,296990,238785,247141,127230,47837,67520,173420,146216,1243031,29858,140182,123518,165466,174210,219291,106142,36662,51344,116530,79828,35039,1052,4469,4317,6254,6634,6961,2771,540,688,962,391,214781,1760,17377,26434,51684,47329,33161,11834,3903,4578,10393,6328
"Oregon","41",3900343,231807,628282,362878,532369,507772,524079,273210,107281,150392,331306,250967,1789239,202780,463594,195748,232456,174365,181255,95977,37805,48874,93064,63321,1684984,25336,130252,125114,216371,235534,270078,151469,61080,89689,212843,167218,42134,1388,6028,5222,6850,7752,7022,2930,752,1232,1669,1289,383986,2303,28408,36794,76692,90121,65724,22834,7644,10597,23730,19139
"Pennsylvania","42",12758729,719941,2020279,1253769,1579903,1557718,1875240,917609,334415,458297,1061842,979716,9400566,652147,1651132,886203,1068664,1047317,1316863,665789,244421,333287,779141,755602,2374321,57310,287157,275849,324657,322128,393216,185724,65261,91334,207888,163797,201739,4123,26759,19424,34518,31721,34169,15393,5268,7178,13931,9255,782103,6361,55231,72293,152064,156552,130992,50703,19465,26498,60882,51062
"Rhode Island","44",1053252,55512,161914,119665,132177,130616,157253,74219,26654,36570,81642,77030,615259,48492,123893,63562,65327,64077,83832,39756,14631,20271,45409,46009,277373,5654,26698,40435,38224,37129,44057,21722,7785,10846,24253,20570,22602,506,3605,2880,3700,3928,3593,1392,406,609,1109,874,138018,860,7718,12788,24926,25482,25771,11349,3832,4844,10871,9577
"South Carolina","45",4727273,295468,784560,484150,606755,596261,653274,314515,121795,175044,416941,278510,2754414,249926,569062,281302,319312,300869,335412,170243,65442,93463,213007,156376,1695707,42199,194630,173866,223103,237918,272940,128259,50668,73946,186090,112088,50699,1657,5181,6848,9017,8678,10443,3323,1256,1215,1954,1127,226453,1686,15687,22134,55323,48796,34479,12690,4429,6420,15890,8919
"South Dakota","46",834708,59303,146707,84094,109504,94677,111942,56790,20920,28427,62692,59652,539353,51813,111254,49078,63001,52360,67129,34733,12727,17769,38002,41487,266188,6895,31709,30679,40234,36883,40643,20449,7650,10160,23573,17313,4767,181,741,689,804,947,778,312,53,69,94,99,24400,414,3003,3648,5465,4487,3392,1296,490,429,1023,753
"Tennessee","47",6451365,402121,1090353,622648,839987,847371,909110,431703,162394,227460,535098,383120,3940631,358513,838878,389454,457624,437547,477402,233184,89590,127415,300648,230376,2153209,39214,216605,191767,296279,330083,378755,179728,66931,92573,218731,142543,52730,1211,7494,8143,9576,10025,9118,3249,733,1077,1362,742,304795,3183,27376,33284,76508,69716,43835,15542,5140,6395,14357,9459
"Texas","48",26092033,1940753,5049335,2675215,3766749,3556741,3451540,1519812,543199,738932,1649502,1200255,15736392,1774197,4031209,1783217,2056141,1611710,1591956,755976,275640,370534,833946,651866,5721686,126191,675730,479305,774511,873302,1000221,454891,169909,237386,543750,386490,337007,13333,54375,40748,56635,59398,56850,22288,5804,7619,13150,6807,4296948,27032,288021,371945,879462,1012331,802513,286657,91846,123393,258656,155092
"Utah","49",2858111,257214,631731,326438,442765,360589,306341,142506,49568,69288,154578,117093,1773597,232234,493988,194944,251256,181534,146868,71527,24922,35838,76457,64029,816648,22395,113065,100082,131244,117472,116801,57338,20349,27467,65491,44944,28182,1127,4841,4527,5678,4735,3702,1250,470,485,886,481,239684,1458,19837,26885,54587,56848,38970,12391,3827,5498,11744,7639
"Vermont","50",626358,30738,94273,66352,70790,74775,96695,50453,18293,25511,55892,42586,321398,24706,66559,31530,35887,34888,43009,21008,7387,11047,24165,21212,272678,5876,24568,31146,30573,35065,48564,26890,9967,13088,28449,18492,6102,22,819,747,924,1041,1194,528,144,180,228,275,26180,134,2327,2929,3406,3781,3928,2027,795,1196,3050,2607
"Virginia","51",8185131,511320,1350964,821722,1137877,1098730,1198183,534513,197264,273510,614708,446340,4056999,429805,954445,440522,456358,402506,468958,223614,84672,116090,270225,209804,3038744,69208,312823,283551,451841,450970,534409,240536,90695,127186,281482,196043,140904,5224,22600,18197,26686,23688,23765,9147,2221,2741,4003,2632,948484,7083,61096,79452,202992,221566,171051,61216,19676,27493,58998,37861
"Washington","53",6899123,443807,1146388,663124,978547,912504,964381,466693,175321,239867,523311,385180,3265702,383430,826157,363843,411755,315287,349345,173130,65420,87889,173531,115915,2595703,48694,240440,199718,357077,374085,440020,228315,86842,121843,281424,217245,117024,4152,16963,14236,19400,21770,20528,8136,1912,2784,4069,3074,920694,7531,62828,85327,190315,201362,154488,57112,21147,27351,64287,48946
"West Virginia","54",1853881,103044,280683,171540,219567,233375,263350,140326,56041,74330,175725,135900,1301693,84128,209524,107893,145657,150423,169257,99067,41283,54889,132057,107515,516007,18491,68111,58410,67369,76487,88458,38864,14004,18285,41227,26301,8641,137,1166,1096,1337,1503,1635,796,278,192,196,305,27540,288,1882,4141,5204,4962,4000,1599,476,964,2245,1779
"Wisconsin","55",5724692,347284,969377,557036,727998,703763,847881,404117,144869,198368,439787,384212,4100071,313957,792238,389939,489301,455509,573634,277199,98956,135204,298209,275925,1312891,30036,147930,133008,172251,182783,227317,109745,39707,55070,123565,91479,43306,782,6316,5850,7295,7682,6961,2586,884,1179,2148,1623,268424,2509,22893,28239,59151,57789,39969,14587,5322,6915,15865,15185
"Wyoming","56",575251,38932,97932,57289,80624,68930,78030,42754,15115,20422,43430,31793,236809,28861,58439,24664,32101,22404,24653,12554,4571,6387,12698,9477,314074,9672,37070,29933,43053,41336,49543,28728,10176,13638,29374,21551,5032,228,888,519,956,938,749,433,62,50,155,54,19336,171,1535,2173,4514,4252,3085,1039,306,347,1203,711
