"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Florida","12",14703671,1855213,4249733,4390269,2675907,1532549,3271063,390410,1084495,1025382,524341,246435,7109903,536042,1975866,2303016,1429038,865941,572688,86875,161364,181325,96112,47012,3750017,841886,1028008,880546,626416,373161
"Georgia","13",6785395,922626,1884080,1912413,1270275,796001,3063508,478438,1064688,871758,414513,234111,2732202,185628,612051,850424,663696,420403,100450,10250,20084,33870,22324,13922,889235,248310,187257,156361,169742,127565
"Hawaii","15",990937,79663,277743,316938,211850,104743,461346,25259,158838,145493,94889,36867,268312,8103,44804,98999,68665,47741,29428,2367,8094,10475,5659,2833,231851,43934,66007,61971,42637,17302
"Idaho","16",1087265,104129,302866,379860,203363,97047,411791,31883,127262,150551,74845,27250,585235,41862,153054,211395,117407,61517,9593,538,2266,2948,2670,1171,80646,29846,20284,14966,8441,7109
"Illinois","17",8665219,966427,2250392,2506115,1813840,1128445,5150443,375874,1464845,1722865,1033504,553355,1822941,145360,376307,482030,471150,348094,103182,23414,23628,27838,18218,10084,1588653,421779,385612,273382,290968,216912
"Indiana","18",4392576,511499,1481882,1274349,716293,408553,2758407,283894,1026385,825328,419776,203024,1326875,143257,382904,393703,245799,161212,31664,4283,8938,8793,6151,3499,275630,80065,63655,46525,44567,40818
"Iowa","19",2087020,172098,649532,672228,398242,194920,1417156,91657,485591,472697,262977,104234,530815,39184,135051,174203,113391,68986,14672,1765,2903,4182,3891,1931,124377,39492,25987,21146,17983,19769
"Kansas","20",1891936,178843,496294,595373,390861,230565,977856,68561,289376,335368,191580,92971,728617,49732,166610,227672,172630,111973,19811,1162,3314,7659,3929,3747,165652,59388,36994,24674,22722,21874
"Kentucky","21",2995509,428460,968299,896409,419081,283260,1956465,309203,690498,578325,226988,151451,893846,86294,245418,286433,165081,110620,22669,1499,4842,9753,4023,2552,122529,31464,27541,21898,22989,18637
"Louisiana","22",3115020,486438,1059273,841403,473299,254607,2320121,378746,843753,617505,326958,153159,613789,61602,166078,188255,118945,78909,21121,1295,6219,6570,4756,2281,159989,44795,43223,29073,22640,20258
"Maine","23",966569,74138,318369,282924,181434,109704,556164,48713,217332,164517,87434,38168,355857,18502,86827,103970,82485,64073,12977,958,2904,4114,3330,1671,41571,5965,11306,10323,8185,5792
"Maryland","24",4122508,407229,1046470,1047680,860491,760638,1563545,157403,545985,436278,266178,157701,1704533,86593,344905,442349,409937,420749,65008,3429,9383,18409,20132,13655,789422,159804,146197,150644,164244,168533
"Massachusetts","25",4727515,452685,1156496,1097988,1124295,896051,2574147,160750,739169,706665,611212,356351,1049504,40515,147625,197457,326436,337471,144009,41639,40904,27278,18510,15678,959855,209781,228798,166588,168137,186551
