"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Florida","12",17195240,2546763,14648477,2667884,1648377,2791741,2030762,2052533,1257697,490486,1708997,4701973,1007492,3694481,833656,413688,680571,520138,527691,298765,111709,308263,7729330,746387,6982943,1018350,745736,1246531,940164,1045006,682108,273874,1031174,676456,101884,574572,129739,78103,111728,80614,69945,40745,14672,49026,4087481,691000,3396481,686139,410850,752911,489846,409891,236079,90231,320534
"Georgia","13",8232061,1276626,6955435,1355687,734618,1157400,894445,950351,675654,271708,915572,3975333,704896,3270437,754082,396319,564077,438639,439028,289811,108145,280336,3141100,361952,2779148,453235,251593,395927,328750,398564,307353,132270,511456,124403,18645,105758,19632,11155,15195,12304,14266,11196,5591,16419,991225,191133,800092,128738,75551,182201,114752,98493,67294,25702,107361
"Hawaii","15",1168033,141460,1026573,156406,89216,156601,138776,162654,112704,47010,163206,567662,74993,492669,78665,42607,70134,67929,83248,55689,23746,70651,312897,29187,283710,36287,18646,39116,33653,42479,33708,13961,65860,36388,4455,31933,5166,2964,5394,4164,4307,3792,1884,4262,251086,32825,218261,36288,24999,41957,33030,32620,19515,7419,22433
"Idaho","16",1320797,156987,1163810,244701,125273,208092,155379,163705,106081,40556,120023,541200,70818,470382,110324,47316,80543,61625,66904,42580,16510,44580,673801,67663,606138,117864,70849,106711,77787,85117,56939,21671,69200,11846,1643,10203,1459,1368,2356,1094,1045,1216,514,1151,93950,16863,77087,15054,5740,18482,14873,10639,5346,1861,5092
"Illinois","17",10394067,1406590,8987477,1614322,792896,1413602,1111363,1226563,916223,401446,1511062,6490878,912456,5578422,1080181,487437,845314,681542,788476,583959,254815,856698,2057742,193836,1863906,287511,155594,270243,204974,234118,195245,90758,425463,121400,19208,102192,21589,12568,15193,12957,13914,9151,3553,13267,1724047,281090,1442957,225041,137297,282852,211890,190055,127868,52320,215634
"Indiana","18",5331071,649470,4681601,874125,471559,801936,664314,710635,466411,180301,512320,3422516,412103,3010413,575809,306642,513692,434912,470138,302895,113702,292623,1541140,159656,1381484,243425,140737,229546,181349,202341,142463,56212,185411,39616,5743,33873,7421,2952,5413,4877,5008,2342,1028,4832,327799,71968,255831,47470,21228,53285,43176,33148,18711,9359,29454
"Iowa","19",2529447,215617,2313830,415260,213972,362368,324261,378422,255334,96765,267448,1713304,124205,1589099,271232,148434,251141,219253,267934,185361,70490,175254,649637,60409,589228,118148,57104,84930,80758,89550,59586,22682,76470,17531,1684,15847,2562,624,3019,2690,2095,1265,963,2629,148975,29319,119656,23318,7810,23278,21560,18843,9122,2630,13095
"Kansas","20",2310304,246603,2063701,382449,198035,337412,277785,326385,210223,80866,250546,1241089,131112,1109977,221857,112216,175999,149840,182200,116526,41453,109886,849893,77991,771902,125038,69194,125067,100095,119457,79286,34318,119447,23352,2241,21111,5013,1631,3246,2507,2675,2272,680,3087,195970,35259,160711,30541,14994,33100,25343,22053,12139,4415,18126
"Kentucky","21",3600690,454224,3146466,690095,351431,538394,413589,442713,294251,110822,305171,2369864,300573,2069291,465515,244465,363247,276181,290623,187411,69791,172058,1062199,124036,938163,198582,92844,146007,117193,134106,96106,35864,117461,26328,2886,23442,3706,2178,3780,3642,3462,2751,1139,2784,142299,26729,115570,22292,11944,25360,16573,14522,7983,4028,12868
"Louisiana","22",3751715,601328,3150387,700763,365518,531385,387736,416398,274692,113112,360783,2836429,465441,2370988,555640,286827,398475,290362,307829,202029,80363,249463,711860,94594,617266,116064,62365,98687,75804,84657,59732,26785,93172,24770,3905,20865,3012,1519,2758,3136,4218,2331,923,2968,178656,37388,141268,26047,14807,31465,18434,19694,10600,5041,15180
