"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Branchburg Township School District, New Jersey","3402160",51729,47740,58330,47560,58715
"Brick Township School District, New Jersey","3402220",34000,33425,39217,37961,24698
"Bridgeton City School District, New Jersey","3402250",15527,13110,16613,9638,16801
"Bridgewater-Raritan Regional School District, New Jersey","3402280",45475,37834,50109,58516,54714
"Brigantine City School District, New Jersey","3402340",31702,33203,32239,26513,22028
"Buena Regional School District, New Jersey","3402400",27426,30362,28958,16705,25282
"Burlington City School District, New Jersey","3402430",28784,27304,34464,14830,22263
"Burlington Township School District, New Jersey","3402460",34445,35877,37055,35625,30023
"Camden City School District, New Jersey","3402640",16695,16501,18660,11700,19559
"Carteret Borough School District, New Jersey","3402820",28925,27442,24786,20227,31128
"Cedar Grove Township School District, New Jersey","3402850",48857,47230,59294,86250,37153
"Cherry Hill Township School District, New Jersey","3403000",42265,36829,47272,23750,39749
"Chesilhurst Borough School District, New Jersey","3403030",21031,24427,19280,33417,16625
"Cinnaminson Township School District, New Jersey","3403120",41374,36400,45884,46607,44063
"Clark Township School District, New Jersey","3403150",42333,47508,51098,41786,27524
"Cliffside Park Borough School District, New Jersey","3403270",35701,37762,45686,35930,27356
"Clifton City School District, New Jersey","3403300",34270,36482,43857,33829,30640
"Collingswood Borough School District, New Jersey","3403420",35515,32211,40000,33851,35625
"Commercial Township School District, New Jersey","3403480",22468,22959,24955,9232,21339
"Cresskill Borough School District, New Jersey","3403600",53376,29816,52785,56190,77047
"Deptford Township School District, New Jersey","3403900",32526,28897,36233,45571,37308
"Dover Town School District, New Jersey","3403930",25816,31576,33000,26452,23318
"Dumont Borough School District, New Jersey","3403990",41120,44367,41775,26447,36124
"Dunellen Borough School District, New Jersey","3404020",31677,40006,50908,28894,25975
"East Brunswick Township School District, New Jersey","3404110",41432,37521,50561,37557,41478
"East Newark Borough School District, New Jersey","3404200",28447,29236,30042,29773,27635
"East Orange City School District, New Jersey","3404230",24335,22341,26585,18472,25618
"East Windsor Regional School District, New Jersey","3404320",37212,40291,44833,34537,29888
"Edison Township School District, New Jersey","3404500",42158,34682,38016,30877,51871
"Egg Harbor Township School District, New Jersey","3404560",30685,30163,37534,18654,25757
"Elizabeth City School District, New Jersey","3404590",21470,21720,26188,18790,21349
"Englewood City School District, New Jersey","3404740",37077,31916,45026,22813,34505
"Englewood Cliffs Borough School District, New Jersey","3404770",61126,55300,62609,94595,60564
"Ewing Township School District, New Jersey","3404920",31108,29061,35138,27303,31712
"Fair Lawn Borough School District, New Jersey","3404980",45817,39298,50495,51602,51622
"Fairview Borough School District, New Jersey","3405070",26307,28925,34722,50107,22269
"Florence Township School District, New Jersey","3405220",39880,36761,41822,47411,56250
"Fort Lee Borough School District, New Jersey","3405310",44549,41954,46637,52321,43889
"Franklin Township School District, New Jersey","3405490",41766,38594,42417,34861,50115
"Garfield City School District, New Jersey","3405760",28152,27337,31757,22865,28000
"Glassboro Borough School District, New Jersey","3405880",20998,15133,35287,16442,14094
"Greenwich Township School District (Gloucester County), New Jersey","3406180",32410,31713,35670,26750,60900
"Guttenberg Town School District, New Jersey","3406240",25564,19103,48750,21979,23829
"Hackensack City School District, New Jersey","3406270",32175,30684,40371,29931,31440
"Hackettstown Town School District, New Jersey","3406300",27616,32074,41197,31094,17815
"Haddon Township School District, New Jersey","3406360",41014,37094,45186,46023,40417
"Hamilton Township School District, New Jersey","3406540",34035,35510,40184,26572,26675
"Hammonton Town School District, New Jersey","3406570",27759,30348,31792,20664,24113
"Harrison Town School District, New Jersey","3406870",27590,27023,29545,22132,28037
"Hawthorne Borough School District, New Jersey","3406990",36943,35823,51060,30461,30981
"Highland Park Borough School District, New Jersey","3407170",38105,34983,47346,68750,32500
"Hillsborough Township School District, New Jersey","3407230",50755,43906,56753,42391,67225
"Hillside Township School District, New Jersey","3407290",30010,25392,35234,57697,33374
"Hoboken City School District, New Jersey","3407350",68308,63594,76399,13549,81324
"Hope Township School District, New Jersey","3407470",40385,41176,38750,27143,40139
"Hopewell Valley Regional School District, New Jersey","3407530",54621,44631,71816,70179,72778
"Irvington Township School District, New Jersey","3407680",24016,24124,22309,18483,25351
"Jackson Township School District, New Jersey","3407740",36752,35401,40317,33013,34780
"Jersey City School District, New Jersey","3407830",32122,26404,43009,21870,32888
"Kearny Town School District, New Jersey","3407890",30547,33430,30299,26316,28997
"Keyport Borough School District, New Jersey","3407950",29342,31781,29559,17426,24066
"Lacey Township School District, New Jersey","3408100",33401,32019,38562,46336,35353
"Lakewood Township School District, New Jersey","3408220",21448,21233,25191,17062,18765
"Lawrence Township School District (Mercer County), New Jersey","3408400",39515,35866,45000,40585,40485
"Leonia Borough School District, New Jersey","3408520",44196,32428,49425,68750,43229
"Linden City School District, New Jersey","3408610",30018,29466,31422,23258,30224
"Lindenwold Borough School District, New Jersey","3408640",21933,20367,26205,29886,19578
"Little Ferry Borough School District, New Jersey","3408760",35616,30969,44455,48462,35788
"Livingston Township School District, New Jersey","3408820",57029,48578,73010,121250,61868
"Lodi Borough School District, New Jersey","3408850",30335,29470,35094,9754,30007
"Logan Township School District, New Jersey","3408880",50502,53835,47429,25652,50882
