"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Branchburg Township School District, New Jersey","3402160",12057,1485,10572,2043,438,858,657,1169,1150,550,3707,6758,963,5795,1397,193,438,305,673,519,342,1928,3315,288,3027,383,168,239,258,299,346,103,1231,69,0,69,0,0,0,14,41,0,0,14,1915,234,1681,263,77,181,80,156,285,105,534
"Brick Township School District, New Jersey","3402220",63122,6318,56804,8761,5150,9008,5992,7814,6741,3087,10251,44285,4526,39759,6835,3436,6062,4050,5320,5023,2119,6914,13021,1086,11935,1115,1049,1971,1233,1855,1345,708,2659,869,106,763,146,59,58,87,98,53,84,178,4947,600,4347,665,606,917,622,541,320,176,500
"Bridgeton City School District, New Jersey","3402250",18709,3003,15706,5632,1982,3243,1836,1373,843,243,554,9519,1553,7966,3341,803,1035,986,766,536,167,332,2621,293,2328,830,243,472,307,197,98,19,162,773,149,624,323,164,54,12,39,32,0,0,5796,1008,4788,1138,772,1682,531,371,177,57,60
"Bridgewater-Raritan Regional School District, New Jersey","3402280",42795,5453,37342,5566,2843,3906,3460,3878,3627,1677,12385,20709,2784,17925,3287,1488,2083,1620,1838,1786,831,4992,8787,704,8083,939,595,790,832,876,728,452,2871,444,23,421,31,18,32,51,35,67,13,174,12855,1942,10913,1309,742,1001,957,1129,1046,381,4348
"Brielle Borough School District, New Jersey","3402310",3857,359,3498,393,257,303,215,410,418,228,1274,2764,252,2512,272,202,243,79,284,335,207,890,912,72,840,114,49,45,93,100,75,13,351,24,0,24,0,0,8,8,0,0,8,0,157,35,122,7,6,7,35,26,8,0,33
"Brigantine City School District, New Jersey","3402340",8237,457,7780,1058,728,1339,1042,1266,654,262,1431,3266,154,3112,457,275,509,384,641,291,67,488,3952,149,3803,451,358,626,535,480,315,195,843,77,6,71,8,0,16,33,9,5,0,0,942,148,794,142,95,188,90,136,43,0,100
"Brooklawn Borough School District, New Jersey","3402370",1670,183,1487,247,152,267,246,221,174,60,120,978,110,868,153,100,155,137,131,89,36,67,451,31,420,84,17,60,74,72,64,12,37,27,11,16,6,0,0,4,2,4,0,0,214,31,183,4,35,52,31,16,17,12,16
"Buena Regional School District, New Jersey","3402400",9890,1217,8673,1600,825,1468,1352,1296,1033,373,726,5981,888,5093,981,444,764,715,760,694,225,510,2377,228,2149,351,177,359,376,386,245,105,150,645,26,619,179,123,116,98,57,11,23,12,887,75,812,89,81,229,163,93,83,20,54
"Burlington City School District, New Jersey","3402430",8170,828,7342,1380,628,1134,1114,1169,934,295,688,4742,473,4269,999,253,582,721,705,507,137,365,2272,129,2143,287,254,252,286,358,358,74,274,191,0,191,45,52,24,35,0,17,0,18,965,226,739,49,69,276,72,106,52,84,31
"Burlington Township School District, New Jersey","3402460",18033,1924,16109,3018,1137,2022,1988,1755,2009,938,3242,8392,1089,7303,1563,448,878,686,846,1154,373,1355,6201,362,5839,790,425,860,736,629,623,337,1439,623,120,503,113,41,27,66,83,75,21,77,2817,353,2464,552,223,257,500,197,157,207,371
"Butler Borough School District, New Jersey","3402520",6476,524,5952,854,492,927,608,677,608,356,1430,3785,347,3438,578,253,466,328,422,364,226,801,1242,63,1179,77,35,198,146,118,139,82,384,82,0,82,0,7,22,3,14,9,0,27,1367,114,1253,199,197,241,131,123,96,48,218
"Caldwell-West Caldwell School District, New Jersey","3402580",15961,1671,14290,2422,860,1781,1335,1915,1427,736,3814,9849,1059,8790,1694,431,944,736,1187,901,494,2403,3405,353,3052,372,123,357,340,416,308,191,945,208,21,187,87,0,39,9,22,6,6,18,2499,238,2261,269,306,441,250,290,212,45,448
"Camden City School District, New Jersey","3402640",55209,11142,44067,14145,5937,8896,5569,4633,2154,928,1805,28365,6749,21616,7759,2233,4025,2556,2529,1024,468,1022,9062,1456,7606,2104,1042,1562,1037,715,549,242,355,7888,1241,6647,2757,1231,1067,575,412,242,150,213,9894,1696,8198,1525,1431,2242,1401,977,339,68,215
"Cape May Point Borough School District, New Jersey","3402760",214,18,196,40,19,35,22,28,16,8,28,56,10,46,6,8,8,6,4,3,2,9,154,8,146,34,10,27,16,23,12,6,18,1,0,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,1,1,0,1
"Carteret Borough School District, New Jersey","3402820",19510,3556,15954,2987,1722,2624,1844,2103,1915,532,2227,8337,1434,6903,1415,650,1198,733,942,844,175,946,2582,486,2096,321,291,445,138,276,185,106,334,1238,194,1044,282,189,71,169,227,48,12,46,7353,1442,5911,969,592,910,804,658,838,239,901
"Cedar Grove Township School District, New Jersey","3402850",10730,1492,9238,1202,696,1143,663,947,1005,657,2925,6798,1039,5759,779,447,729,415,592,675,516,1606,1926,85,1841,165,131,161,97,212,234,106,735,91,1,90,9,3,25,0,0,0,0,53,1915,367,1548,249,115,228,151,143,96,35,531
"Cherry Hill Township School District, New Jersey","3403000",58788,6921,51867,7905,3997,6003,4885,5974,6344,2628,14131,20573,3143,17430,3546,1395,1969,1554,1670,2501,857,3938,26247,2259,23988,2741,1778,2789,2115,2971,2691,1267,7636,780,77,703,231,57,73,70,24,52,51,145,11188,1442,9746,1387,767,1172,1146,1309,1100,453,2412
"Chesilhurst Borough School District, New Jersey","3403030",1475,164,1311,286,187,268,173,142,169,29,57,726,105,621,143,58,115,94,69,90,9,43,544,33,511,136,69,98,64,57,56,20,11,89,0,89,0,35,4,15,16,19,0,0,116,26,90,7,25,51,0,0,4,0,3
"Cinnaminson Township School District, New Jersey","3403120",13899,1633,12266,1800,777,1754,1149,1475,1626,774,2911,5594,778,4816,855,308,693,482,615,607,371,885,7189,703,6486,828,418,915,550,744,886,345,1800,191,0,191,20,0,38,18,30,23,25,37,925,152,773,97,51,108,99,86,110,33,189
"Clark Township School District, New Jersey","3403150",12963,1301,11662,1799,708,1291,1060,1564,1657,1075,2508,8780,847,7933,1235,416,673,766,1039,1287,862,1655,1737,151,1586,147,118,267,95,130,172,135,522,210,60,150,0,0,0,0,132,0,8,10,2236,243,1993,417,174,351,199,263,198,70,321
"Clayton Borough School District, New Jersey","3403180",6695,814,5881,1204,605,987,493,626,579,214,1173,4327,522,3805,788,496,754,335,325,315,121,671,1950,265,1685,283,71,217,158,243,184,93,436,144,0,144,73,0,0,0,58,13,0,0,274,27,247,60,38,16,0,0,67,0,66
"Clementon Borough School District, New Jersey","3403240",3973,496,3477,641,241,608,513,650,308,165,351,2256,242,2014,350,155,341,326,382,214,60,186,1214,186,1028,173,86,83,144,254,75,105,108,91,0,91,53,0,19,0,0,19,0,0,412,68,344,65,0,165,43,14,0,0,57
"Cliffside Park Borough School District, New Jersey","3403270",21421,3042,18379,3049,1374,2758,1843,2748,2002,964,3641,5315,802,4513,711,214,690,465,807,617,311,698,4261,435,3826,556,123,357,455,546,381,161,1247,758,118,640,122,47,36,99,100,0,99,137,11087,1687,9400,1660,990,1675,824,1295,1004,393,1559
"Clifton City School District, New Jersey","3403300",70381,11733,58648,8778,4590,9005,7306,8090,6791,3396,10692,30385,5424,24961,4096,1733,3429,2664,3732,3150,1634,4523,8723,895,7828,992,461,990,845,951,999,567,2023,2205,449,1756,274,69,270,324,279,235,22,283,29068,4965,24103,3416,2327,4316,3473,3128,2407,1173,3863
"Collingswood Borough School District, New Jersey","3403420",11677,768,10909,1451,779,1554,1592,1507,1536,420,2070,5820,425,5395,943,410,770,707,687,822,188,868,5074,302,4772,420,329,654,762,674,625,209,1099,165,0,165,10,3,36,62,0,33,0,21,618,41,577,78,37,94,61,146,56,23,82
"Commercial Township School District, New Jersey","3403480",3922,563,3359,795,492,580,515,398,291,78,210,2874,444,2430,569,330,445,386,265,231,43,161,838,107,731,125,120,121,122,117,60,35,31,103,0,103,69,34,0,0,0,0,0,0,107,12,95,32,8,14,7,16,0,0,18
"Corbin City School District, New Jersey","3403510",406,32,374,62,46,47,44,51,46,25,53,307,24,283,50,33,38,35,40,40,15,32,94,8,86,11,10,9,8,11,6,10,21,3,0,3,1,1,0,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0
"Cranbury Township School District, New Jersey","3403540",3151,459,2692,360,142,235,218,302,300,102,1033,1421,292,1129,235,67,105,128,126,117,74,277,1198,80,1118,106,60,89,45,142,116,28,532,23,0,23,7,8,0,0,0,0,0,8,509,87,422,12,7,41,45,34,67,0,216
"Cranford Township School District, New Jersey","3403570",19464,1903,17561,2257,943,1845,1631,2260,2100,1100,5425,12225,1169,11056,1623,648,1210,1017,1414,1370,585,3189,4808,419,4389,394,100,297,352,619,587,314,1726,150,32,118,11,31,12,10,14,13,0,27,2281,283,1998,229,164,326,252,213,130,201,483
"Cresskill Borough School District, New Jersey","3403600",7061,1548,5513,667,361,542,410,499,561,250,2223,2243,598,1645,323,156,173,173,181,129,21,489,2053,411,1642,201,121,128,119,137,239,169,528,181,7,174,36,6,0,0,35,21,0,76,2584,532,2052,107,78,241,118,146,172,60,1130
