"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Branchburg Township School District, New Jersey","3402160",9979,297,2010,1873,3325,2474,5069,113,1034,1141,1581,1200,3032,59,659,371,1130,813,69,0,0,14,55,0,1809,125,317,347,559,461
"Brick Township School District, New Jersey","3402220",54387,4028,19009,15849,11063,4438,36754,2231,13445,10821,7562,2695,12313,746,4059,3782,2462,1264,730,143,258,166,163,0,4590,908,1247,1080,876,479
"Bridgeton City School District, New Jersey","3402250",15041,6000,5413,2902,474,252,7301,1733,3190,1984,240,154,2342,566,1038,547,120,71,600,333,181,76,10,0,4798,3368,1004,295,104,27
"Bridgewater-Raritan Regional School District, New Jersey","3402280",36013,1832,7406,7234,10555,8986,15573,564,3819,3885,4395,2910,8035,360,1555,1602,2486,2032,412,41,49,52,138,132,11993,867,1983,1695,3536,3912
"Brielle Borough School District, New Jersey","3402310",3340,92,409,805,1276,758,2290,27,245,598,932,488,869,15,116,200,338,200,24,0,0,0,0,24,157,50,48,7,6,46
"Brigantine City School District, New Jersey","3402340",7558,710,2072,2057,1857,862,2795,182,746,894,689,284,3788,220,1169,1012,927,460,61,0,34,19,8,0,914,308,123,132,233,118
"Brooklawn Borough School District, New Jersey","3402370",1345,196,583,348,188,30,745,61,389,163,121,11,386,61,126,128,61,10,20,4,6,6,4,0,194,70,62,51,2,9
"Buena Regional School District, New Jersey","3402400",8284,1396,3306,2002,993,587,4677,618,2032,1153,534,340,2138,275,734,615,360,154,645,333,197,115,0,0,824,170,343,119,99,93
"Burlington City School District, New Jersey","3402430",6635,787,2545,2018,819,466,3554,384,1404,1115,459,192,2118,199,818,639,267,195,176,16,73,67,0,20,787,188,250,197,93,59
"Burlington Township School District, New Jersey","3402460",14687,1264,4479,4073,3157,1714,5982,375,1852,1795,1300,660,5712,471,1745,1606,1313,577,521,11,152,105,179,74,2472,407,730,567,365,403
"Butler Borough School District, New Jersey","3402520",5433,394,1659,1268,1455,657,3100,213,1009,799,805,274,1127,15,287,143,384,298,56,3,0,0,36,17,1150,163,363,326,230,68
"Caldwell-West Caldwell School District, New Jersey","3402580",13582,874,2987,2974,4525,2222,8006,239,1960,1683,2812,1312,3114,63,469,800,1243,539,172,16,66,28,21,41,2290,556,492,463,449,330
"Camden City School District, New Jersey","3402640",42823,13340,16201,9773,2522,987,19227,4420,7845,5487,1074,401,7718,1716,2880,2042,663,417,7352,3616,2432,1041,196,67,8526,3588,3044,1203,589,102
"Cape May Point Borough School District, New Jersey","3402760",207,1,39,28,59,80,51,0,12,8,11,20,152,1,26,18,48,59,1,0,1,0,0,0,3,0,0,2,0,1
"Carteret Borough School District, New Jersey","3402820",16184,2386,5596,4277,2814,1111,6289,517,2696,1827,1035,214,2076,197,793,588,248,250,1090,372,367,261,40,50,6729,1300,1740,1601,1491,597
"Cedar Grove Township School District, New Jersey","3402850",9414,743,2511,1670,3126,1364,5636,290,1693,1019,1918,716,1878,104,361,293,706,414,91,4,34,0,53,0,1809,345,423,358,449,234
"Cherry Hill Township School District, New Jersey","3403000",49795,2951,9297,10353,15277,11917,14923,715,3194,3491,4795,2728,23488,844,4062,4779,7531,6272,733,176,92,214,63,188,10651,1216,1949,1869,2888,2729
"Chesilhurst Borough School District, New Jersey","3403030",1243,252,537,345,69,40,552,65,284,148,28,27,494,119,159,165,41,10,89,7,60,22,0,0,108,61,34,10,0,3
