"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Wildwood Crest Borough School District, New Jersey","3417970",3210,84,398,205,153,277,348,197,160,243,703,442,1234,84,234,139,102,67,107,50,71,72,215,93,1660,0,104,44,51,140,206,147,80,130,415,343,71,0,17,22,0,0,9,0,0,23,0,0,245,0,43,0,0,70,26,0,9,18,73,6
"Willingboro Township School District, New Jersey","3418000",31462,1749,4802,3792,3324,3726,4740,2126,926,979,3004,2294,13997,1471,3448,2363,1660,1579,1490,677,247,161,561,340,12394,278,1137,1089,1051,1214,2086,937,460,613,1896,1633,737,0,16,104,58,117,174,75,16,29,99,49,4334,0,201,236,555,816,990,437,203,176,448,272
"Winfield Township School District, New Jersey","3418030",1545,84,187,139,189,226,269,102,28,58,163,100,1317,84,187,114,146,205,235,96,22,55,119,54,164,0,0,25,40,8,8,6,6,3,27,41,9,0,0,0,0,0,3,0,0,0,4,2,55,0,0,0,3,13,23,0,0,0,13,3
"Winslow Township School District, New Jersey","3418060",39417,2326,7296,3140,5308,5213,6419,2995,879,1167,2852,1822,22628,2023,5854,2250,3048,3152,2740,1165,364,406,1015,611,13034,242,1155,716,1279,1502,3020,1404,427,673,1544,1072,567,29,33,87,116,12,58,145,0,19,55,13,3188,32,254,87,865,547,601,281,88,69,238,126
"Woodbine Borough School District, New Jersey","3418090",2690,205,383,350,205,358,385,311,65,98,210,120,1780,205,339,251,137,233,191,160,41,55,115,53,627,0,41,78,40,74,146,91,17,32,68,40,210,0,0,21,21,19,45,38,5,11,23,27,73,0,3,0,7,32,3,22,2,0,4,0
"Woodbridge Township School District, New Jersey","3418120",101131,6215,14478,6915,15715,14459,15961,7489,2795,3722,7527,5855,53062,5314,10492,4783,7043,5690,7228,3517,1313,1717,3168,2797,14900,479,2198,986,1793,1457,2371,1350,474,665,1590,1537,2138,60,133,64,272,289,488,150,110,95,351,126,31031,362,1655,1082,6607,7023,5874,2472,898,1245,2418,1395
"Woodbury City School District, New Jersey","3418150",10024,779,1417,1110,1396,1336,1370,644,340,272,856,504,6049,694,1072,818,805,685,769,351,159,105,396,195,3169,85,338,188,328,566,450,269,162,134,378,271,98,0,0,0,0,0,24,0,19,21,34,0,708,0,7,104,263,85,127,24,0,12,48,38
"Woodlynne Borough School District, New Jersey","3418270",2955,245,627,417,506,413,354,111,17,82,134,49,1419,224,547,221,135,88,94,34,5,14,34,23,427,14,46,93,73,53,73,23,0,26,26,0,272,0,10,9,97,37,28,36,4,4,30,17,837,7,24,94,201,235,159,18,8,38,44,9
"Wood-Ridge Borough School District, New Jersey","3418300",8109,522,991,748,825,1414,1175,688,246,269,658,573,5376,479,886,564,551,938,735,332,87,152,282,370,1214,27,62,88,114,189,260,136,47,48,158,85,59,16,43,0,0,0,0,0,0,0,0,0,1460,0,0,96,160,287,180,220,112,69,218,118
"Woodstown-Pilesgrove Regional School District, New Jersey","3418330",7646,405,1341,642,776,837,1086,585,194,266,761,753,4436,309,819,312,464,495,547,387,122,124,431,426,2867,96,491,287,285,285,495,198,64,112,283,271,58,0,8,28,12,9,0,0,1,0,0,0,285,0,23,15,15,48,44,0,7,30,47,56
