"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Summit City School District, New Jersey","3415900",21809,1114,961,19734,9624,461,326,8837,6917,202,101,6614,314,29,42,243,4954,422,492,4040
"Teaneck Township School District, New Jersey","3416080",39632,2206,1970,35456,12981,766,936,11279,16863,785,569,15509,600,86,0,514,9188,569,465,8154
"Tenafly Borough School District, New Jersey","3416110",14758,770,33,13955,3975,131,4,3840,5748,233,4,5511,213,0,0,213,4822,406,25,4391
"Toms River Regional School District, New Jersey","3416230",106368,7322,5762,93284,76110,5442,3865,66803,20484,1003,1154,18327,1133,160,95,878,8641,717,648,7276
"Trenton City School District, New Jersey","3416290",80366,22166,13253,44947,43101,12608,6950,23543,12416,2976,1896,7544,4360,1284,771,2305,20489,5298,3636,11555
"Union Beach Borough School District, New Jersey","3416350",5652,606,417,4629,4208,438,244,3526,943,120,89,734,63,31,23,9,438,17,61,360
"Union City School District, New Jersey","3416380",68553,16651,9208,42694,19687,5516,2782,11389,5675,1196,358,4121,3203,785,490,1928,39988,9154,5578,25256
"Barnegat Township School District, New Jersey","3416470",21705,2326,1083,18296,14290,1253,729,12308,5848,781,270,4797,207,32,0,175,1360,260,84,1016
"Union Township School District, New Jersey","3416500",56146,4042,3079,49025,31436,2458,1796,27182,6499,345,386,5768,1313,125,10,1178,16898,1114,887,14897
"Upper Freehold Regional School District, New Jersey","3416560",8764,176,248,8340,5828,160,121,5547,2359,12,116,2231,41,0,0,41,536,4,11,521
"Upper Pittsgrove Township School District, New Jersey","3416590",3358,231,49,3078,2506,154,17,2335,672,71,32,569,36,4,0,32,144,2,0,142
"Upper Township School District, New Jersey","3416650",12098,419,632,11047,7625,267,389,6969,4096,125,233,3738,143,0,0,143,234,27,10,197
"Ventnor City City School District, New Jersey","3416680",10398,1569,1083,7746,4625,795,463,3367,2804,258,321,2225,365,134,78,153,2604,382,221,2001
"Vernon Township School District, New Jersey","3416710",22747,1180,521,21046,15665,821,305,14539,5194,197,108,4889,258,2,40,216,1630,160,68,1402
"Verona Borough School District, New Jersey","3416740",13449,358,433,12658,8191,219,154,7818,3320,15,99,3206,61,12,0,49,1877,112,180,1585
"Vineland City School District, New Jersey","3416800",59496,10463,6425,42608,36721,6036,3397,27288,9285,1426,869,6990,5923,1576,1181,3166,7567,1425,978,5164
"Waldwick Borough School District, New Jersey","3416860",9922,619,333,8970,5849,260,114,5475,2502,208,136,2158,67,0,0,67,1504,151,83,1270
"Wall Township School District, New Jersey","3416890",25633,1409,855,23369,18780,1049,493,17238,5276,250,276,4750,247,33,27,187,1330,77,59,1194
"Wallington Borough School District, New Jersey","3416920",11618,1429,820,9369,5593,802,312,4479,1010,91,48,871,131,21,0,110,4884,515,460,3909
"Washington Township School District (Burlington County), New Jersey","3417040",789,56,63,670,549,49,42,458,144,5,5,134,64,2,13,49,32,0,3,29
"Washington Township School District (Gloucester County), New Jersey","3417070",48056,1907,1947,44202,23027,1023,938,21066,21647,725,732,20190,437,16,0,421,2945,143,277,2525
"Robbinsville Township School District, New Jersey","3417100",14101,172,411,13518,8197,91,253,7853,3789,48,125,3616,110,0,12,98,2005,33,21,1951
"Waterford Township School District, New Jersey","3417250",10684,589,828,9267,7139,370,686,6083,2850,138,142,2570,94,18,0,76,601,63,0,538
