"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Atlantic County, New Jersey","34001",184404,29155,63515,49009,29237,13488,81174,9204,30371,23458,12972,5169,60670,6625,20233,18041,10260,5511,6686,2772,2244,1038,403,229,35874,10554,10667,6472,5602,2579
"Bergen County, New Jersey","34003",629850,56856,157949,130984,178189,105872,209064,13327,64390,49015,54909,27423,181342,8413,37565,38905,55850,40609,10419,1929,3154,2197,1832,1307,229025,33187,52840,40867,65598,36533
"Burlington County, New Jersey","34005",306186,26274,92743,83331,66985,36853,127560,10529,44276,35719,25650,11386,135250,8584,37240,38605,31911,18910,6209,1032,1792,1622,1059,704,37167,6129,9435,7385,8365,5853
"Camden County, New Jersey","34007",341115,48004,110762,86300,61132,34917,142375,16497,52902,39402,23423,10151,141206,14264,43388,37627,28137,17790,14176,6270,4206,2308,1001,391,43358,10973,10266,6963,8571,6585
"Cape May County, New Jersey","34009",71073,7875,25741,18221,12631,6605,25661,2625,9363,7091,4698,1884,41223,4048,15091,10420,7405,4259,783,182,352,177,21,51,3406,1020,935,533,507,411
"Cumberland County, New Jersey","34011",103666,24148,40954,24099,10134,4331,59865,10506,26080,15099,5832,2348,24413,4693,9331,6053,2900,1436,6784,3419,2069,1044,223,29,12604,5530,3474,1903,1179,518
"Essex County, New Jersey","34013",512885,90057,148114,111882,99374,63458,207177,25044,67721,51661,41509,21242,121687,15097,27568,24374,29569,25079,23332,9510,6796,4102,1971,953,160689,40406,46029,31745,26325,16184
"Gloucester County, New Jersey","34015",189880,18961,66302,52603,35716,16298,89999,8134,34374,25197,15619,6675,85171,7845,28277,24350,16879,7820,2609,491,817,668,368,265,12101,2491,2834,2388,2850,1538
"Hudson County, New Jersey","34017",434268,81862,115814,83243,98573,54776,114885,13577,38982,25057,25316,11953,78068,6759,14492,16777,25614,14426,21802,7848,6850,3995,2157,952,219513,53678,55490,37414,45486,27445
"Hunterdon County, New Jersey","34019",88749,5369,20132,20667,25013,17568,48000,2906,13283,12022,12903,6886,30559,1080,5184,6309,9777,8209,1074,135,143,279,193,324,9116,1248,1522,2057,2140,2149
"Mercer County, New Jersey","34021",242371,31327,63101,55877,49377,42689,106367,10785,35097,30097,20094,10294,67622,5309,12797,14534,17368,17614,7270,2164,2364,1562,736,444,61112,13069,12843,9684,11179,14337
"Middlesex County, New Jersey","34023",538240,61229,151141,116542,126599,82729,193734,15734,72892,51095,37603,16410,122748,7728,34066,32130,27833,20991,15963,5245,5049,2928,1717,1024,205795,32522,39134,30389,59446,44304
"Monmouth County, New Jersey","34025",428233,36124,116032,106454,106495,63128,199949,12487,61479,51568,50561,23854,150538,7820,34743,39665,41273,27037,6480,1643,1763,1566,975,533,71266,14174,18047,13655,13686,11704
"Morris County, New Jersey","34027",338338,23286,79558,69675,100206,65613,159690,7180,44341,37798,45801,24570,94382,3193,15783,18851,32572,23983,4801,993,1372,933,932,571,79465,11920,18062,12093,20901,16489
"Ocean County, New Jersey","34029",396825,42723,150245,106448,65869,31540,226624,20077,92498,60773,37214,16062,124783,10749,44050,35582,21906,12496,6932,1567,2164,1965,842,394,38486,10330,11533,8128,5907,2588
"Passaic County, New Jersey","34031",322936,59021,112675,69191,56071,25978,129142,12467,48419,31529,25506,11221,54029,6153,16114,13506,11184,7072,24312,10133,8280,3475,1899,525,115453,30268,39862,20681,17482,7160
"Salem County, New Jersey","34033",44836,6413,17467,12664,5667,2625,26782,3215,11832,7420,3186,1129,15202,2251,4854,4567,2213,1317,680,251,336,33,34,26,2172,696,445,644,234,153
"Somerset County, New Jersey","34035",219701,15394,48873,45046,62056,48332,89374,4235,22690,22267,26399,13783,62269,2268,10873,12485,19790,16853,3059,506,1035,580,634,304,64999,8385,14275,9714,15233,17392
"Sussex County, New Jersey","34037",101775,6757,33396,29499,21452,10671,61233,4009,22662,17740,11984,4838,29886,1269,7991,8959,7429,4238,1207,194,302,389,162,160,9449,1285,2441,2411,1877,1435
"Union County, New Jersey","34039",356568,53644,110890,79530,68852,43652,140461,10957,47731,35693,30327,15753,74579,5974,17432,15659,20016,15498,9706,2400,3488,2264,997,557,131822,34313,42239,25914,17512,11844
"Warren County, New Jersey","34041",74363,7834,26356,18462,14621,7090,43919,4565,17515,11023,7626,3190,21229,1721,6423,5280,5021,2784,951,254,263,178,119,137,8264,1294,2155,1981,1855,979
