"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Atlantic County, New Jersey","34001",39.7,28,52.5,43.1,42.3
"Bergen County, New Jersey","34003",41,28.1,47.7,43.8,45.1
"Burlington County, New Jersey","34005",40,29.2,47.9,42.7,44
"Camden County, New Jersey","34007",37.5,27,48.3,44.3,41.4
"Cape May County, New Jersey","34009",46.8,30.7,55.7,43.3,41.5
"Cumberland County, New Jersey","34011",36.7,31.1,48.2,48.2,36.6
"Essex County, New Jersey","34013",36.2,25.7,45.4,45.8,42.3
"Gloucester County, New Jersey","34015",38.5,28.9,47.5,42.4,44.7
"Hudson County, New Jersey","34017",34.2,23.8,33.3,48,41
"Hunterdon County, New Jersey","34019",42.9,37.3,49.4,46.7,44
"Mercer County, New Jersey","34021",37.7,29.8,46.2,41.2,39.8
"Middlesex County, New Jersey","34023",37.1,25.6,46,47.4,40.5
"Monmouth County, New Jersey","34025",41,32.1,48.5,47.1,43.6
"Morris County, New Jersey","34027",40.9,32.9,48.8,44.8,43.7
"Ocean County, New Jersey","34029",42.5,36.7,52.9,41.7,45.9
"Passaic County, New Jersey","34031",36.2,24.6,46.4,44.1,42.6
"Salem County, New Jersey","34033",40.8,38.7,44.1,44.5,42.6
"Somerset County, New Jersey","34035",39.9,27.7,49.2,50.1,42.3
"Sussex County, New Jersey","34037",41.2,35.7,49.3,43.4,46.5
"Union County, New Jersey","34039",37.9,26.6,46.2,41.7,42.9
"Warren County, New Jersey","34041",41,37.1,47.3,49,43.9
