"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Atlantic County, New Jersey","34001",265698,33228,23358,209112,146114,19294,12150,114670,69514,7088,4921,57505,8232,2110,1305,4817,41838,4736,4982,32120
"Bergen County, New Jersey","34003",890966,54390,39277,797299,385987,19869,14776,351342,232611,10187,7722,214702,13407,1252,896,11259,258961,23082,15883,219996
"Burlington County, New Jersey","34005",435419,23077,20257,392085,225747,13015,10936,201796,160182,6550,6224,147408,7774,555,427,6792,41716,2957,2670,36089
"Camden County, New Jersey","34007",506188,59669,35047,411472,263537,35370,17505,210662,173661,12835,9996,150830,17131,4508,2494,10129,51859,6956,5052,39851
"Cape May County, New Jersey","34009",94929,9139,7206,78584,44010,4499,3263,36248,45744,3702,3443,38599,1069,181,13,875,4106,757,487,2862
"Cumberland County, New Jersey","34011",145319,22774,14309,108236,96041,14973,8291,72777,26761,3538,2799,20424,7071,1512,935,4624,15446,2751,2284,10411
"Essex County, New Jersey","34013",760974,113676,63398,583900,392462,66825,30527,295110,155225,16765,10494,127966,27243,6008,3075,18160,186044,24078,19302,142664
"Gloucester County, New Jersey","34015",282166,20717,13994,247455,159253,13247,8063,137943,105759,5293,4964,95502,3005,437,389,2179,14149,1740,578,11831
"Hudson County, New Jersey","34017",620713,93609,58613,468491,235334,39562,22704,173068,106502,11301,5941,89260,26051,5281,3453,17317,252826,37465,26515,188846
"Hunterdon County, New Jersey","34019",124177,4437,3541,116199,76966,2933,2245,71788,35671,960,1005,33706,1261,84,45,1132,10279,460,246,9573
"Mercer County, New Jersey","34021",345534,36926,19988,288620,183283,21396,9796,152091,82278,6436,3017,72825,8911,1481,1425,6005,71062,7613,5750,57699
"Middlesex County, New Jersey","34023",781158,58351,40999,681808,365935,28698,17890,319347,158396,8805,5697,143894,19107,2545,1993,14569,237720,18303,15419,203998
"Monmouth County, New Jersey","34025",622479,40517,30250,551712,349395,23463,15909,310023,183513,7876,7023,168614,7863,825,616,6422,81708,8353,6702,66653
"Morris County, New Jersey","34027",483723,20068,16068,447587,274687,10095,7668,256924,112002,3588,2574,105840,6052,345,354,5353,90982,6040,5472,79470
"Ocean County, New Jersey","34029",565080,53757,41921,469402,366484,33551,25026,307907,145318,13440,10281,121597,9199,1845,1249,6105,44079,4921,5365,33793
"Passaic County, New Jersey","34031",489330,75100,46107,368123,255639,38369,20078,197192,67079,7317,3679,56083,29890,7290,5462,17138,136722,22124,16888,97710
"Salem County, New Jersey","34033",65134,7058,5412,52664,41349,4700,3796,32853,20628,1673,1358,17597,701,245,43,413,2456,440,215,1801
"Somerset County, New Jersey","34035",317929,11659,10296,295974,166381,5711,4919,155751,74663,1894,1940,70829,3641,91,129,3421,73244,3963,3308,65973
"Sussex County, New Jersey","34037",147955,7320,6261,134374,100399,4976,4733,90690,35662,1509,1024,33129,1519,109,75,1335,10375,726,429,9220
"Union County, New Jersey","34039",525428,51585,34604,439239,264972,25970,15203,223799,94906,7730,4583,82593,12738,2029,1276,9433,152812,15856,13542,123414
"Warren County, New Jersey","34041",107257,8113,5021,94123,69945,5577,3242,61126,26881,1647,1060,24174,1093,109,95,889,9338,780,624,7934
