"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"State Senate District 4 (2016), South Carolina","45004",40.6,36.7,49.6,52.5,44.4
"State Senate District 5 (2016), South Carolina","45005",40.3,33.4,48.3,43.2,43.1
"State Senate District 6 (2016), South Carolina","45006",36.1,29.4,44.3,36.5,37.3
"State Senate District 7 (2016), South Carolina","45007",35.5,32,40.5,32.6,38.3
"State Senate District 8 (2016), South Carolina","45008",39.5,30.8,45.5,38.5,43.9
"State Senate District 9 (2016), South Carolina","45009",40.5,35.7,48.7,46.3,41.2
"State Senate District 10 (2016), South Carolina","45010",39.8,36.5,50,38.2,35.1
"State Senate District 11 (2016), South Carolina","45011",36.2,32.7,41.9,34.1,37.5
"State Senate District 12 (2016), South Carolina","45012",37.8,29.5,44.8,39.3,42.5
"State Senate District 13 (2016), South Carolina","45013",40.5,35.4,47.3,50,45.8
"State Senate District 14 (2016), South Carolina","45014",40,36.6,43.2,38.8,41.5
"State Senate District 15 (2016), South Carolina","45015",37,30.9,40.6,39.6,41.2
"State Senate District 16 (2016), South Carolina","45016",40.3,39.4,40.6,41.2,42.1
"State Senate District 17 (2016), South Carolina","45017",41.8,39.9,45.8,51.4,42.4
"State Senate District 18 (2016), South Carolina","45018",42,36.2,49.6,49.1,40
"State Senate District 19 (2016), South Carolina","45019",33.4,31,36.8,35,34.4
"State Senate District 20 (2016), South Carolina","45020",33.5,28.5,39.9,35.9,35
"State Senate District 21 (2016), South Carolina","45021",28.3,30.1,25.5,28,32.8
"State Senate District 22 (2016), South Carolina","45022",37.7,30.4,44.1,34.1,47.4
"State Senate District 23 (2016), South Carolina","45023",37.5,31.8,45.5,40.9,39.7
"State Senate District 24 (2016), South Carolina","45024",44,41.9,45.1,38.4,48.7
"State Senate District 25 (2016), South Carolina","45025",38.7,38,40,41.2,36.3
"State Senate District 26 (2016), South Carolina","45026",39.1,37.3,42.9,44.3,35.2
"State Senate District 27 (2016), South Carolina","45027",42.8,42.1,44.4,44.5,41.2
"State Senate District 28 (2016), South Carolina","45028",46.6,35.7,55.9,41.9,44
"State Senate District 29 (2016), South Carolina","45029",40.5,39.7,43.8,42.8,38.4
"State Senate District 30 (2016), South Carolina","45030",37.9,35.4,45.9,26.1,37.4
"State Senate District 31 (2016), South Carolina","45031",39.2,35.1,47.8,42.4,44.3
"State Senate District 32 (2016), South Carolina","45032",40.3,38.9,43.7,38.9,38.8
"State Senate District 33 (2016), South Carolina","45033",39.4,23.2,48.3,37.6,40.3
"State Senate District 34 (2016), South Carolina","45034",50.5,30.1,56.8,45.5,45.9
"State Senate District 35 (2016), South Carolina","45035",36.6,31.9,42,30.9,45.3
"State Senate District 36 (2016), South Carolina","45036",40.8,37.3,49.4,41.1,40.3
"State Senate District 37 (2016), South Carolina","45037",35.6,28.2,40.5,36.5,42.4
"State Senate District 38 (2016), South Carolina","45038",35.7,25.1,43.6,35,42.1
"State Senate District 39 (2016), South Carolina","45039",41.9,38,50,44.8,44.5
"State Senate District 40 (2016), South Carolina","45040",40.4,38.9,45.5,35.6,41.5
"State Senate District 41 (2016), South Carolina","45041",38.8,33.3,43,35.5,45.1
"State Senate District 42 (2016), South Carolina","45042",31.3,29.8,32.7,27.6,34.3
"State Senate District 43 (2016), South Carolina","45043",40.6,33.5,44.3,39.9,44.7
"State Senate District 44 (2016), South Carolina","45044",34.2,24.4,42.4,38.7,43
"State Senate District 45 (2016), South Carolina","45045",39.2,37.4,44.7,31.8,35.4
"State Senate District 46 (2016), South Carolina","45046",49.9,18.3,58.8,39.8,42.5
"State Senate District 1 (2016), South Carolina","45001",38,31.2,48.4,51,35.2
"State Senate District 2 (2016), South Carolina","45002",41.2,35.8,49.1,48.9,41.2
"State Senate District 3 (2016), South Carolina","45003",41,35.8,48.6,38.6,40.8
