"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Clinch County School District, Georgia","1301260",5156,808,4348,1151,724,784,518,497,281,165,228,3895,518,3377,895,602,605,401,383,220,137,134,1137,198,939,256,122,169,105,114,51,28,94,10,0,10,0,0,0,0,0,10,0,0,114,92,22,0,0,10,12,0,0,0,0
"Cobb County School District, Georgia","1301290",513821,75409,438412,76112,35129,63234,52933,58305,46082,20707,85910,150108,28174,121934,27670,11536,18568,14229,16362,11397,4962,17210,263849,30150,233699,34190,15505,28336,27351,31857,28375,12417,55668,8467,1140,7327,1338,527,792,796,1145,751,343,1635,91397,15945,75452,12914,7561,15538,10557,8941,5559,2985,11397
"Coffee County School District, Georgia","1301350",33920,8892,25028,6082,3112,5893,3553,2784,1547,576,1481,24648,6333,18315,4308,2341,4083,2711,2195,1250,477,950,6565,1721,4844,1313,483,1179,585,481,297,82,424,151,62,89,37,0,3,22,0,0,17,10,2556,776,1780,424,288,628,235,108,0,0,97
"Colquitt County School District, Georgia","1301380",35394,6333,29061,7291,4632,6329,4008,3156,1650,625,1370,24135,4242,19893,5017,2962,4431,2607,2316,1232,461,867,6273,955,5318,1303,1026,856,842,456,290,114,431,144,11,133,6,29,25,19,11,0,0,43,4842,1125,3717,965,615,1017,540,373,128,50,29
"Columbia County School District, Georgia","1301410",103531,17306,86225,15774,7295,12497,9553,11637,10353,4474,14642,44255,8382,35873,7745,3263,5659,3948,4964,4190,1456,4648,47476,6227,41249,6567,2995,5207,4525,5575,5241,2698,8441,3236,377,2859,515,367,459,276,351,339,156,396,8564,2320,6244,947,670,1172,804,747,583,164,1157
"Commerce City School District, Georgia","1301440",4979,840,4139,946,754,782,522,593,293,86,163,3217,622,2595,719,448,391,324,396,175,45,97,1266,164,1102,145,255,175,141,185,102,41,58,30,0,30,0,0,0,20,0,10,0,0,466,54,412,82,51,216,37,12,6,0,8
"Cook County School District, Georgia","1301470",13249,2106,11143,2691,1726,1984,1841,1186,874,266,575,9677,1538,8139,2076,1182,1436,1380,832,588,230,415,2952,486,2466,575,374,407,439,308,228,36,99,61,0,61,0,27,17,0,0,17,0,0,559,82,477,40,143,124,22,46,41,0,61
"Coweta County School District, Georgia","1301500",102652,16864,85788,14622,8842,13436,10142,12977,9778,3809,12182,52379,9354,43025,8768,5260,6731,5402,6894,4428,1604,3938,41402,5713,35689,4709,2926,4728,3970,5203,4676,1899,7578,1463,237,1226,235,110,108,77,115,277,138,166,7408,1560,5848,910,546,1869,693,765,397,168,500
"Crawford County School District, Georgia","1301530",10233,1636,8597,1950,994,1584,1336,1263,600,277,593,7541,1398,6143,1605,682,1083,981,855,413,124,400,2479,234,2245,332,302,501,296,360,131,137,186,94,0,94,0,10,0,27,24,33,0,0,119,4,115,13,0,0,32,24,23,16,7
"Crisp County School District, Georgia","1301560",18497,2809,15688,4467,2067,3145,2073,1894,931,276,835,15218,2301,12917,3737,1617,2795,1716,1577,696,238,541,2902,360,2542,687,368,337,349,274,224,38,265,20,1,19,0,0,0,0,19,0,0,0,357,147,210,43,82,13,8,24,11,0,29
