"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Clinch County School District, Georgia","1301260",6658,2306,634,3718,5331,1830,507,2994,1206,392,127,687,10,0,0,10,111,84,0,27
"Cobb County School District, Georgia","1301290",644906,79596,47658,517652,248249,35816,20527,191906,291224,26764,15900,248560,9823,910,928,7985,95610,16106,10303,69201
"Coffee County School District, Georgia","1301350",39381,10255,5281,23845,30846,7411,4299,19136,5971,1740,757,3474,127,23,0,104,2437,1081,225,1131
"Colquitt County School District, Georgia","1301380",44974,12448,7231,25295,32527,8446,5146,18935,7260,1966,1353,3941,153,44,0,109,5034,1992,732,2310
"Columbia County School District, Georgia","1301410",131606,12596,6600,112410,63763,6888,3819,53056,54803,4303,2087,48413,3930,368,281,3281,9110,1037,413,7660
"Commerce City School District, Georgia","1301440",6349,1730,591,4028,4392,1409,366,2617,1421,284,115,1022,70,0,9,61,466,37,101,328
"Cook County School District, Georgia","1301470",16886,4245,2298,10343,12826,3299,1759,7768,3403,796,458,2149,99,0,16,83,558,150,65,343
"Coweta County School District, Georgia","1301500",130629,17013,9165,104451,74930,11606,5320,58004,46282,4037,2321,39924,1539,93,171,1275,7878,1277,1353,5248
"Crawford County School District, Georgia","1301530",12358,2138,1720,8500,9550,1816,1544,6190,2596,318,176,2102,94,0,0,94,118,4,0,114
"Crisp County School District, Georgia","1301560",22881,7261,2685,12935,19573,6496,2393,10684,2914,592,184,2138,22,3,0,19,372,170,108,94
"Dade County School District, Georgia","1301590",15271,2094,1913,11264,4780,703,685,3392,10216,1343,1218,7655,56,10,10,36,219,38,0,181
"Dalton City School District, Georgia","1301620",32639,8680,5855,18104,14985,4034,2509,8442,8030,2012,1251,4767,428,85,101,242,9196,2549,1994,4653
"Dawson County School District, Georgia","1301650",22169,3498,1952,16719,13341,2423,1349,9569,7912,1016,569,6327,155,5,0,150,761,54,34,673
"Decatur City School District, Georgia","1301680",19038,3081,877,15080,8337,1820,495,6022,8985,862,337,7786,310,4,0,306,1406,395,45,966
"Decatur County School District, Georgia","1301710",26278,7788,3777,14713,18776,6161,2544,10071,6696,1456,965,4275,68,0,13,55,738,171,255,312
"DeKalb County School District, Georgia","1301740",644229,128542,69318,446369,288607,62729,33154,192724,235753,34906,18324,182523,8739,1338,802,6599,111130,29569,17038,64523
"Dodge County School District, Georgia","1301770",19292,3779,2884,12629,15846,3057,2148,10641,2990,654,611,1725,142,0,35,107,314,68,90,156
"Dooly County School District, Georgia","1301800",12377,3451,2289,6637,10692,2867,1994,5831,1203,305,215,683,8,8,0,0,474,271,80,123
"Dougherty School District, Georgia","1301830",90448,29285,11789,49374,69207,24491,9319,35397,18554,4054,2074,12426,594,112,32,450,2093,628,364,1101
"Douglas County School District, Georgia","1301860",133275,21621,13091,98563,70569,11841,7177,51551,50591,7978,4147,38466,1627,217,428,982,10488,1585,1339,7564
"Dublin City School District, Georgia","1301870",15364,5251,1965,8148,12891,4472,1743,6676,2041,750,222,1069,48,0,0,48,384,29,0,355
"Laurens County School District, Georgia","1301890",31488,6795,5090,19603,26038,5965,4220,15853,4566,621,741,3204,155,39,38,78,729,170,91,468
"Early County School District, Georgia","1301920",10433,2852,1124,6457,8202,2348,951,4903,2128,482,142,1504,9,0,0,9,94,22,31,41
"Echols County School District, Georgia","1301950",4014,1210,371,2433,2406,572,182,1652,884,293,126,465,13,0,0,13,711,345,63,303
"Effingham County School District, Georgia","1301980",53123,5601,5427,42095,34218,4196,3751,26271,17063,1313,1570,14180,793,56,30,707,1049,36,76,937
"Elbert County School District, Georgia","1302010",19429,3977,2316,13136,15245,3262,1733,10250,3621,573,408,2640,31,0,0,31,532,142,175,215
"Emanuel County School District, Georgia","1302040",21820,6729,3118,11973,18277,5367,2820,10090,3228,1304,247,1677,40,0,0,40,275,58,51,166
"Evans County School District, Georgia","1302070",10343,2793,1180,6370,7818,2040,887,4891,1705,363,222,1120,65,0,4,61,755,390,67,298
"Fannin County School District, Georgia","1302100",23327,5280,3211,14836,12146,3057,1591,7498,10819,2061,1592,7166,82,30,0,52,280,132,28,120
"Fayette County School District, Georgia","1302130",107261,8646,5980,92635,44228,3869,3187,37172,51419,3234,1920,46265,1836,205,109,1522,9778,1338,764,7676
"Floyd County School District, Georgia","1302190",57952,9737,6871,41344,42533,6767,5251,30515,12823,2116,1323,9384,497,39,26,432,2099,815,271,1013
"Forsyth County School District, Georgia","1302220",188464,13440,10497,164527,77409,6575,5311,65523,81965,4126,2881,74958,2164,82,56,2026,26926,2657,2249,22020
"Franklin County School District, Georgia","1302250",21350,4448,2904,13998,15932,3425,1940,10567,4737,830,917,2990,95,9,5,81,586,184,42,360
"Fulton County School District, Georgia","1302280",553341,66942,43771,442628,223461,35120,22134,166207,232033,20355,12722,198956,8516,524,590,7402,89331,10943,8325,70063
"Gainesville City School District, Georgia","1302310",33134,9327,5184,18623,16870,5668,2621,8581,7290,1038,1129,5123,314,64,0,250,8660,2557,1434,4669
"Gilmer County School District, Georgia","1302340",28133,6026,3566,18541,16609,3872,2030,10707,9632,1407,1412,6813,183,29,9,145,1709,718,115,876
"Glascock County School District, Georgia","1302370",2977,493,399,2085,2659,431,328,1900,286,56,59,171,15,0,2,13,17,6,10,1
"Glynn County School District, Georgia","1302400",79476,15650,8475,55351,46728,11248,6004,29476,27235,3245,1994,21996,883,110,35,738,4630,1047,442,3141
"Gordon County School District, Georgia","1302430",39627,7322,5250,27055,28371,5514,3892,18965,9168,1360,934,6874,101,22,11,68,1987,426,413,1148
"Grady County School District, Georgia","1302460",24862,7737,3952,13173,16942,5268,2827,8847,6363,1539,843,3981,70,20,10,40,1487,910,272,305
