"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Clinch County School District, Georgia","1301260",6777,635,1214,501,918,817,867,319,182,315,654,355,5399,565,1135,423,691,614,645,226,127,206,483,284,1254,70,79,78,128,191,219,93,55,102,171,68,10,0,0,0,10,0,0,0,0,0,0,0,114,0,0,0,89,12,3,0,0,7,0,3
"Cobb County School District, Georgia","1301290",650484,43726,121253,58187,90553,99875,98619,41288,14154,20248,38969,23612,251412,37775,79760,26389,26564,20283,21295,11035,3466,5609,10867,8369,293299,4924,34155,22907,40240,52220,57498,23783,8773,12377,23671,12751,9871,321,1505,1162,1814,1917,1626,705,107,288,306,120,95902,706,5833,7729,21935,25455,18200,5765,1808,1974,4125,2372
"Coffee County School District, Georgia","1301350",42947,2959,7875,4966,5663,5913,5791,2532,997,1185,3214,1852,33246,2874,7321,3559,3942,4048,4150,1948,724,857,2414,1409,6943,85,466,874,1196,1114,1107,527,257,302,658,357,151,0,0,40,16,19,53,0,0,0,0,23,2607,0,88,493,509,732,481,57,16,26,142,63
"Colquitt County School District, Georgia","1301380",45987,3732,8819,4161,6194,6132,5635,2901,1044,1243,3612,2514,33357,3270,7451,2671,3843,3627,4025,2072,710,901,2656,2131,7371,385,989,709,852,1042,1248,553,210,293,721,369,153,0,9,38,43,12,22,0,0,0,15,14,5106,77,370,743,1456,1451,340,276,124,49,220,0
"Columbia County School District, Georgia","1301410",132362,8636,26545,11357,17285,18403,19597,8314,3166,4577,8903,5579,64335,7217,16977,6166,7839,6984,7449,3175,991,2080,3411,2046,54948,1161,8202,4337,7101,9034,9546,4189,1755,2097,4552,2974,3945,229,579,281,760,522,1011,231,77,178,45,32,9134,29,787,573,1585,1863,1591,719,343,222,895,527
"Commerce City School District, Georgia","1301440",6535,714,1016,662,954,823,811,281,120,196,502,456,4549,596,870,502,568,432,512,154,93,142,327,353,1450,78,146,79,252,255,192,108,27,35,175,103,70,40,0,21,0,9,0,0,0,0,0,0,466,0,0,60,134,127,107,19,0,19,0,0
"Cook County School District, Georgia","1301470",17061,1220,3342,1289,2299,2246,2281,1091,379,528,1412,974,12940,1102,2769,973,1619,1487,1577,809,277,438,1126,763,3457,87,560,238,491,476,653,271,102,90,284,205,99,31,7,14,16,17,3,11,0,0,0,0,565,0,6,64,173,266,48,0,0,0,2,6
"Coweta County School District, Georgia","1301500",131419,8810,26002,10605,16363,19467,19953,7489,3070,4636,9491,5533,75527,7763,19385,6851,8979,8307,8926,3615,1553,2451,4428,3269,46452,998,5812,2728,5664,8603,9330,3481,1223,1998,4583,2032,1539,0,181,98,93,324,432,227,0,62,71,51,7901,49,624,928,1627,2233,1265,166,294,125,409,181
"Crawford County School District, Georgia","1301530",12536,646,2111,1087,1308,1557,2144,975,372,458,1256,622,9690,634,1917,961,995,1164,1566,648,243,334,785,443,2633,12,194,125,264,284,555,320,116,124,471,168,94,0,0,0,10,57,14,0,13,0,0,0,119,0,0,1,39,52,9,7,0,0,0,11
"Crisp County School District, Georgia","1301560",23403,1680,4259,2094,2865,2829,3066,1791,520,875,1874,1550,19996,1673,4103,1652,2290,2450,2374,1628,412,723,1437,1254,3008,0,140,430,435,286,634,151,100,145,430,257,22,0,3,0,0,0,19,0,0,0,0,0,377,7,13,12,140,93,39,12,8,7,7,39
"Dade County School District, Georgia","1301590",16533,874,2503,2101,1809,2027,2374,1089,446,733,1541,1036,4992,365,838,477,505,577,704,339,138,250,421,378,11213,509,1637,1559,1272,1365,1565,743,308,483,1120,652,56,0,0,6,6,24,13,7,0,0,0,0,272,0,28,59,26,61,92,0,0,0,0,6
"Dalton City School District, Georgia","1301620",33432,2773,6993,3317,4771,4439,4115,2029,556,588,1853,1998,15504,2317,4775,1210,1224,1175,1450,763,263,254,899,1174,8223,365,1420,1062,1239,905,828,510,228,233,772,661,428,0,54,25,140,18,86,53,0,0,18,34,9277,91,744,1020,2168,2341,1751,703,65,101,164,129
"Dawson County School District, Georgia","1301650",22500,1193,3803,1770,2491,2924,3411,1539,655,1069,2493,1152,13520,1118,3102,1166,1571,1630,1741,762,247,468,1165,550,8058,75,609,415,855,1146,1475,740,403,572,1190,578,155,0,0,52,5,5,18,14,5,0,56,0,767,0,92,137,60,143,177,23,0,29,82,24
"Decatur City School District, Georgia","1301680",19888,1730,3449,1871,2548,3252,2800,1107,428,624,983,1096,8500,1442,2493,761,723,709,715,316,160,232,457,492,9450,270,682,775,1517,2107,1791,727,248,373,429,531,367,18,61,61,38,121,51,0,9,8,0,0,1571,0,213,274,270,315,243,64,11,11,97,73
"Decatur County School District, Georgia","1301710",27508,1889,5016,2581,3457,3278,3807,1864,781,798,2231,1806,19716,1659,4272,1807,2076,2373,2636,1200,543,446,1302,1402,6970,230,744,715,957,796,1068,607,229,319,901,404,68,0,0,7,35,22,0,0,4,0,0,0,754,0,0,52,389,87,103,57,5,33,28,0
"DeKalb County School District, Georgia","1301740",657945,47989,108933,63956,110817,98543,91070,40094,14334,19194,37701,25314,294772,42860,77807,29042,37417,28384,29262,13225,5091,7310,14438,9936,241733,3325,21156,22911,42924,43058,42841,20471,6947,8982,17192,11926,8973,181,1394,1136,1859,2118,1095,547,138,115,262,128,112467,1623,8576,10867,28617,24983,17872,5851,2158,2787,5809,3324
"Dodge County School District, Georgia","1301770",21365,1271,3307,2291,2633,2883,3133,1495,535,707,1796,1314,17181,1188,2710,1573,2096,2267,2512,1178,450,561,1533,1113,3629,22,533,677,471,505,530,248,85,137,255,166,158,61,28,5,0,0,43,5,0,0,0,16,397,0,36,36,66,111,48,64,0,9,8,19
"Dooly County School District, Georgia","1301800",14443,748,2203,1365,1741,2054,2148,1155,329,565,1319,816,12258,748,2125,1016,1390,1589,1807,1015,280,447,1095,746,1642,0,34,255,338,244,297,140,28,116,148,42,9,0,0,0,0,1,4,0,4,0,0,0,534,0,44,94,13,220,40,0,17,2,76,28
"Dougherty School District, Georgia","1301830",93890,7015,16692,11813,12540,10946,11622,5633,2357,3309,6665,5298,71829,6615,14716,8927,9315,7787,8310,4046,1568,2230,4438,3877,19300,372,1745,2538,2635,2721,2865,1321,751,997,2041,1314,615,0,140,89,140,48,99,55,0,7,11,26,2146,28,91,259,450,390,348,211,38,75,175,81
"Douglas County School District, Georgia","1301860",135037,9356,27805,11941,17030,21341,20185,7824,2968,3792,8397,4398,71451,8220,18988,6798,8688,8409,7958,3275,1167,1810,3978,2160,51322,1122,7786,4396,6177,9395,9749,3709,1531,1724,3835,1898,1634,3,322,159,256,402,266,58,0,62,10,96,10630,11,709,588,1909,3135,2212,782,270,196,574,244
"Dublin City School District, Georgia","1301870",16050,1155,2994,1523,1879,1591,2147,795,460,601,1497,1408,13523,1086,2729,1335,1585,1275,1656,629,287,482,1235,1224,2091,65,249,182,197,221,429,124,161,102,197,164,52,0,11,0,4,0,15,0,8,0,0,14,384,4,5,6,93,95,47,42,4,17,65,6
"Laurens County School District, Georgia","1301890",31978,2111,5816,2594,3879,4535,4374,2165,640,1392,2679,1793,26380,2065,5258,2302,2980,3530,3354,1561,473,1163,2108,1586,4701,46,542,286,685,636,926,553,162,180,532,153,168,0,0,4,64,27,51,22,0,0,0,0,729,0,16,2,150,342,43,29,5,49,39,54
"Early County School District, Georgia","1301920",10662,709,1979,922,1062,1265,1469,603,276,516,1051,810,8369,586,1634,694,751,966,1118,519,191,386,870,654,2177,123,323,226,285,264,320,84,85,130,181,156,9,0,0,0,9,0,0,0,0,0,0,0,107,0,22,2,17,35,31,0,0,0,0,0
"Echols County School District, Georgia","1301950",4018,199,925,388,501,654,537,222,62,113,180,237,2410,199,737,190,184,277,303,128,40,61,150,141,884,0,81,102,114,170,176,64,22,29,30,96,13,0,0,0,0,0,0,13,0,0,0,0,711,0,107,96,203,207,58,17,0,23,0,0
"Effingham County School District, Georgia","1301980",53673,3570,11224,4707,6730,7941,8156,2996,1275,1676,3605,1793,34688,3179,8372,3171,4225,4210,4595,1578,822,942,2227,1367,17137,379,2589,1381,2277,3260,3161,1322,439,705,1207,417,793,0,146,55,74,144,193,58,14,22,87,0,1055,12,117,100,154,327,207,38,0,7,84,9
"Elbert County School District, Georgia","1302010",19694,1205,3235,1648,2258,2357,2809,1197,717,755,2018,1495,15388,1155,2747,1437,1560,1531,2068,860,612,576,1615,1227,3728,50,436,169,488,656,689,326,105,176,403,230,31,0,0,0,0,20,0,0,0,0,0,11,547,0,52,42,210,150,52,11,0,3,0,27
"Emanuel County School District, Georgia","1302040",22731,1586,4126,2268,2928,2629,3054,1392,610,788,1953,1397,19032,1576,3789,1634,2502,1910,2423,1183,545,628,1648,1194,3358,10,327,600,366,665,521,198,48,148,296,179,54,0,10,0,12,9,9,5,0,0,9,0,287,0,0,34,48,45,101,6,17,12,0,24
"Evans County School District, Georgia","1302070",10868,820,2020,1019,1470,1410,1363,683,272,254,879,678,8194,797,1794,804,889,967,912,443,208,173,638,569,1854,23,208,138,229,263,371,207,64,63,200,88,65,0,0,0,2,4,24,26,0,9,0,0,755,0,18,77,350,176,56,7,0,9,41,21
"Fannin County School District, Georgia","1302100",23632,1000,3284,1471,2114,2524,3505,1969,890,1298,3360,2217,12365,850,2541,1123,1141,1000,1157,759,405,554,1546,1289,10905,150,731,323,969,1415,2256,1180,483,744,1726,928,82,0,0,3,2,12,11,30,2,0,22,0,280,0,12,22,2,97,81,0,0,0,66,0
