"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Troup County School District, Georgia","1300001",21594,20398,24602,18362,24491
"Fort Stewart School District, Georgia","1300003",25474,20147,26202,23438,16685
"Robins AFB School District, Georgia","1300004",24111,23333,24688,21042,10938
"Appling County School District, Georgia","1300060",21159,20913,20511,12000,27736
"Atkinson County School District, Georgia","1300090",17152,17338,15405,15417,18438
"Atlanta City School District, Georgia","1300120",26782,17697,38692,36378,26810
"Baldwin County School District, Georgia","1300210",18784,17766,23125,18551,14493
"Banks County School District, Georgia","1300240",23319,23981,21492,16786,30575
"Barrow County School District, Georgia","1300290",26151,24453,31461,22841,21630
"Bartow County School District, Georgia","1300330",23894,23084,26722,18587,21371
"Berrien County School District, Georgia","1300390",19387,19253,20278,23063,15921
"Bibb County School District, Georgia","1300420",21700,20210,26874,22229,21599
"Brantley County School District, Georgia","1300480",20079,19756,21279,60938,9375
"Brooks County School District, Georgia","1300540",18729,18055,21147,35417,16329
"Bryan County School District, Georgia","1300570",31200,23851,38350,20826,41860
"Buford City School District, Georgia","1300600",21057,20996,31909,36804,16458
"Bulloch County School District, Georgia","1300630",17040,16890,17762,10250,17725
"Burke County School District, Georgia","1300660",19381,18444,20132,31643,30085
"Butts County School District, Georgia","1300690",22244,22035,22816,55175,19488
"Calhoun County School District, Georgia","1300750",14619,14901,13209,12500,14750
"Camden County School District, Georgia","1300780",26345,21655,28352,38730,26174
"Carroll County School District, Georgia","1300840",23862,22965,26669,27122,14545
"Carrollton City School District, Georgia","1300870",16302,16460,16986,16667,14265
"Cartersville City School District, Georgia","1300900",24452,22832,27298,49219,18460
"Catoosa County School District, Georgia","1300930",24908,22997,25287,37557,25872
"Charlton County School District, Georgia","1300990",17536,19531,18359,21609,6454
"Chatham County School District, Georgia","1301020",25233,22117,30299,26214,24332
"Chattahoochee County School District, Georgia","1301050",20754,18827,28512,8636,26250
"Chattooga County School District, Georgia","1301080",20190,20025,20503,10000,21051
"Cherokee County School District, Georgia","1301110",32029,26271,39954,35933,22361
"Clarke County School District, Georgia","1301170",16820,14522,22378,16701,16901
"Clayton County School District, Georgia","1301230",22465,21263,25949,23750,20123
