"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Aiken County, South Carolina","45003",25688,21528,28723,27975,25364
"Newberry County, South Carolina","45071",23654,23347,28790,31694,16114
"Edgefield County, South Carolina","45037",22218,19415,26421,23616,21922
"Chester County, South Carolina","45023",20918,19565,24533,46023,33536
"Clarendon County, South Carolina","45027",19768,18254,23111,28456,16008
"Marion County, South Carolina","45067",18452,18570,19879,25956,13825
"Sumter County, South Carolina","45085",22622,20815,27468,30957,18814
"Lexington County, South Carolina","45063",30484,28499,33749,32021,26119
"Oconee County, South Carolina","45073",22361,20838,26871,15585,20650
"Berkeley County, South Carolina","45015",28728,26061,31577,29882,26785
"Charleston County, South Carolina","45019",30777,24870,38609,31484,26794
"Marlboro County, South Carolina","45069",18630,18710,18439,12284,22273
"York County, South Carolina","45091",30376,25276,33661,34446,27103
"Anderson County, South Carolina","45007",24654,23357,26914,24329,24280
"Cherokee County, South Carolina","45021",21214,20541,23003,35875,21179
"Horry County, South Carolina","45051",23760,20788,25839,25735,21255
"Kershaw County, South Carolina","45055",26560,23932,32184,32305,24054
"Lee County, South Carolina","45061",18283,17187,22447,31705,31484
"Orangeburg County, South Carolina","45075",20212,19734,21837,24375,21394
"Spartanburg County, South Carolina","45083",24442,22794,27759,27075,23221
"Beaufort County, South Carolina","45013",29554,21295,33140,31967,25921
"Richland County, South Carolina","45079",26035,24167,29041,26835,25104
"Fairfield County, South Carolina","45039",20623,19028,31054,55208,16778
"Greenville County, South Carolina","45045",27373,24347,32282,32814,24107
"Dorchester County, South Carolina","45035",30272,25436,33594,31406,28398
"Florence County, South Carolina","45041",23693,22114,28558,21282,23880
"Laurens County, South Carolina","45059",20514,19984,21549,30299,19602
"McCormick County, South Carolina","45065",20779,18111,27829,40250,21029
"Pickens County, South Carolina","45077",21429,20973,21885,25625,22048
"Union County, South Carolina","45087",21548,21026,22806,31029,24680
"Williamsburg County, South Carolina","45089",17561,18082,16922,11765,15975
