"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Aiken County, South Carolina","45003",162950,27183,18470,117297,64491,13079,7652,43760,89199,12337,9032,67830,1884,428,154,1302,7376,1339,1632,4405
"Allendale County, South Carolina","45005",8262,2508,1379,4375,6679,2118,1370,3191,1464,377,9,1078,53,0,0,53,66,13,0,53
"Newberry County, South Carolina","45071",36705,7282,4751,24672,28558,5157,4122,19279,6360,1321,471,4568,198,22,12,164,1589,782,146,661
"Edgefield County, South Carolina","45037",23978,3715,2788,17475,11103,2148,1618,7337,12004,1461,1039,9504,133,8,0,125,738,98,131,509
"Chester County, South Carolina","45023",32211,7019,3446,21746,24085,5900,2664,15521,7756,1047,748,5961,66,8,0,58,304,64,34,206
"Clarendon County, South Carolina","45027",32455,7551,4224,20680,24659,6219,3373,15067,7065,1050,816,5199,197,40,6,151,534,242,29,263
"Colleton County, South Carolina","45029",36820,8200,6432,22188,28331,5998,5325,17008,7573,1463,1048,5062,108,62,0,46,808,677,59,72
"Marion County, South Carolina","45067",31374,8306,4610,18458,25559,6689,3992,14878,4954,1216,388,3350,91,13,19,59,770,388,211,171
"Sumter County, South Carolina","45085",104977,22200,12049,70728,69106,17147,8159,43800,30786,4242,3194,23350,1648,201,159,1288,3437,610,537,2290
"Lexington County, South Carolina","45063",278169,35665,22811,219693,167020,23787,14968,128265,93231,8753,5848,78630,3363,377,196,2790,14555,2748,1799,10008
"Oconee County, South Carolina","45073",75156,13993,8715,52448,44053,8776,5981,29296,27410,4160,2335,20915,776,112,52,612,2917,945,347,1625
"Barnwell County, South Carolina","45011",21335,5766,2403,13166,15381,4155,1778,9448,5562,1495,565,3502,108,41,0,67,284,75,60,149
"Berkeley County, South Carolina","45015",200835,25648,17649,157538,103300,15913,10267,77120,83526,7638,5979,69909,3300,472,200,2628,10709,1625,1203,7881
"Charleston County, South Carolina","45019",375922,57569,29799,288554,199452,36873,19998,142581,152915,16239,7652,129024,4761,781,231,3749,18794,3676,1918,13200
"Darlington County, South Carolina","45031",65995,14997,7532,43466,52202,12371,6102,33729,12350,2385,1307,8658,278,79,0,199,1165,162,123,880
"Georgetown County, South Carolina","45043",60418,11268,6647,42503,36822,8997,4750,23075,21655,2066,1727,17862,439,38,29,372,1502,167,141,1194
"Marlboro County, South Carolina","45069",24413,6482,3748,14183,18603,5262,3066,10275,5440,1142,631,3667,111,8,0,103,259,70,51,138
"York County, South Carolina","45091",247237,30418,18242,198577,97475,17391,9200,70884,134796,10989,7955,115852,2685,379,133,2173,12281,1659,954,9668
"Anderson County, South Carolina","45007",191170,29776,22093,139301,130121,22163,15582,92376,54516,6582,5341,42593,1264,199,145,920,5269,832,1025,3412
"Cherokee County, South Carolina","45021",55753,12292,7055,36406,40027,9258,5406,25363,14274,2548,1536,10190,283,0,28,255,1169,486,85,598
"Chesterfield County, South Carolina","45025",45571,10844,6406,28321,29663,7286,4270,18107,14257,3033,2023,9201,124,9,0,115,1527,516,113,898
"Greenwood County, South Carolina","45047",67335,16297,7238,43800,48583,12254,5656,30673,15417,2421,1260,11736,439,260,10,169,2896,1362,312,1222
"Jasper County, South Carolina","45053",26926,6084,4894,15948,13479,3948,2902,6629,11085,1662,1641,7782,89,0,28,61,2273,474,323,1476
"Horry County, South Carolina","45051",305835,51863,32906,221066,114539,24855,15134,74550,168413,21616,15122,131675,3345,619,123,2603,19538,4773,2527,12238
"Kershaw County, South Carolina","45055",63338,10366,5598,47374,42137,7912,3887,30338,19183,2243,1291,15649,644,9,168,467,1374,202,252,920
"Lee County, South Carolina","45061",16302,4310,2910,9082,13602,3890,2415,7297,2571,401,488,1682,33,0,0,33,96,19,7,70
"Orangeburg County, South Carolina","45075",86368,20069,12361,53938,69504,16172,10402,42930,14799,3332,1537,9930,334,92,73,169,1731,473,349,909
"Spartanburg County, South Carolina","45083",289304,45020,33748,210536,183035,31292,22536,129207,84645,9965,8261,66419,2657,217,407,2033,18967,3546,2544,12877
"Abbeville County, South Carolina","45001",24078,5474,2735,15869,18572,4454,1996,12122,5258,879,725,3654,34,9,0,25,214,132,14,68
