"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Aiken County, South Carolina","45003",165707,9667,26972,13898,20892,19120,22122,11827,4788,6921,17689,11811,66188,4660,11693,6329,6530,6874,8785,5171,1785,2477,7126,4758,90206,4837,14596,6763,12370,10211,11775,6098,2853,4235,9856,6612,1890,35,236,190,407,427,329,56,65,39,67,39,7423,135,447,616,1585,1608,1233,502,85,170,640,402
"Allendale County, South Carolina","45005",9402,466,1338,922,1201,1168,1287,646,234,429,1150,561,7471,430,1099,814,974,816,955,521,192,411,803,456,1742,36,239,108,181,298,293,119,42,15,306,105,76,0,0,0,0,17,34,6,0,0,19,0,113,0,0,0,46,37,5,0,0,3,22,0
"Newberry County, South Carolina","45071",37914,2274,6123,3715,4141,4360,5005,2925,1092,1331,4129,2819,29360,2253,5183,2772,3136,2903,3676,2112,832,1006,3167,2320,6688,21,921,707,651,778,1044,674,246,286,900,460,198,0,2,12,39,12,81,31,0,0,21,0,1668,0,17,224,315,667,204,108,14,39,41,39
"Edgefield County, South Carolina","45037",26620,1070,3947,2263,3249,3597,3908,1976,902,1119,2832,1757,11935,495,1668,1049,1545,1277,1624,883,461,517,1392,1024,13371,575,2263,1148,1428,1822,2094,1035,407,516,1370,713,260,0,4,6,52,81,53,26,0,19,19,0,1054,0,12,60,224,417,137,32,34,67,51,20
"Chester County, South Carolina","45023",32424,1917,5570,2564,3612,3649,4601,2630,904,1330,3405,2242,24250,1691,4538,2087,2759,2542,3119,1733,663,965,2348,1805,7795,226,1025,477,827,1079,1423,795,241,331,973,398,66,0,7,0,0,2,34,8,0,6,9,0,313,0,0,0,26,26,25,94,0,28,75,39
"Clarendon County, South Carolina","45027",34156,1677,5225,3298,3758,3494,4400,2081,1451,1593,4386,2793,25971,1544,4641,2678,3107,2527,3055,1442,1091,1077,3102,1707,7445,133,568,582,551,812,1149,554,307,482,1257,1050,204,0,0,0,30,43,57,16,45,8,0,5,536,0,16,38,70,112,139,69,8,26,27,31
"Colleton County, South Carolina","45029",37581,2160,6432,2932,4283,4225,5114,2439,1280,1666,4287,2763,28623,1964,5394,2320,3213,3240,3654,1883,897,1190,2972,1896,8020,196,801,560,912,689,1316,548,383,476,1285,854,130,0,0,52,0,38,38,0,0,0,2,0,808,0,237,0,158,258,106,8,0,0,28,13
"Marion County, South Carolina","45067",31765,1957,5525,2585,3688,3627,4033,1867,1303,1602,3466,2112,25913,1891,4929,2199,2926,2944,2716,1507,1067,1207,2951,1576,4991,52,539,384,518,551,1114,327,178,316,476,536,91,14,0,0,17,0,21,11,7,21,0,0,770,0,57,2,227,132,182,22,51,58,39,0
"Sumter County, South Carolina","45085",107379,7317,18968,11544,14489,12083,13613,6567,3006,3607,9454,6731,70507,6289,14710,7566,8279,7049,7848,4004,2063,2457,5688,4554,31709,875,3581,3504,5249,4098,4910,2212,910,1109,3310,1951,1668,140,324,263,272,189,289,115,0,7,40,29,3495,13,353,211,689,747,566,236,33,34,416,197
"Lexington County, South Carolina","45063",281870,17002,49463,22646,37585,37098,39813,18983,7651,10533,25250,15846,169556,15142,37812,15140,21150,19448,19673,9802,3786,5565,13233,8805,94250,1680,10279,6197,12449,13442,16966,8170,3531,4414,10911,6211,3414,10,332,302,506,600,751,390,96,131,236,60,14650,170,1040,1007,3480,3608,2423,621,238,423,870,770
