"","GEOID","B07011_001","B07011_002","B07011_003","B07011_004","B07011_005","B07011_006"
"Aiken County, South Carolina","45003",25688,26291,19898,20075,26055,13250
"Newberry County, South Carolina","45071",23654,24002,21623,22682,21863,17981
"Chester County, South Carolina","45023",20918,21440,11083,13393,40433,22875
"Marion County, South Carolina","45067",18452,19501,13807,11974,16225,10959
"Sumter County, South Carolina","45085",22622,23143,21151,18114,21451,40503
"Lexington County, South Carolina","45063",30484,31391,25102,24894,26787,15432
"Oconee County, South Carolina","45073",22361,23787,16673,10025,21494,30417
"Berkeley County, South Carolina","45015",28728,29782,24441,29302,23119,26189
"Charleston County, South Carolina","45019",30777,31400,26828,23564,30653,22296
"Darlington County, South Carolina","45031",20682,21340,13135,17393,20864,73333
"Georgetown County, South Carolina","45043",23168,23267,20522,19536,34656,21923
"Anderson County, South Carolina","45007",24654,25246,22536,17078,18059,25399
"Kershaw County, South Carolina","45055",26560,26634,26088,30833,24495,36287
"Orangeburg County, South Carolina","45075",20212,20678,11921,14222,14976,13587
"Spartanburg County, South Carolina","45083",24442,25165,20927,20319,24818,15285
"Beaufort County, South Carolina","45013",29554,30412,26651,19813,25810,31491
"Saluda County, South Carolina","45081",21765,22086,15096,20250,17708,18603
"Richland County, South Carolina","45079",26035,29799,19244,16667,14528,29474
"Greenville County, South Carolina","45045",27373,27859,26617,21463,25981,14821
"Lancaster County, South Carolina","45057",26167,26412,19087,21158,40931,2499
"Dorchester County, South Carolina","45035",30272,30747,25137,26290,31590,30609
"Laurens County, South Carolina","45059",20514,21430,14982,20068,15263,14063
"Williamsburg County, South Carolina","45089",17561,17820,13264,35410,12935,16525
