"","GEOID","B07009_001","B07009_002","B07009_003","B07009_004","B07009_005","B07009_006","B07009_007","B07009_008","B07009_009","B07009_010","B07009_011","B07009_012","B07009_013","B07009_014","B07009_015","B07009_016","B07009_017","B07009_018","B07009_019","B07009_020","B07009_021","B07009_022","B07009_023","B07009_024","B07009_025","B07009_026","B07009_027","B07009_028","B07009_029","B07009_030","B07009_031","B07009_032","B07009_033","B07009_034","B07009_035","B07009_036"
"Abbeville County, South Carolina","45001",17110,3687,5864,5042,1708,809,15582,3281,5395,4596,1580,730,651,237,186,210,10,8,697,123,243,148,118,65,170,46,40,78,0,6,10,0,0,10,0,0
"Bamberg County, South Carolina","45009",9902,2086,3156,2769,1245,646,9378,2032,2915,2664,1184,583,233,37,126,50,0,20,136,7,89,25,2,13,144,7,26,22,59,30,11,3,0,8,0,0
"Beaufort County, South Carolina","45013",126904,9262,28276,38806,29771,20789,107646,7820,24006,32911,25158,17751,7988,1036,2177,2359,1521,895,1577,118,428,529,351,151,8957,283,1495,2764,2500,1915,736,5,170,243,241,77
"Calhoun County, South Carolina","45017",10738,1536,4190,3053,1260,699,10148,1379,3995,2901,1180,693,225,67,80,27,51,0,281,73,80,102,20,6,84,17,35,23,9,0,0,0,0,0,0,0
"Dillon County, South Carolina","45033",20367,5416,7496,5181,1574,700,18762,4924,6872,4791,1518,657,965,312,372,267,14,0,378,68,213,86,11,0,219,111,39,37,31,1,43,1,0,0,0,42
"Saluda County, South Carolina","45081",14049,3090,4984,3686,1554,735,13313,2916,4728,3523,1488,658,217,49,110,49,9,0,254,14,120,76,31,13,227,89,26,22,26,64,38,22,0,16,0,0
"Richland County, South Carolina","45079",251220,23536,56087,76837,57016,37744,211333,19347,47273,63609,48464,32640,20591,2202,4639,7233,4203,2314,8974,1437,2267,2570,1727,973,8869,417,1790,2956,2261,1445,1453,133,118,469,361,372
"Fairfield County, South Carolina","45039",16425,2870,6370,4290,2103,792,15467,2726,6044,3916,2026,755,576,103,186,243,7,37,193,18,87,79,9,0,132,23,40,32,37,0,57,0,13,20,24,0
"Hampton County, South Carolina","45049",13920,2574,6044,3677,1069,556,12856,2318,5577,3425,1007,529,521,59,315,123,21,3,141,19,37,40,28,17,374,150,115,89,13,7,28,28,0,0,0,0
"Greenville County, South Carolina","45045",330804,42136,82263,96155,70027,40223,287120,36664,72340,83709,59852,34555,25447,3625,6043,7455,5432,2892,6413,722,1354,2361,1257,719,9513,924,1955,2318,2780,1536,2311,201,571,312,706,521
"Lancaster County, South Carolina","45057",61355,8825,20171,16981,10066,5312,54844,7913,18395,15187,8673,4676,3315,646,1112,881,385,291,877,124,304,261,157,31,2152,81,330,594,845,302,167,61,30,58,6,12
"Dorchester County, South Carolina","45035",100767,10089,28130,34920,17690,9938,86940,8878,24903,29171,15243,8745,5197,462,1397,2269,792,277,4748,531,1061,1921,818,417,3374,193,693,1337,740,411,508,25,76,222,97,88
"Florence County, South Carolina","45041",92623,14743,30457,26556,13549,7318,82762,12854,27427,23550,12222,6709,6513,1188,1929,2168,831,397,1804,528,560,448,204,64,1439,145,516,349,292,137,105,28,25,41,0,11
"Laurens County, South Carolina","45059",45268,8975,15764,13911,4320,2298,39115,7516,13520,12071,3983,2025,3445,901,1489,873,103,79,1998,380,512,822,195,89,655,160,215,136,39,105,55,18,28,9,0,0
"McCormick County, South Carolina","45065",7963,1599,2502,2323,1073,466,7155,1334,2268,2202,923,428,185,12,77,33,63,0,439,239,104,50,46,0,162,14,53,34,41,20,22,0,0,4,0,18
"Pickens County, South Carolina","45077",76092,11669,23033,23459,10740,7191,67003,10058,20569,20891,9393,6092,4529,1018,1396,1095,647,373,2537,442,630,889,418,158,1699,132,374,459,269,465,324,19,64,125,13,103
"Union County, South Carolina","45087",19686,3717,7775,5729,1566,899,17708,3168,7037,5257,1435,811,1413,463,618,259,43,30,500,64,101,193,88,54,50,17,9,20,0,4,15,5,10,0,0,0
"Williamsburg County, South Carolina","45089",22550,4490,9229,5991,1910,930,20882,4082,8555,5659,1705,881,865,255,335,172,78,25,453,66,251,96,29,11,158,46,43,56,0,13,192,41,45,8,98,0
