"","GEOID","B07204_001","B07204_002","B07204_003","B07204_004","B07204_005","B07204_006","B07204_007","B07204_008","B07204_009","B07204_010","B07204_011","B07204_012","B07204_013","B07204_014","B07204_015","B07204_016","B07204_017","B07204_018","B07204_019"
"Chester County School District, South Carolina","4501530",31922,30043,1850,257,257,0,1593,643,950,674,276,19,7,203,47,29,0,0,29
"Chesterfield County School District, South Carolina","4501560",45723,40997,4637,988,988,0,3649,1622,2027,1275,752,154,1,576,21,89,0,0,89
"Clarendon School District 1, South Carolina","4501740",8343,7611,721,28,28,0,693,442,251,180,71,11,9,51,0,11,0,0,11
"Clarendon School District 2, South Carolina","4501770",18473,16590,1838,157,157,0,1681,839,842,499,343,12,0,309,22,45,0,0,45
"Clarendon School District 3, South Carolina","4501800",6976,6267,684,53,53,0,631,85,546,441,105,0,0,105,0,25,0,0,25
"Colleton County School District, South Carolina","4501830",37272,33951,3315,255,255,0,3060,1526,1534,947,587,69,16,475,27,6,0,0,6
"Dillon School District 3, South Carolina","4501950",7270,6719,551,17,17,0,534,446,88,65,23,0,0,23,0,0,0,0,0
"Darlington County School District, South Carolina","4501860",66802,58759,7997,744,744,0,7253,3500,3753,2871,882,176,110,579,17,46,0,4,42
"Dorchester School District 2, South Carolina","4502010",132132,110109,21374,3323,3074,249,18051,5989,12062,7355,4707,719,704,2652,632,649,0,0,649
"Edgefield County School District, South Carolina","4502070",26497,22941,3458,530,530,0,2928,681,2247,1510,737,130,49,497,61,98,80,0,18
"Fairfield County School District, South Carolina","4502100",22760,21590,1086,66,66,0,1020,613,407,253,154,1,0,153,0,84,5,0,79
"Florence School District 1, South Carolina","4502130",98390,85369,12917,2231,2231,0,10686,6007,4679,3005,1674,485,294,740,155,104,1,0,103
"Florence School District 2, South Carolina","4502160",7192,6698,494,26,26,0,468,296,172,54,118,0,5,113,0,0,0,0,0
"Georgetown County School District, South Carolina","4502280",60599,53528,7019,936,936,0,6083,2454,3629,1969,1660,503,292,800,65,52,2,0,50
"Florence School District 3, South Carolina","4502190",19364,16954,2395,180,180,0,2215,1809,406,336,70,0,15,43,12,15,0,0,15
"Florence School District 4, South Carolina","4502220",6376,5797,563,98,98,0,465,265,200,188,12,12,0,0,0,16,0,0,16
"Florence School District 5, South Carolina","4502250",5283,4822,461,54,54,0,407,355,52,45,7,5,0,2,0,0,0,0,0
