"","GEOID","B07007_001","B07007_002","B07007_003","B07007_004","B07007_005","B07007_006","B07007_007","B07007_008","B07007_009","B07007_010","B07007_011","B07007_012","B07007_013","B07007_014","B07007_015","B07007_016","B07007_017","B07007_018","B07007_019","B07007_020","B07007_021","B07007_022","B07007_023","B07007_024","B07007_025","B07007_026","B07007_027","B07007_028","B07007_029","B07007_030"
"Newberry County School District, South Carolina","4503030",37468,35800,1668,368,1300,33793,32176,1617,326,1291,2185,2167,18,18,0,988,964,24,24,0,412,412,0,0,0,90,81,9,0,9
"Oconee County School District, South Carolina","4503060",75190,72259,2931,1135,1796,64936,62528,2408,909,1499,5263,5073,190,115,75,2834,2666,168,27,141,2044,1904,140,84,56,113,88,25,0,25
"Marlboro County School District, South Carolina","4502970",27199,26487,712,184,528,24234,23660,574,155,419,1547,1512,35,0,35,777,771,6,6,0,579,496,83,11,72,62,48,14,12,2
"McCormick County School District, South Carolina","4503000",9654,9499,155,134,21,8466,8319,147,134,13,287,283,4,0,4,648,648,0,0,0,231,227,4,0,4,22,22,0,0,0
"Orangeburg School District 3, South Carolina","4503150",19611,19428,183,64,119,17794,17619,175,64,111,1264,1256,8,0,8,403,403,0,0,0,140,140,0,0,0,10,10,0,0,0
"Orangeburg School District 4, South Carolina","4503180",19369,19161,208,72,136,17935,17727,208,72,136,1262,1262,0,0,0,126,126,0,0,0,46,46,0,0,0,0,0,0,0,0
"Orangeburg School District 5, South Carolina","4503210",49319,47876,1443,471,972,44048,42841,1207,442,765,2779,2772,7,7,0,1597,1488,109,22,87,655,655,0,0,0,240,120,120,0,120
"Pickens County School District, South Carolina","4503330",120142,115535,4607,1394,3213,96435,93299,3136,1088,2048,10712,9873,839,176,663,8116,8002,114,102,12,4363,4129,234,20,214,516,232,284,8,276
"Richland School District 1, South Carolina","4503360",200779,191077,9702,2895,6807,149832,142876,6956,2270,4686,25825,24925,900,321,579,14322,14006,316,121,195,9108,8513,595,183,412,1692,757,935,0,935
"Richland School District 2, South Carolina","4503390",135962,126123,9839,5888,3951,115912,107328,8584,5415,3169,11566,11170,396,190,206,3727,3513,214,130,84,3957,3760,197,137,60,800,352,448,16,432
"Spartanburg School District 3, South Carolina","4503540",15422,14737,685,291,394,13345,12664,681,291,390,1270,1270,0,0,0,274,274,0,0,0,512,512,0,0,0,21,17,4,0,4
