"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Newberry County School District, South Carolina","4503030",36705,7282,4751,24672,28558,5157,4122,19279,6360,1321,471,4568,198,22,12,164,1589,782,146,661
"Oconee County School District, South Carolina","4503060",75156,13993,8715,52448,44053,8776,5981,29296,27410,4160,2335,20915,776,112,52,612,2917,945,347,1625
"Marlboro County School District, South Carolina","4502970",24413,6482,3748,14183,18603,5262,3066,10275,5440,1142,631,3667,111,8,0,103,259,70,51,138
"McCormick County School District, South Carolina","4503000",8445,1696,821,5928,4524,1313,597,2614,3698,366,216,3116,68,14,4,50,155,3,4,148
"Orangeburg School District 3, South Carolina","4503150",19792,5720,3399,10673,15554,4652,2986,7916,3986,1022,329,2635,69,0,26,43,183,46,58,79
"Orangeburg School District 4, South Carolina","4503180",19488,3718,3018,12752,17320,3404,2606,11310,1940,283,354,1303,20,0,6,14,208,31,52,125
"Orangeburg School District 5, South Carolina","4503210",47088,10631,5944,30513,36630,8116,4810,23704,8873,2027,854,5992,245,92,41,112,1340,396,239,705
"Pickens County School District, South Carolina","4503330",114654,20987,12864,80803,71362,12883,8512,49967,37844,7031,3722,27091,954,155,85,714,4494,918,545,3031
"Richland School District 1, South Carolina","4503360",185722,43623,22250,119849,121858,29460,15336,77062,52534,11377,5113,36044,2269,537,218,1514,9061,2249,1583,5229
"Richland School District 2, South Carolina","4503390",136800,14896,11252,110652,69395,8629,7208,53558,53362,4789,2962,45611,4195,329,411,3455,9848,1149,671,8028
"Spartanburg School District 3, South Carolina","4503540",15435,2965,2165,10305,11271,2004,1638,7629,3462,818,439,2205,17,0,0,17,685,143,88,454
"Saluda County School District, South Carolina","4503460",15357,3529,2370,9458,10894,2653,1409,6832,2735,474,404,1857,150,6,35,109,1578,396,522,660
"Spartanburg School District 1, South Carolina","4503480",29523,3847,2959,22717,17689,2262,1746,13681,10437,1308,989,8140,244,49,25,170,1153,228,199,726
"Spartanburg School District 2, South Carolina","4503510",58527,7727,6392,44408,36665,4958,4047,27660,17511,2054,1646,13811,637,24,37,576,3714,691,662,2361
"Spartanburg School District 4, South Carolina","4503570",18398,2960,3070,12368,13439,2582,2057,8800,4231,226,849,3156,61,0,43,18,667,152,121,394
"Spartanburg School District 5, South Carolina","4503600",45323,5106,4921,35296,26852,3033,3328,20491,15281,1559,1398,12324,325,26,8,291,2865,488,187,2190
"Spartanburg School District 6, South Carolina","4503630",64952,11063,7059,46830,40119,7630,4490,27999,17839,2211,1437,14191,751,54,249,448,6243,1168,883,4192
"Spartanburg School District 7, South Carolina","4503660",48748,10121,6160,32467,32609,7897,4537,20175,13217,1754,1286,10177,465,31,24,410,2457,439,313,1705
"Union County School District, South Carolina","4503750",27243,5258,3126,18859,22861,4607,2647,15607,4114,651,405,3058,48,0,5,43,220,0,69,151
"Williamsburg County School District, South Carolina","4503780",30446,8575,3714,18157,26239,7644,3031,15564,3731,825,558,2348,130,14,31,85,346,92,94,160
"York School District 1, South Carolina","4503810",31984,6053,2673,23258,17326,3660,1662,12004,13438,2101,893,10444,191,81,3,107,1029,211,115,703
"York School District 2, South Carolina","4503840",39838,4307,3036,32495,9250,1579,665,7006,28555,2327,2329,23899,541,39,0,502,1492,362,42,1088
"York School District 3, South Carolina","4503870",112903,16753,9993,86157,59271,11003,6094,42174,47672,4807,3205,39660,1139,208,83,848,4821,735,611,3475
"York School District 4, South Carolina","4503900",62512,3305,2540,56667,11628,1149,779,9700,45131,1754,1528,41849,814,51,47,716,4939,351,186,4402
"Remainder of South Carolina, South Carolina","4599999",4352,406,328,3618,1329,286,138,905,2679,107,167,2405,188,0,23,165,156,13,0,143
"Dillon School District 4, South Carolina","4501920",23320,7722,2729,12869,18113,6122,1865,10126,4274,1078,677,2519,175,51,115,9,758,471,72,215
"Marion School District 10, South Carolina","4503908",31374,8306,4610,18458,25559,6689,3992,14878,4954,1216,388,3350,91,13,19,59,770,388,211,171
"Sumter County Consolidated School District, South Carolina","4503902",104977,22200,12049,70728,69106,17147,8159,43800,30786,4242,3194,23350,1648,201,159,1288,3437,610,537,2290
"Aiken County School District, South Carolina","4500720",165457,27542,18704,119211,66434,13343,7839,45252,89601,12360,9074,68167,1898,428,154,1316,7524,1411,1637,4476
"Anderson School District 1, South Carolina","4500780",53435,5767,5505,42163,36031,4049,3731,28251,15308,1550,1398,12360,509,24,77,408,1587,144,299,1144
"Dorchester School District 4, South Carolina","4500002",16525,3365,1981,11179,13146,2778,1753,8615,3093,509,200,2384,96,0,28,68,190,78,0,112
"Abbeville County School District, South Carolina","4500690",22907,5260,2614,15033,17594,4275,1916,11403,5065,844,684,3537,34,9,0,25,214,132,14,68
"Allendale County School District, South Carolina","4500750",8262,2508,1379,4375,6679,2118,1370,3191,1464,377,9,1078,53,0,0,53,66,13,0,53
"Anderson School District 2, South Carolina","4500810",22601,4334,2703,15564,17399,3648,2132,11619,5015,642,526,3847,34,0,0,34,153,44,45,64
"Anderson School District 3, South Carolina","4500840",14532,3459,2239,8834,11296,2970,1747,6579,3042,445,485,2112,15,15,0,0,179,29,7,143
"Anderson School District 4, South Carolina","4500870",21260,2783,2330,16147,13862,1871,1689,10302,6701,912,478,5311,133,0,0,133,564,0,163,401
