"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Newberry County School District, South Carolina","4503030",30935,4556,26379,4938,3337,5617,3977,3766,2119,767,1858,23001,3226,19775,3761,2482,4406,2987,2842,1537,607,1153,6085,923,5162,948,564,744,792,760,568,160,626,198,34,164,8,0,40,44,72,0,0,0,1651,373,1278,221,291,427,154,92,14,0,79
"Oconee County School District, South Carolina","4503060",63217,7334,55883,11424,7962,10363,7793,6903,4196,1824,5418,34130,4652,29478,6358,4287,6123,4553,3559,1956,850,1792,25795,2256,23539,4476,3111,3539,2894,3094,2176,901,3348,707,49,658,139,179,100,61,97,5,8,69,2585,377,2208,451,385,601,285,153,59,65,209
"Marlboro County School District, South Carolina","4502970",23020,5383,17637,4470,2802,3652,2632,2201,912,384,584,16434,3179,13255,3406,2156,2616,2067,1764,584,262,400,5699,1664,4035,949,605,973,557,376,305,122,148,190,91,99,23,29,32,0,0,2,0,13,697,449,248,92,12,31,8,61,21,0,23
"McCormick County School District, South Carolina","4503000",8723,1955,6768,1285,1184,1405,846,782,558,250,458,4653,1330,3323,709,623,892,393,269,236,88,113,3843,602,3241,558,524,439,436,498,306,147,333,72,18,54,3,14,5,4,15,0,8,5,155,5,150,15,23,69,13,0,16,7,7
"Orangeburg School District 3, South Carolina","4503150",16609,3040,13569,3874,2215,2497,1565,1723,754,274,667,12594,2320,10274,3215,1750,1931,1230,1163,398,193,394,3763,669,3094,625,440,500,319,539,347,77,247,69,34,35,0,0,4,9,18,0,4,0,183,17,166,34,25,62,7,3,9,0,26
"Orangeburg School District 4, South Carolina","4503180",15395,2779,12616,2870,1561,2379,1843,1934,1058,290,681,13366,2531,10835,2516,1289,2017,1568,1786,904,250,505,1801,208,1593,280,259,347,227,127,137,40,176,20,9,11,0,1,6,0,0,4,0,0,208,31,177,74,12,9,48,21,13,0,0
"Orangeburg School District 5, South Carolina","4503210",40574,6962,33612,8801,4740,6432,4260,4034,2313,900,2132,30458,4888,25570,6631,3880,4950,3333,3111,1696,716,1253,8529,1585,6944,1868,684,1370,889,784,557,140,652,222,59,163,43,41,10,27,6,9,27,0,1365,430,935,259,135,102,11,133,51,17,227
"Pickens County School District, South Carolina","4503330",102007,13067,88940,22782,10196,16532,11737,11166,6501,2329,7697,58169,8238,49931,12400,6326,9516,7230,6584,3473,1099,3303,38482,4001,34481,9338,3483,5893,3892,4094,2743,1104,3934,946,189,757,240,63,39,174,84,45,29,83,4410,639,3771,804,324,1084,441,404,240,97,377
"Richland School District 1, South Carolina","4503360",170590,20280,150310,36940,17990,26629,20513,19497,11465,4234,13042,103372,13118,90254,23546,11204,16433,12584,11775,6121,2194,6397,55847,5170,50677,11467,5707,8191,6511,6438,4757,1717,5889,2380,258,2122,475,236,282,330,271,180,106,242,8991,1734,7257,1452,843,1723,1088,1013,407,217,514
"Richland School District 2, South Carolina","4503390",108386,13367,95019,16994,7393,12392,12553,16315,10139,4695,14538,48302,6222,42080,8353,3521,6102,5500,6881,5242,1779,4702,47140,4943,42197,6724,2715,4819,5477,7845,4050,2592,7975,3677,329,3348,530,388,471,502,666,232,112,447,9267,1873,7394,1387,769,1000,1074,923,615,212,1414
"Spartanburg School District 3, South Carolina","4503540",12905,1977,10928,2484,1421,2381,1317,1509,1012,229,575,9200,1501,7699,1742,1033,1759,895,1050,717,145,358,3071,275,2796,628,328,532,384,373,265,76,210,17,0,17,0,0,0,0,0,9,8,0,617,201,416,114,60,90,38,86,21,0,7
"Saluda County School District, South Carolina","4503460",12580,2252,10328,2060,1346,2263,1647,1372,678,288,674,8445,1524,6921,1519,889,1283,1172,933,566,122,437,2423,359,2064,391,260,423,282,286,107,136,179,150,49,101,0,6,0,46,0,0,11,38,1562,320,1242,150,191,557,147,153,5,19,20
"Spartanburg School District 1, South Carolina","4503480",24968,2766,22202,4313,2632,4447,3159,2875,2060,759,1957,14247,1780,12467,2563,1690,2491,1779,1514,1110,379,941,9368,902,8466,1413,843,1701,1146,1203,890,324,946,200,39,161,46,0,44,0,35,18,12,6,1153,45,1108,291,99,211,234,123,42,44,64
"Spartanburg School District 2, South Carolina","4503510",49022,6904,42118,8194,4833,7426,5524,6715,4319,1516,3591,29034,4214,24820,5047,3026,4361,3427,3728,2607,785,1839,15889,1768,14121,2353,1539,2484,1645,2447,1515,622,1516,651,102,549,106,37,71,133,99,29,8,66,3448,820,2628,688,231,510,319,441,168,101,170
"Spartanburg School District 4, South Carolina","4503570",16073,3194,12879,2868,1798,2624,1586,1737,1007,396,863,11035,2085,8950,2125,1256,1903,1032,1150,785,288,411,4274,893,3381,605,440,657,485,524,209,108,353,61,0,61,0,43,9,0,9,0,0,0,703,216,487,138,59,55,69,54,13,0,99
"Spartanburg School District 5, South Carolina","4503600",35930,4787,31143,5176,2999,5394,4396,5136,3344,1042,3656,19340,2658,16682,2745,1972,2986,2330,2761,1827,589,1472,13520,1737,11783,1629,886,2055,1701,2045,1313,395,1759,248,73,175,0,14,10,66,23,39,3,20,2822,319,2503,802,127,343,299,307,165,55,405
"Spartanburg School District 6, South Carolina","4503630",53059,6646,46413,8958,5044,9497,7021,6683,3943,1323,3944,29757,3702,26055,5504,2744,5467,3908,3715,2240,624,1853,16408,1832,14576,2510,1754,2365,2122,2191,1408,591,1635,705,74,631,145,78,110,152,68,19,15,44,6189,1038,5151,799,468,1555,839,709,276,93,412
"Spartanburg School District 7, South Carolina","4503660",41672,4536,37136,8736,4662,7197,4788,4672,2947,937,3197,26173,2880,23293,6062,3218,4694,2920,2950,1708,381,1360,12778,1304,11474,2422,1116,1896,1437,1439,1027,486,1651,314,17,297,33,31,13,66,71,12,4,67,2407,335,2072,219,297,594,365,212,200,66,119
"Union County School District, South Carolina","4503750",22959,2553,20406,4440,3018,4189,2927,2746,1700,482,904,18718,2166,16552,3749,2452,3316,2368,2230,1421,362,654,3969,362,3607,634,551,830,458,507,275,120,232,48,0,48,10,0,0,34,0,4,0,0,224,25,199,47,15,43,67,9,0,0,18
"Williamsburg County School District, South Carolina","4503780",26567,5293,21274,5722,3384,4122,3013,2643,1226,460,704,21496,3819,17677,4667,2831,3334,2567,2233,1023,395,627,4255,1163,3092,934,429,672,427,352,158,43,77,241,103,138,57,40,12,0,0,29,0,0,575,208,367,64,84,104,19,58,16,22,0
"York School District 1, South Carolina","4503810",26301,4193,22108,4228,2705,4063,3333,3334,2256,655,1534,13449,2093,11356,2232,1471,2298,1777,1699,1001,269,609,11632,1885,9747,1911,1140,1519,1415,1397,1137,336,892,191,66,125,0,3,15,16,51,9,18,13,1029,149,880,85,91,231,125,187,109,32,20
"York School District 2, South Carolina","4503840",31574,4295,27279,4461,2512,4129,3526,3960,2903,1147,4641,6810,887,5923,1021,657,911,737,860,847,164,726,22834,2979,19855,3232,1607,3051,2562,2893,1973,850,3687,468,85,383,73,32,32,92,79,0,51,24,1462,344,1118,135,216,135,135,128,83,82,204
"York School District 3, South Carolina","4503870",94714,11305,83409,15946,9036,13820,12530,12196,7892,3118,8871,47079,5840,41239,8724,5283,6949,5687,6230,3604,1223,3539,41844,4605,37239,6343,3208,5754,6079,5313,3852,1780,4910,1043,182,861,154,124,61,188,97,75,38,124,4748,678,4070,725,421,1056,576,556,361,77,298
"York School District 4, South Carolina","4503900",47727,6070,41657,6646,2757,4895,3314,5621,5071,2279,11074,9042,1005,8037,1568,688,1193,867,1342,803,371,1205,33521,4170,29351,4318,1808,3170,2127,3875,3854,1744,8455,786,90,696,105,52,28,81,103,171,22,134,4378,805,3573,655,209,504,239,301,243,142,1280
"Remainder of South Carolina, South Carolina","4599999",15841,560,15281,6558,2107,2654,1452,1118,667,159,566,936,74,862,242,128,136,65,100,75,6,110,13353,409,12944,5674,1758,2300,1240,870,540,146,416,524,51,473,263,52,54,37,57,8,2,0,1028,26,1002,379,169,164,110,91,44,5,40
"Dillon School District 4, South Carolina","4501920",18555,3537,15018,3943,2374,3705,1941,1467,884,283,421,14060,2695,11365,2880,1936,2844,1548,993,691,239,234,3896,613,3283,1020,334,774,313,471,190,42,139,60,0,60,0,51,0,9,0,0,0,0,539,229,310,43,53,87,71,3,3,2,48
"Marion School District 10, South Carolina","4503908",25533,4366,21167,5193,3751,4187,3323,2267,1232,334,880,20188,3556,16632,4167,2874,3170,2780,1744,997,219,681,4498,653,3845,832,701,805,511,523,226,90,157,77,0,77,18,14,0,24,0,0,0,21,770,157,613,176,162,212,8,0,9,25,21
"Sumter County Consolidated School District, South Carolina","4503902",85440,12550,72890,16448,9063,13387,10977,9247,6282,2222,5264,52852,8328,44524,11131,6133,8322,7099,5411,3195,900,2333,28059,3489,24570,4393,2435,4388,3371,3360,2705,1235,2683,1253,143,1110,254,78,113,169,144,206,45,101,3276,590,2686,670,417,564,338,332,176,42,147
"Aiken County School District, South Carolina","4500720",137643,19346,118297,23062,13561,21225,16126,15959,11140,4070,13154,54183,7646,46537,10615,6217,8945,5528,6102,4043,1348,3739,74624,9897,64727,11234,6531,10933,9374,8841,6426,2596,8792,1664,243,1421,296,86,235,212,230,203,71,88,7172,1560,5612,917,727,1112,1012,786,468,55,535
"Anderson School District 1, South Carolina","4500780",42033,5529,36504,6697,3662,6186,4897,5681,3747,1594,4040,25961,3773,22188,4126,2305,3789,3101,3607,2428,923,1909,14097,1424,12673,2346,1203,1864,1563,1994,1187,521,1995,463,43,420,47,28,147,71,0,0,110,17,1512,289,1223,178,126,386,162,80,132,40,119
"Dorchester School District 4, South Carolina","4500002",15086,3621,11465,2600,1837,2148,1548,1262,1139,310,621,11456,2679,8777,2130,1546,1623,1183,880,701,215,499,3333,900,2433,426,291,468,330,298,407,95,118,96,10,86,0,0,37,0,47,0,0,2,201,32,169,44,0,20,35,37,31,0,2
"Abbeville County School District, South Carolina","4500690",19513,2805,16708,4214,2405,3482,2145,2304,1046,422,690,14242,2115,12127,2850,1751,2562,1620,1813,767,299,465,5025,609,4416,1318,627,901,512,470,271,123,194,54,10,44,18,0,5,0,21,0,0,0,192,71,121,28,27,14,13,0,8,0,31
"Allendale County School District, South Carolina","4500750",7886,2445,5441,1332,1109,1194,818,617,120,80,171,6173,1880,4293,1174,885,968,613,435,72,44,102,1524,492,1032,158,211,207,152,153,48,36,67,76,23,53,0,0,0,53,0,0,0,0,113,50,63,0,13,19,0,29,0,0,2
