"","GEOID","B07009_001","B07009_002","B07009_003","B07009_004","B07009_005","B07009_006","B07009_007","B07009_008","B07009_009","B07009_010","B07009_011","B07009_012","B07009_013","B07009_014","B07009_015","B07009_016","B07009_017","B07009_018","B07009_019","B07009_020","B07009_021","B07009_022","B07009_023","B07009_024","B07009_025","B07009_026","B07009_027","B07009_028","B07009_029","B07009_030","B07009_031","B07009_032","B07009_033","B07009_034","B07009_035","B07009_036"
"Chester County School District, South Carolina","4501530",22373,4447,8674,6055,2266,931,21220,4102,8305,5746,2154,913,524,189,193,124,18,0,410,111,146,101,34,18,190,26,30,74,60,0,29,19,0,10,0,0
"Chesterfield County School District, South Carolina","4501560",31679,7452,12930,7732,2329,1236,28627,6670,12055,6848,1976,1078,1566,507,523,464,56,16,831,140,185,221,157,128,571,96,136,199,140,0,84,39,31,0,0,14
"Clarendon School District 1, South Carolina","4501740",6615,1295,2689,1759,620,252,6149,1232,2506,1563,596,252,227,20,79,128,0,0,160,37,56,52,15,0,68,6,48,5,9,0,11,0,0,11,0,0
"Clarendon School District 2, South Carolina","4501770",12943,2567,4563,3711,1328,774,11776,2284,4185,3321,1242,744,493,78,224,167,24,0,417,142,116,107,26,26,220,55,38,101,26,0,37,8,0,15,10,4
"Clarendon School District 3, South Carolina","4501800",4398,997,1645,1158,409,189,4135,935,1530,1077,404,189,66,12,28,26,0,0,129,12,80,32,5,0,43,13,7,23,0,0,25,25,0,0,0,0
"Colleton County School District, South Carolina","4501830",26057,3691,10665,7700,2701,1300,23955,3555,9819,7018,2460,1103,1087,74,385,496,96,36,683,62,262,140,67,152,326,0,199,40,78,9,6,0,0,6,0,0
"Dillon School District 3, South Carolina","4501950",4714,845,1890,1301,471,207,4480,791,1817,1198,467,207,182,54,62,66,0,0,33,0,11,18,4,0,19,0,0,19,0,0,0,0,0,0,0,0
"Darlington County School District, South Carolina","4501860",46063,8583,16355,12914,5290,2921,41936,7728,14765,11858,4941,2644,2102,580,911,427,126,58,1412,153,498,548,110,103,567,122,173,68,92,112,46,0,8,13,21,4
"Dorchester School District 2, South Carolina","4502010",87765,7151,23485,31043,16698,9388,74998,6224,20496,25735,14337,8206,4705,384,1262,2049,744,266,4292,345,962,1778,790,417,3262,173,689,1259,730,411,508,25,76,222,97,88
"Edgefield County School District, South Carolina","4502070",19340,3579,6963,5030,2372,1396,17073,3137,5915,4587,2104,1330,615,131,313,99,53,19,956,234,413,191,92,26,608,67,285,136,113,7,88,10,37,17,10,14
"Fairfield County School District, South Carolina","4502100",16425,2870,6370,4290,2103,792,15467,2726,6044,3916,2026,755,576,103,186,243,7,37,193,18,87,79,9,0,132,23,40,32,37,0,57,0,13,20,24,0
"Florence School District 1, South Carolina","4502130",67134,8427,21171,20169,11128,6239,59617,7207,19056,17693,9891,5770,4815,746,1286,1771,750,262,1357,367,374,357,195,64,1271,87,445,315,292,132,74,20,10,33,0,11
"Florence School District 2, South Carolina","4502160",4721,881,2010,1239,422,169,4378,852,1792,1152,413,169,200,22,136,42,0,0,54,7,27,11,9,0,89,0,55,34,0,0,0,0,0,0,0,0
"Georgetown County School District, South Carolina","4502280",44790,6062,12846,13739,7486,4657,39928,5482,11587,11930,6571,4358,1991,275,535,722,368,91,1356,164,354,606,193,39,1475,125,357,470,354,169,40,16,13,11,0,0
"Florence School District 3, South Carolina","4502190",12978,3644,4451,3107,1155,621,11466,3174,3894,2808,1100,490,1172,296,467,223,55,131,265,116,73,76,0,0,60,58,2,0,0,0,15,0,15,0,0,0
"Florence School District 4, South Carolina","4502220",4402,1200,1571,1024,497,110,4059,1082,1461,920,486,110,187,72,12,92,11,0,128,38,86,4,0,0,12,0,12,0,0,0,16,8,0,8,0,0
"Florence School District 5, South Carolina","4502250",3388,591,1254,1017,347,179,3242,539,1224,977,332,170,139,52,28,40,15,4,0,0,0,0,0,0,7,0,2,0,0,5,0,0,0,0,0,0
"Greenville County School District, South Carolina","4502310",341193,44083,85324,99520,71548,40718,296173,38293,75088,86539,61221,35032,25768,3721,6192,7479,5475,2901,7092,860,1421,2744,1339,728,9849,1008,2052,2446,2807,1536,2311,201,571,312,706,521
"Greenwood School District 50, South Carolina","4502340",38563,6717,11593,10892,6089,3272,34192,6167,10202,9315,5457,3051,2546,342,967,818,282,137,905,110,235,396,157,7,856,89,189,340,178,60,64,9,0,23,15,17
"Greenwood School District 51, South Carolina","4502370",4899,887,1864,1515,417,216,4303,753,1622,1363,389,176,76,5,35,27,0,9,437,129,189,102,7,10,83,0,18,23,21,21,0,0,0,0,0,0
"Horry County School District, South Carolina","4502490",226485,24276,74237,75939,34246,17787,194311,20600,64298,64887,29677,14849,17220,2136,5247,6050,2378,1409,3030,589,860,887,389,305,10926,682,3572,3888,1607,1177,998,269,260,227,195,47
"Greenwood School District 52, South Carolina","4502400",5815,714,1734,2076,764,527,5279,652,1580,1958,599,490,272,12,122,99,28,11,127,28,4,5,90,0,137,22,28,14,47,26,0,0,0,0,0,0
