"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Newberry County School District, South Carolina","4503030",25802,5044,9638,6696,3004,1420,19152,3751,7178,5189,2090,944,5039,513,1851,1349,878,448,184,22,99,49,14,0,1427,758,510,109,22,28
"Oconee County School District, South Carolina","4503060",54468,8675,16793,15827,7719,5454,28321,5326,10664,8189,2617,1525,23161,2303,5519,7067,4716,3556,658,5,100,269,211,73,2328,1041,510,302,175,300
"Marlboro County School District, South Carolina","4502970",19603,5063,8105,4695,1137,603,13756,3655,5796,3065,837,403,5031,1065,2063,1485,246,172,190,38,72,47,33,0,626,305,174,98,21,28
"McCormick County School District, South Carolina","4503000",7963,1599,2502,2323,1073,466,4089,1213,1471,1126,241,38,3647,360,993,1084,792,418,72,0,11,37,24,0,155,26,27,76,16,10
"Orangeburg School District 3, South Carolina","4503150",14308,2755,6007,3577,1278,691,10548,2451,4643,2344,774,336,3509,282,1307,1197,426,297,69,0,0,20,31,18,182,22,57,16,47,40
"Orangeburg School District 4, South Carolina","4503180",12770,1901,4199,4628,1314,728,10886,1669,3615,3857,1108,637,1662,204,538,676,154,90,20,0,4,15,0,1,202,28,42,80,52,0
"Orangeburg School District 5, South Carolina","4503210",32266,4784,8876,10667,4574,3365,24223,4075,7208,7543,3066,2331,6801,528,1396,2947,1279,651,173,10,11,64,24,64,1069,171,261,113,205,319
"Pickens County School District, South Carolina","4503330",76092,11669,23033,23459,10740,7191,42785,7684,14845,13112,4629,2515,28777,3134,7327,9133,5498,3685,783,102,61,393,114,113,3747,749,800,821,499,878
"Richland School District 1, South Carolina","4503360",125872,15851,31180,36105,24401,18335,77260,10949,22406,22349,13481,8075,39969,2955,7198,12316,9283,8217,1753,132,361,547,506,207,6890,1815,1215,893,1131,1836
"Richland School District 2, South Carolina","4503390",89646,6281,18186,29166,22233,13780,37940,2921,8941,12421,8754,4903,40240,1610,7415,13553,11099,6563,3038,173,469,1192,793,411,8428,1577,1361,2000,1587,1903
"Spartanburg School District 3, South Carolina","4503540",10908,2043,4148,2965,1110,642,7622,1417,3072,2079,699,355,2760,387,965,796,325,287,17,0,0,8,9,0,509,239,111,82,77,0
"Saluda County School District, South Carolina","4503460",10723,2493,3738,2823,1202,467,7169,1349,2754,1976,854,236,2183,314,722,682,285,180,136,52,14,54,16,0,1235,778,248,111,47,51
"Spartanburg School District 1, South Carolina","4503480",21626,3652,6455,6894,2960,1665,12034,2426,3734,3756,1248,870,8352,832,2357,2824,1592,747,173,0,61,58,40,14,1067,394,303,256,80,34
"Spartanburg School District 2, South Carolina","4503510",39655,5305,11729,14061,5675,2885,22630,3023,7123,8330,2672,1482,13662,1334,3616,4898,2521,1293,463,50,112,177,82,42,2900,898,878,656,400,68
"Spartanburg School District 4, South Carolina","4503570",13523,2606,4355,4317,1467,778,9150,1977,3138,2726,921,388,3690,435,1070,1404,469,312,61,0,9,52,0,0,622,194,138,135,77,78
"Spartanburg School District 5, South Carolina","4503600",30194,3427,8558,10484,5041,2684,15677,1884,4743,5640,2328,1082,11746,917,3304,3894,2388,1243,248,0,51,120,23,54,2523,626,460,830,302,305
"Spartanburg School District 6, South Carolina","4503630",43556,6280,12818,13970,6358,4130,23898,3473,7602,8137,2704,1982,13691,1103,3177,4771,2845,1795,601,151,123,206,87,34,5366,1553,1916,856,722,319
"Spartanburg School District 7, South Carolina","4503660",34629,5857,8710,9414,6465,4183,21347,4426,6010,5936,3140,1835,10836,825,2010,2948,2956,2097,285,67,24,81,13,100,2161,539,666,449,356,151
"Union County School District, South Carolina","4503750",19686,3717,7775,5729,1566,899,15836,3040,6491,4577,1062,666,3607,597,1214,1102,461,233,48,0,9,5,34,0,195,80,61,45,9,0
"Williamsburg County School District, South Carolina","4503780",22550,4490,9229,5991,1910,930,18158,3767,7660,4648,1415,668,3655,480,1427,1229,268,251,176,43,44,74,15,0,561,200,98,40,212,11
"York School District 1, South Carolina","4503810",22476,3962,8323,6978,2009,1204,11283,2304,4176,3256,846,701,10056,1315,3719,3435,1127,460,191,51,69,43,0,28,946,292,359,244,36,15
"York School District 2, South Carolina","4503840",27056,2546,7581,8362,5888,2679,5525,713,1768,1678,909,457,19858,1517,5490,6221,4689,1941,346,0,57,201,68,20,1327,316,266,262,222,261
"York School District 3, South Carolina","4503870",77474,9442,21294,25568,14116,7054,37208,5316,11222,11936,6047,2687,35227,2850,8945,12473,7048,3911,780,77,194,292,165,52,4259,1199,933,867,856,404
"York School District 4, South Carolina","4503900",40732,2381,7369,11842,13155,5985,7413,868,1888,2287,1600,770,28616,700,4730,8840,10079,4267,727,48,120,98,353,108,3976,765,631,617,1123,840
"Remainder of South Carolina, South Carolina","4599999",4472,38,579,1699,1270,886,643,10,97,239,115,182,3071,21,443,1219,836,552,131,2,0,47,41,41,627,5,39,194,278,111
"Dillon School District 4, South Carolina","4501920",15653,4571,5606,3880,1103,493,11588,3230,4532,2706,829,291,3542,940,976,1162,262,202,60,51,0,0,9,0,463,350,98,12,3,0
"Marion School District 10, South Carolina","4503908",21698,4616,7745,5768,2431,1138,16894,3657,6100,4464,1866,807,4016,784,1403,1138,420,271,77,0,0,62,0,15,711,175,242,104,145,45
"Sumter County Consolidated School District, South Carolina","4503902",69550,11658,21503,22818,8504,5067,41942,8609,14389,12401,4438,2105,23749,1921,6159,9430,3552,2687,941,173,144,463,102,59,2918,955,811,524,412,216
"Aiken County School District, South Carolina","4500720",117011,16260,37089,33500,19086,11076,44908,8396,16851,11435,5473,2753,64315,5907,18018,20407,12322,7661,1443,77,384,463,365,154,6345,1880,1836,1195,926,508
"Anderson School District 1, South Carolina","4500780",36003,4582,11500,11507,5532,2882,21636,2753,7786,7073,2842,1182,12549,1382,3276,4107,2284,1500,436,4,101,105,206,20,1382,443,337,222,200,180
"Dorchester School District 4, South Carolina","4500002",13002,2938,4645,3877,992,550,9666,2365,3440,2807,663,391,3039,491,1068,1055,267,158,96,6,68,2,20,0,201,76,69,13,42,1
"Abbeville County School District, South Carolina","4500690",16208,3452,5577,4765,1645,769,11823,2565,4168,3534,1098,458,4252,846,1390,1209,527,280,5,0,5,0,0,0,128,41,14,22,20,31
"Allendale County School District, South Carolina","4500750",6676,1723,2678,1646,457,172,5128,1264,2307,1261,227,69,1359,405,340,349,211,54,76,25,20,11,0,20,113,29,11,25,19,29
"Anderson School District 2, South Carolina","4500810",15831,3092,5629,4711,1719,680,11461,2443,4064,3234,1242,478,4175,617,1504,1448,409,197,42,0,0,25,17,0,153,32,61,4,51,5
"Anderson School District 3, South Carolina","4500840",9920,2348,3718,2958,686,210,7074,1743,2626,2097,454,154,2652,515,1039,827,215,56,27,0,15,0,12,0,167,90,38,34,5,0
"Anderson School District 4, South Carolina","4500870",15501,1697,4512,5452,2242,1598,9013,1118,2769,3183,1177,766,5888,544,1618,2106,915,705,133,0,36,24,59,14,467,35,89,139,91,113
"Bamberg School District 2, South Carolina","4500960",4236,1039,1405,1102,537,153,3604,796,1331,930,442,105,511,122,74,172,95,48,0,0,0,0,0,0,121,121,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",7996,1399,2823,2722,758,294,5602,1042,2282,1652,425,201,2248,297,477,1062,333,79,75,4,60,5,0,6,71,56,4,3,0,8
"Anderson School District 5, South Carolina","4500900",55595,8999,16526,18046,7424,4600,33265,6562,11014,10184,3470,2035,19689,1784,4903,7228,3525,2249,419,139,69,105,61,45,2222,514,540,529,368,271
"Bamberg School District 1, South Carolina","4500930",5666,1047,1751,1667,708,493,4566,943,1358,1354,563,348,968,76,358,282,126,126,5,0,3,0,2,0,127,28,32,31,17,19
"Barnwell School District 19, South Carolina","4501020",3226,767,1153,1056,190,60,2485,598,887,774,166,60,626,125,259,218,24,0,9,0,0,9,0,0,106,44,7,55,0,0
"Barnwell School District 29, South Carolina","4501050",3164,738,1056,991,239,140,2014,562,652,584,175,41,1084,157,402,373,64,88,11,0,0,0,0,11,55,19,2,34,0,0
"Calhoun County School District, South Carolina","4501250",10738,1536,4190,3053,1260,699,7412,1106,2916,2039,855,496,2955,311,1145,937,383,179,50,0,48,2,0,0,321,119,81,75,22,24
"Beaufort County School District, South Carolina","4501110",126788,9243,28242,38752,29762,20789,25246,3179,8729,7885,3163,2290,87095,2522,15746,27282,24471,17074,1640,72,370,573,433,192,12807,3470,3397,3012,1695,1233
"Berkeley County School District, South Carolina","4501170",134623,15712,40346,47161,20946,10458,57888,8736,20073,18860,6613,3606,65232,4605,17048,24906,12440,6233,2426,211,655,1128,233,199,9077,2160,2570,2267,1660,420
"Charleston County School District, South Carolina","4501440",272967,24540,61727,72365,72787,41548,123379,14959,37991,34020,24837,11572,129033,5030,19727,34594,43502,26180,3615,267,773,873,1029,673,16940,4284,3236,2878,3419,3123
"Cherokee County School District, South Carolina","4501500",36567,7910,13403,9783,3599,1872,24476,5627,9454,6119,2090,1186,10882,1979,3435,3407,1423,638,229,0,115,64,10,40,980,304,399,193,76,8
"Chester County School District, South Carolina","4501530",22373,4447,8674,6055,2266,931,15934,3268,6595,4000,1554,517,6067,1068,2033,1982,607,377,59,14,28,16,1,0,313,97,18,57,104,37
"Chesterfield County School District, South Carolina","4501560",31679,7452,12930,7732,2329,1236,20119,4784,8712,4867,1034,722,10204,1976,4001,2696,1065,466,104,24,32,35,13,0,1252,668,185,134,217,48
"Clarendon School District 1, South Carolina","4501740",6615,1295,2689,1759,620,252,4219,964,1816,1009,310,120,2294,331,822,732,277,132,60,0,39,12,9,0,42,0,12,6,24,0
"Clarendon School District 2, South Carolina","4501770",12943,2567,4563,3711,1328,774,9173,2046,3455,2464,815,393,3342,395,998,1161,488,300,129,24,43,23,0,39,299,102,67,63,25,42
"Clarendon School District 3, South Carolina","4501800",4398,997,1645,1158,409,189,3716,804,1435,972,333,172,526,53,194,186,76,17,15,6,9,0,0,0,141,134,7,0,0,0
"Colleton County School District, South Carolina","4501830",26057,3691,10665,7700,2701,1300,18945,2819,7979,5591,1683,873,6463,607,2404,2045,984,423,78,0,22,43,13,0,571,265,260,21,21,4
"Dillon School District 3, South Carolina","4501950",4714,845,1890,1301,471,207,3747,720,1457,974,416,180,893,125,378,311,52,27,3,0,0,0,3,0,71,0,55,16,0,0
"Darlington County School District, South Carolina","4501860",46063,8583,16355,12914,5290,2921,34365,6908,12916,9225,3590,1726,10432,1318,3089,3505,1506,1014,235,5,95,76,45,14,1031,352,255,108,149,167
