"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Newberry County School District, South Carolina","4503030",41.5,40.5,48.3,49.5,37
"Oconee County School District, South Carolina","4503060",45,36.3,55.6,53.3,38
"Marlboro County School District, South Carolina","4502970",39.9,40.4,39.6,41.5,38.3
"McCormick County School District, South Carolina","4503000",52.8,46.3,61.4,46.1,64.5
"Orangeburg School District 3, South Carolina","4503150",45.7,40.7,56,36.6,44.2
"Orangeburg School District 4, South Carolina","4503180",38.3,35.2,52,50.4,46.5
"Orangeburg School District 5, South Carolina","4503210",37.7,36.3,41.9,27.9,41.6
"Pickens County School District, South Carolina","4503330",36.2,32.1,43.4,47.8,36.3
"Richland School District 1, South Carolina","4503360",31.9,30.4,33.8,40.2,32.3
"Richland School District 2, South Carolina","4503390",36.4,28.8,41.8,34.4,45.7
"Saluda County School District, South Carolina","4503460",40.6,40.6,53.6,25.9,33.5
"Spartanburg School District 1, South Carolina","4503480",45.1,40.3,51.4,47,48.3
"Spartanburg School District 2, South Carolina","4503510",39.7,35,45.8,44.7,41.1
"Spartanburg School District 4, South Carolina","4503570",38,33.7,45.9,26.7,43.5
"Spartanburg School District 5, South Carolina","4503600",36.5,30.6,44.3,39.2,44.1
"Spartanburg School District 6, South Carolina","4503630",35.4,30.3,45,44.8,38.6
"Spartanburg School District 7, South Carolina","4503660",38.9,34.4,45.9,37.5,43.6
"Union County School District, South Carolina","4503750",43.7,41.8,48.7,78.3,38.1
"Williamsburg County School District, South Carolina","4503780",41.7,42.2,41.8,30.6,36.9
"York School District 1, South Carolina","4503810",40.6,36.7,43.9,46.8,34.7
"York School District 2, South Carolina","4503840",40.3,34.6,41,29,49.8
"York School District 3, South Carolina","4503870",37.1,32.6,41,35.5,40.5
"York School District 4, South Carolina","4503900",38.2,36.7,37.6,43.3,41.3
"Remainder of South Carolina, South Carolina","4599999",20,19.3,19.9,19.7,25.5
"Dillon School District 4, South Carolina","4501920",36.6,34.6,46.9,12.2,29.5
