"","GEOID","B07001_001","B07001_002","B07001_003","B07001_004","B07001_005","B07001_006","B07001_007","B07001_008","B07001_009","B07001_010","B07001_011","B07001_012","B07001_013","B07001_014","B07001_015","B07001_016","B07001_017","B07001_018","B07001_019","B07001_020","B07001_021","B07001_022","B07001_023","B07001_024","B07001_025","B07001_026","B07001_027","B07001_028","B07001_029","B07001_030","B07001_031","B07001_032","B07001_033","B07001_034","B07001_035","B07001_036","B07001_037","B07001_038","B07001_039","B07001_040","B07001_041","B07001_042","B07001_043","B07001_044","B07001_045","B07001_046","B07001_047","B07001_048","B07001_049","B07001_050","B07001_051","B07001_052","B07001_053","B07001_054","B07001_055","B07001_056","B07001_057","B07001_058","B07001_059","B07001_060","B07001_061","B07001_062","B07001_063","B07001_064","B07001_065","B07001_066","B07001_067","B07001_068","B07001_069","B07001_070","B07001_071","B07001_072","B07001_073","B07001_074","B07001_075","B07001_076","B07001_077","B07001_078","B07001_079","B07001_080","B07001_081","B07001_082","B07001_083","B07001_084","B07001_085","B07001_086","B07001_087","B07001_088","B07001_089","B07001_090","B07001_091","B07001_092","B07001_093","B07001_094","B07001_095","B07001_096"
"Anderson School District 2, South Carolina","4500810",22672,1015,4080,630,1116,1294,1180,1368,1591,1294,1567,1670,1808,1353,929,1777,19922,796,3620,580,835,995,974,1148,1400,1183,1277,1483,1707,1294,929,1701,1482,155,204,50,143,190,162,120,52,61,158,78,34,15,0,60,789,31,182,0,92,78,33,61,84,9,68,85,50,0,0,16,447,33,74,0,46,31,0,39,55,37,64,11,13,44,0,0,32,0,0,0,0,0,11,0,0,4,0,13,4,0,0,0
"Anderson School District 3, South Carolina","4500840",14523,748,2844,347,664,999,797,1167,775,848,961,1210,912,542,818,891,12926,582,2445,336,516,786,791,957,647,775,910,1183,862,542,754,840,968,102,219,5,112,151,4,77,103,45,36,10,20,0,48,36,194,9,56,6,26,25,2,23,25,21,1,0,0,0,0,0,401,55,124,0,10,37,0,110,0,0,4,0,30,0,16,15,34,0,0,0,0,0,0,0,0,7,10,17,0,0,0,0
"Anderson School District 4, South Carolina","4500870",21030,878,2839,611,1201,1388,1088,1374,1384,1439,1589,1594,1444,1629,955,1617,18078,701,2512,426,696,1103,890,1238,1056,1256,1393,1522,1396,1456,940,1493,1038,42,130,64,72,119,87,68,178,136,44,29,0,47,0,22,1215,97,181,121,342,106,10,53,104,29,67,43,30,15,0,17,669,38,16,0,91,60,101,15,46,18,85,0,18,96,0,85,30,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0
"Bamberg School District 2, South Carolina","4500960",6571,271,759,409,896,423,239,327,271,206,462,566,404,458,476,404,6072,250,752,264,782,391,214,327,240,192,440,549,386,458,459,368,98,0,0,0,7,27,0,0,20,0,22,0,17,0,5,0,178,0,0,93,61,5,4,0,0,14,0,0,1,0,0,0,223,21,7,52,46,0,21,0,11,0,0,17,0,0,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",12023,637,2041,360,989,806,634,640,729,813,930,790,783,723,429,719,10489,537,1585,357,740,640,582,469,586,756,863,769,765,713,419,708,1042,97,319,0,170,104,31,54,143,48,46,3,0,7,10,10,177,0,0,0,65,60,20,15,0,0,7,8,0,1,0,1,287,0,137,3,14,0,1,102,0,0,0,10,18,2,0,0,28,3,0,0,0,2,0,0,0,9,14,0,0,0,0,0
"Anderson School District 5, South Carolina","4500900",80856,3812,13104,2338,6007,5080,5040,3862,4925,5640,5506,5372,5122,4595,3954,6499,68384,2796,11529,1530,4051,3617,4055,3308,4232,4814,4865,4932,4688,4335,3823,5809,8856,798,1228,313,1301,1122,644,501,558,594,536,266,258,232,95,410,1785,92,126,400,336,131,149,16,11,186,54,58,104,0,33,89,1564,32,200,95,319,199,144,37,71,29,44,116,56,28,3,191,267,94,21,0,0,11,48,0,53,17,7,0,16,0,0,0
"Bamberg School District 1, South Carolina","4500930",8117,303,1514,220,414,360,353,193,997,481,560,567,594,520,286,755,7412,223,1272,190,373,341,249,168,995,461,531,554,544,500,267,744,235,4,89,0,0,19,44,11,0,0,12,0,20,20,13,3,349,35,131,30,41,0,54,9,2,16,17,0,0,0,6,8,110,41,22,0,0,0,3,5,0,4,0,5,30,0,0,0,11,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0
"Barnwell School District 19, South Carolina","4501020",4729,207,977,90,229,186,238,191,392,310,419,369,260,314,250,297,4215,138,861,90,216,119,171,175,331,283,408,337,239,314,240,293,333,58,86,0,4,50,0,0,54,27,5,32,17,0,0,0,97,0,26,0,0,17,34,16,0,0,0,0,0,0,0,4,77,11,4,0,9,0,33,0,0,0,6,0,4,0,10,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"Barnwell School District 29, South Carolina","4501050",4770,330,920,64,292,162,265,231,282,206,270,524,329,149,358,388,4046,292,694,64,208,143,180,174,269,150,239,457,305,149,349,373,118,0,12,0,45,17,12,0,0,0,0,0,24,0,8,0,393,0,173,0,39,2,34,42,0,56,31,0,0,0,1,15,213,38,41,0,0,0,39,15,13,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calhoun County School District, South Carolina","4501250",14726,645,2260,214,869,800,704,914,781,940,1124,1217,1161,1203,798,1096,13919,629,2196,183,763,734,649,869,742,926,1037,1152,1148,1103,790,998,311,0,26,0,60,8,0,30,0,6,50,47,13,47,2,22,383,16,38,2,46,49,55,15,39,8,26,18,0,30,6,35,113,0,0,29,0,9,0,0,0,0,11,0,0,23,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaufort County School District, South Carolina","4501110",176812,8338,25074,4528,12084,10869,9875,8683,9636,9149,10077,11579,12258,15297,12421,16944,143423,5728,20177,2703,7265,6658,7138,7247,8226,7596,8892,10254,10950,13508,11623,15458,15310,1338,3231,440,2316,1697,1123,718,754,930,548,445,306,421,295,748,2821,183,352,230,482,385,274,48,81,119,230,99,78,150,48,62,14196,992,1234,1129,1890,1939,1174,647,516,445,366,766,869,1126,448,655,1062,97,80,26,131,190,166,23,59,59,41,15,55,92,7,21
"Berkeley County School District, South Carolina","4501170",201889,10857,36064,5356,14989,15264,14688,13687,13205,13266,13909,13477,11152,10455,6607,8913,168913,8439,30423,3689,9689,10772,11787,11506,11379,11837,12588,12193,10189,9787,6329,8306,12746,1117,2804,280,1488,1695,1418,908,606,482,510,544,319,291,99,185,9087,602,1502,242,1184,1621,791,704,651,512,502,326,198,71,75,106,10435,685,1276,1120,2565,1126,629,522,465,402,298,349,385,279,68,266,708,14,59,25,63,50,63,47,104,33,11,65,61,27,36,50
"Charleston County School District, South Carolina","4501440",382933,18571,54229,10068,27098,35254,31600,25868,22735,23412,25784,26241,24055,21139,14675,22204,320011,15331,47769,6169,17330,23379,25303,22054,19644,20641,22818,23505,22149,19504,13937,20478,35447,2034,4166,1166,5089,6682,3505,2401,1789,1788,1789,1661,1087,653,455,1182,11408,680,1025,1501,2291,1798,1197,598,364,304,451,432,223,249,70,225,14647,476,1141,1110,2179,3059,1406,776,825,615,658,634,564,701,204,299,1420,50,128,122,209,336,189,39,113,64,68,9,32,32,9,20
"Cherokee County School District, South Carolina","4501500",54312,2677,9660,1666,3742,3701,3038,3202,3531,3713,3868,3767,3272,2857,2258,3360,48289,2243,8762,1262,2767,2905,2627,2826,3277,3446,3618,3539,2994,2698,2180,3145,3774,371,702,192,559,619,341,165,93,181,107,57,170,45,51,121,1401,41,175,87,245,129,67,189,43,42,52,102,21,114,0,94,750,22,21,116,125,48,3,22,118,44,91,52,75,0,13,0,98,0,0,9,46,0,0,0,0,0,0,17,12,0,14,0
"Chester County School District, South Carolina","4501530",31922,1415,5570,608,1956,1919,1693,1735,1914,2205,2396,2630,2234,2008,1397,2242,30043,1320,5160,569,1774,1771,1520,1663,1821,2093,2272,2581,2123,1889,1342,2145,900,82,119,37,138,23,96,8,40,67,91,28,50,56,18,47,674,13,216,2,33,118,43,64,22,11,33,15,7,54,12,31,276,0,75,0,11,7,34,0,31,34,0,6,54,9,2,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6
"Chesterfield County School District, South Carolina","4501560",45723,2221,7842,1040,2941,2623,2570,2306,3306,3290,3480,3498,2934,2736,2066,2870,40997,1926,7053,878,2513,2209,2109,1922,2939,3029,3174,3203,2734,2607,1965,2736,2610,123,523,123,275,186,181,273,166,145,254,213,41,76,0,31,1275,66,252,29,97,72,186,76,176,61,15,26,137,18,49,15,752,106,14,10,51,156,86,35,25,41,37,56,22,26,33,54,89,0,0,0,5,0,8,0,0,14,0,0,0,9,19,34
"Clarendon School District 1, South Carolina","4501740",8343,309,850,110,459,424,329,201,407,379,821,586,951,747,643,1127,7611,258,728,90,386,326,285,149,390,360,755,551,910,727,620,1076,470,39,118,15,71,98,31,15,7,14,7,6,0,7,10,32,180,10,4,4,2,0,11,8,0,3,50,29,30,13,4,12,71,2,0,1,0,0,2,29,10,2,9,0,0,0,9,7,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"Clarendon School District 2, South Carolina","4501770",18473,743,3290,364,1133,1069,988,998,980,1146,1151,1124,1775,1468,949,1295,16590,550,2984,335,945,805,860,852,912,1043,1037,1021,1656,1430,922,1238,996,134,220,9,140,85,98,93,26,18,49,59,31,16,8,10,499,25,40,0,17,119,10,34,32,58,27,31,50,0,19,37,343,34,38,20,31,60,20,9,10,27,38,13,18,15,0,10,45,0,8,0,0,0,0,10,0,0,0,0,20,7,0,0
"Clarendon School District 3, South Carolina","4501800",6976,261,1085,254,978,491,457,514,394,448,455,371,318,279,300,371,6267,232,980,168,752,418,418,497,346,389,455,355,317,276,293,371,138,18,42,0,12,32,5,3,9,12,0,5,0,0,0,0,441,10,50,60,192,41,12,14,18,35,0,0,1,3,5,0,105,1,13,26,22,0,7,0,11,12,0,11,0,0,2,0,25,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0
"Colleton County School District, South Carolina","4501830",37272,1851,6432,590,2342,2305,1978,2130,2095,2328,2786,2439,2946,2610,1677,2763,33951,1573,5907,575,1941,1874,1779,1990,1801,2142,2708,2303,2698,2528,1631,2501,1781,157,436,15,86,320,24,116,221,45,20,93,135,39,6,68,947,28,75,0,161,111,116,9,46,53,52,6,55,34,36,165,587,93,14,0,154,0,59,15,27,88,0,37,58,9,4,29,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"Dillon School District 3, South Carolina","4501950",7270,342,1511,195,508,259,383,467,517,554,392,483,408,384,379,488,6719,296,1273,189,481,215,312,467,479,554,381,475,384,355,379,479,463,46,206,6,23,44,39,0,38,0,0,8,24,20,0,9,65,0,32,0,0,0,13,0,0,0,11,0,0,9,0,0,23,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darlington County School District, South Carolina","4501860",66802,3176,11472,1662,4429,3988,3536,3696,4350,4340,4805,5144,4626,4096,2967,4515,58759,2419,10086,1206,3112,3159,3066,3245,3914,3961,4322,4828,4425,3905,2868,4243,4244,372,812,78,880,410,211,192,254,224,271,144,124,89,43,140,2871,355,516,200,388,307,218,170,159,155,174,84,27,23,18,77,882,30,58,178,49,112,41,76,17,0,38,88,35,71,34,55,46,0,0,0,0,0,0,13,6,0,0,0,15,8,4,0
"Dorchester School District 2, South Carolina","4502010",132132,6742,26296,3314,8015,9131,9254,9752,8951,9346,9733,7988,7687,6413,3995,5515,110109,5283,21409,2724,5695,6567,7394,8011,7362,8282,8706,7269,6846,5738,3741,5082,9063,556,2564,288,950,742,749,841,740,394,356,226,172,194,90,201,7604,606,1466,249,991,1358,657,405,483,279,364,229,212,137,28,140,4707,246,767,53,379,440,431,422,331,353,283,236,265,315,106,80,649,51,90,0,0,24,23,73,35,38,24,28,192,29,30,12
"Edgefield County School District, South Carolina","4502070",26497,947,3947,583,1680,1490,1759,1875,1722,1905,2003,1976,2021,1605,1227,1757,22941,694,3372,492,1310,1166,1320,1474,1517,1607,1754,1901,1931,1517,1193,1693,1211,144,269,60,123,114,63,126,63,79,50,32,25,25,4,34,1510,74,244,26,210,122,271,136,36,118,130,2,55,46,10,30,737,25,62,5,37,74,80,129,106,87,69,16,10,17,20,0,98,10,0,0,0,14,25,10,0,14,0,25,0,0,0,0
"Fairfield County School District, South Carolina","4502100",22760,992,3474,492,1377,1221,1085,1021,1544,1507,1894,1769,2087,1656,987,1654,21590,952,3364,465,1342,1125,1015,765,1412,1463,1777,1757,1960,1637,964,1592,679,24,60,0,19,74,37,184,74,20,36,5,71,19,15,41,253,16,1,27,16,4,15,17,20,2,66,4,36,0,8,21,154,0,22,0,0,18,0,31,38,22,0,3,20,0,0,0,84,0,27,0,0,0,18,24,0,0,15,0,0,0,0,0
"Florence School District 1, South Carolina","4502130",98390,5093,16792,2389,6982,7077,5809,5759,6745,6844,7177,6493,6478,5130,3742,5880,85369,4084,14440,1732,5496,5061,4796,5142,5780,6151,6596,6173,5964,4947,3603,5404,8238,732,1863,164,664,1028,729,467,675,487,311,175,373,165,86,319,3005,205,411,458,574,569,170,117,100,113,21,93,27,18,42,87,1674,72,67,35,229,399,93,33,179,93,249,30,114,0,11,70,104,0,11,0,19,20,21,0,11,0,0,22,0,0,0,0
"Florence School District 2, South Carolina","4502160",7192,332,1568,220,351,360,356,351,613,344,374,483,491,481,370,498,6698,313,1464,220,323,344,346,351,518,302,336,393,447,481,370,490,322,19,75,0,28,7,10,0,37,16,38,64,27,0,0,1,54,0,0,0,0,9,0,0,0,0,0,21,17,0,0,7,118,0,29,0,0,0,0,0,58,26,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Georgetown County School District, South Carolina","4502280",60599,2462,9037,1306,3004,2861,2832,3163,3131,3559,4118,4642,5121,5591,4078,5694,53528,1972,7877,1219,2532,2272,2226,2738,2897,3223,3511,4104,4802,5185,3748,5222,3390,348,612,76,363,264,344,235,141,105,239,149,67,158,101,188,1969,126,425,4,58,211,190,144,62,122,110,173,79,80,43,142,1660,16,111,7,51,114,70,46,31,100,258,200,173,155,186,142,52,0,12,0,0,0,2,0,0,9,0,16,0,13,0,0
"Florence School District 3, South Carolina","4502190",19364,973,3868,315,1230,1318,1473,1049,1110,1237,1156,1199,1085,1231,932,1188,16954,790,3456,295,947,958,1221,878,889,1126,1016,1090,1064,1184,903,1137,1989,175,352,20,270,240,236,136,163,75,111,95,21,38,24,33,336,8,50,0,13,105,6,30,58,36,0,14,0,9,5,2,70,0,10,0,0,15,0,0,0,0,29,0,0,0,0,16,15,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0
"Florence School District 4, South Carolina","4502220",6376,223,1138,116,497,231,474,308,574,283,480,362,646,359,264,421,5797,170,989,98,481,222,394,241,479,283,436,338,627,359,259,421,363,53,95,12,16,9,47,33,24,0,39,15,15,0,5,0,188,0,54,6,0,0,33,26,51,0,5,9,4,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,16,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0
