"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Remainder of South Carolina, South Carolina","4599999",17425,692,1434,10827,2736,991,196,126,33,106,208,76,1581,399,287,252,162,93,52,78,14,92,95,57,14196,293,1005,9827,1953,802,112,48,14,14,113,15,615,0,122,362,82,17,28,0,0,0,0,4,1033,0,20,386,539,79,4,0,5,0,0,0
"Dillon School District 4, South Carolina","4501920",23724,1722,4350,1999,3237,2636,3039,1795,707,678,2100,1461,18445,1653,3568,1636,2462,1703,2281,1408,577,542,1544,1071,4346,20,497,287,464,824,715,333,130,135,551,390,175,49,66,0,0,9,0,51,0,0,0,0,758,0,219,76,311,100,43,3,0,1,5,0
"Marion School District 10, South Carolina","4503908",31765,1957,5525,2585,3688,3627,4033,1867,1303,1602,3466,2112,25913,1891,4929,2199,2926,2944,2716,1507,1067,1207,2951,1576,4991,52,539,384,518,551,1114,327,178,316,476,536,91,14,0,0,17,0,21,11,7,21,0,0,770,0,57,2,227,132,182,22,51,58,39,0
"Sumter County Consolidated School District, South Carolina","4503902",107379,7317,18968,11544,14489,12083,13613,6567,3006,3607,9454,6731,70507,6289,14710,7566,8279,7049,7848,4004,2063,2457,5688,4554,31709,875,3581,3504,5249,4098,4910,2212,910,1109,3310,1951,1668,140,324,263,272,189,289,115,0,7,40,29,3495,13,353,211,689,747,566,236,33,34,416,197
"Aiken County School District, South Carolina","4500720",168214,9856,27265,14082,21285,19308,22580,11987,4873,7070,17960,11948,68131,4830,11925,6468,6803,7001,9119,5284,1830,2622,7367,4882,90608,4856,14657,6780,12454,10236,11871,6131,2883,4239,9876,6625,1904,35,236,190,407,427,333,56,65,39,77,39,7571,135,447,644,1621,1644,1257,516,95,170,640,402
"Anderson School District 1, South Carolina","4500780",53669,3503,10670,3493,5920,7272,8180,3589,1178,1959,5036,2869,36159,3200,8875,2448,3619,4259,4533,2141,747,1339,3039,1959,15414,286,1664,915,1972,2481,3290,1254,370,540,1800,842,509,17,56,0,43,173,83,120,0,17,0,0,1587,0,75,130,286,359,274,74,61,63,197,68
"Dorchester School District 4, South Carolina","4500002",18105,1201,2520,1382,2743,1970,2576,1321,650,747,1824,1171,14156,1148,2195,1147,2180,1297,1670,904,569,621,1436,989,3652,53,325,235,511,541,847,400,64,126,388,162,96,0,0,0,0,55,22,6,13,0,0,0,201,0,0,0,52,77,37,11,4,0,0,20
"Abbeville County School District, South Carolina","4500690",23617,1283,3745,2381,2250,2694,3062,1523,675,1349,2884,1771,18001,1217,3250,1711,1771,1960,2033,1123,517,1028,2059,1332,5322,66,407,597,456,668,1003,400,158,313,820,434,63,0,19,39,0,0,0,0,0,0,0,5,231,0,69,34,23,66,26,0,0,8,5,0
"Allendale County School District, South Carolina","4500750",9402,466,1338,922,1201,1168,1287,646,234,429,1150,561,7471,430,1099,814,974,816,955,521,192,411,803,456,1742,36,239,108,181,298,293,119,42,15,306,105,76,0,0,0,0,17,34,6,0,0,19,0,113,0,0,0,46,37,5,0,0,3,22,0
"Anderson School District 2, South Carolina","4500810",22972,1315,4080,1746,2474,2959,2861,1670,771,1037,2282,1777,17612,1173,3510,1468,2072,2104,1892,1098,651,825,1513,1306,5165,142,570,278,364,807,942,554,120,212,769,407,42,0,0,0,0,25,9,0,0,0,0,8,153,0,0,0,38,23,18,18,0,0,0,56
"Anderson School District 3, South Carolina","4500840",14684,909,2844,1011,1796,1942,1809,1210,437,475,1360,891,11424,820,2612,918,1524,1372,1260,810,289,342,875,602,3054,89,232,81,240,541,489,393,148,114,465,262,27,0,0,0,0,0,15,0,0,0,0,12,179,0,0,12,32,29,45,7,0,19,20,15
"Anderson School District 4, South Carolina","4500870",21360,1208,2839,1812,2476,2758,3028,1594,543,901,2584,1617,13923,1103,2364,1443,1392,1893,1776,967,296,504,1283,902,6740,105,404,343,925,733,1189,582,247,337,1187,688,133,0,0,0,40,55,0,0,0,38,0,0,564,0,71,26,119,77,63,45,0,22,114,27
"Bamberg School District 2, South Carolina","4500960",6693,393,759,1305,662,598,668,566,133,271,934,404,5361,346,644,767,486,540,553,505,127,245,786,362,1194,47,115,521,66,58,111,54,6,26,148,42,9,0,0,9,0,0,0,0,0,0,0,0,129,0,0,8,110,0,4,7,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",12240,854,2041,1349,1440,1369,1743,790,397,386,1152,719,8788,764,1482,940,1030,1023,1189,482,297,207,811,563,3215,90,527,350,360,318,545,278,100,178,324,145,88,0,0,13,34,5,6,30,0,0,0,0,149,0,32,46,16,23,3,0,0,1,17,11
"Anderson School District 5, South Carolina","4500900",81672,4628,13104,8345,10120,8787,11146,5372,2120,3002,8549,6499,52998,4154,10421,5158,6308,5590,6286,2950,1233,1631,5187,4080,25239,312,2325,2913,3096,2514,4330,2152,855,1294,3100,2348,598,48,74,57,91,33,112,117,0,15,51,0,2837,114,284,217,625,650,418,153,32,62,211,71
"Bamberg School District 1, South Carolina","4500930",8149,335,1514,634,713,1190,1041,567,322,272,806,755,6791,328,1311,586,599,993,825,468,237,235,671,538,1226,7,203,48,71,194,176,95,85,37,135,175,5,0,0,0,0,0,5,0,0,0,0,0,127,0,0,0,43,3,35,4,0,0,0,42
"Barnwell School District 19, South Carolina","4501020",4757,235,977,319,424,583,729,369,78,182,564,297,3630,176,717,252,366,387,575,266,49,111,487,244,1012,59,260,67,25,171,111,89,29,71,77,53,9,0,0,0,0,0,0,9,0,0,0,0,106,0,0,0,33,25,43,5,0,0,0,0
"Barnwell School District 29, South Carolina","4501050",4791,351,920,356,427,513,476,524,128,201,507,388,3285,233,775,263,297,284,294,427,88,165,216,243,1440,118,145,93,130,227,182,97,40,36,227,145,11,0,0,0,0,0,0,0,0,0,11,0,55,0,0,0,0,2,0,0,0,0,53,0
"Calhoun County School District, South Carolina","4501250",14808,727,2260,1083,1504,1695,2064,1217,347,814,2001,1096,10971,692,1939,928,1143,1041,1283,829,257,689,1336,834,3373,35,238,145,333,567,686,376,60,107,604,222,50,0,0,0,0,0,25,0,0,0,5,20,414,0,83,10,28,87,70,12,30,18,56,20
"Beaufort County School District, South Carolina","4501110",178605,10131,25074,16612,20744,18319,19226,11579,4444,7814,27718,16944,51471,6828,14357,5040,5623,4133,4722,2485,1003,1502,3593,2185,109508,3112,9433,9868,11916,10407,11749,8003,2951,5924,22321,13824,2307,143,286,238,500,356,262,203,61,53,117,88,15319,48,998,1466,2705,3423,2493,888,429,335,1687,847
"Berkeley County School District, South Carolina","4501170",204632,13600,36064,20345,29952,26892,27175,13477,4794,6358,17062,8913,104398,11625,25353,9532,14290,11298,10846,5683,2022,2678,7017,4054,86097,1809,9724,9332,12917,12749,13914,6703,2431,3312,9037,4169,3366,62,543,335,689,753,515,173,88,48,71,89,10771,104,444,1146,2056,2092,1900,918,253,320,937,601
"Charleston County School District, South Carolina","4501440",387847,23485,54229,37166,66854,48603,49196,26241,10140,13915,35814,22204,205557,20868,41560,19750,28522,19850,22710,12334,4549,6725,17211,11478,158112,2397,11273,15409,32378,23540,22781,12354,4769,6443,16959,9809,4958,71,464,808,1030,726,805,466,144,160,189,95,19220,149,932,1199,4924,4487,2900,1087,678,587,1455,822
"Cherokee County School District, South Carolina","4501500",54936,3301,9660,5408,6739,6733,7581,3767,1385,1887,5115,3360,39214,2958,7857,3923,4674,4254,5090,2278,887,1267,3691,2335,14266,343,1683,1358,1757,2124,2271,1355,488,599,1397,891,283,0,31,23,0,65,137,27,0,0,0,0,1173,0,89,104,308,290,83,107,10,21,27,134
"Chester County School District, South Carolina","4501530",32424,1917,5570,2564,3612,3649,4601,2630,904,1330,3405,2242,24250,1691,4538,2087,2759,2542,3119,1733,663,965,2348,1805,7795,226,1025,477,827,1079,1423,795,241,331,973,398,66,0,7,0,0,2,34,8,0,6,9,0,313,0,0,0,26,26,25,94,0,28,75,39
"Chesterfield County School District, South Carolina","4501560",46127,2625,7842,3981,5193,5612,6770,3498,1197,1737,4802,2870,30075,1972,5564,2420,2785,3277,4217,2358,756,1207,3369,2150,14394,653,2178,1359,1990,1982,2229,1103,414,484,1296,706,131,0,0,27,50,24,8,0,0,0,22,0,1527,0,100,175,368,329,316,37,27,46,115,14
"Clarendon School District 1, South Carolina","4501740",8414,380,850,569,753,608,1200,586,406,545,1390,1127,5793,340,810,424,629,378,772,399,278,307,881,575,2519,40,40,145,117,226,399,164,107,232,509,540,60,0,0,0,0,0,29,10,21,0,0,0,42,0,0,0,7,4,0,13,0,6,0,12
"Clarendon School District 2, South Carolina","4501770",18671,941,3290,1497,2057,1978,2297,1124,906,869,2417,1295,14093,849,2853,1218,1690,1411,1557,756,684,596,1687,792,4111,92,427,250,301,483,635,306,190,245,703,479,129,0,0,0,23,37,26,6,24,8,0,5,338,0,10,29,43,47,79,56,8,20,27,19
"Clarendon School District 3, South Carolina","4501800",7071,356,1085,1232,948,908,903,371,139,179,579,371,6085,355,978,1036,788,738,726,287,129,174,534,340,815,1,101,187,133,103,115,84,10,5,45,31,15,0,0,0,7,6,2,0,0,0,0,0,156,0,6,9,20,61,60,0,0,0,0,0
"Colleton County School District, South Carolina","4501830",37581,2160,6432,2932,4283,4225,5114,2439,1280,1666,4287,2763,28623,1964,5394,2320,3213,3240,3654,1883,897,1190,2972,1896,8020,196,801,560,912,689,1316,548,383,476,1285,854,130,0,0,52,0,38,38,0,0,0,2,0,808,0,237,0,158,258,106,8,0,0,28,13
"Dillon School District 3, South Carolina","4501950",7349,421,1511,703,642,984,946,483,135,273,763,488,6106,395,1384,580,526,747,738,350,93,216,683,394,1146,26,127,100,113,182,192,133,42,57,80,94,3,0,0,0,3,0,0,0,0,0,0,0,94,0,0,23,0,55,16,0,0,0,0,0
"Darlington County School District, South Carolina","4501860",67572,3946,11472,6091,7524,8046,9145,5144,1985,2641,7063,4515,53247,3727,10284,4871,5669,5868,6519,3851,1553,1985,5452,3468,12845,199,1150,1064,1483,1885,2412,1210,356,568,1550,968,287,20,0,32,27,58,28,42,25,8,29,18,1193,0,38,124,345,235,186,41,51,80,32,61
