"","GEOID","B07002_001","B07002_002","B07002_003","B07002_004","B07002_005","B07002_006"
"Newberry County School District, South Carolina","4503030",41.8,43.5,26.6,25.6,36.5,70.9
"Oconee County School District, South Carolina","4503060",45.4,48,30.7,20.9,40.2,45.2
"Marlboro County School District, South Carolina","4502970",40.3,42.4,25.8,31.6,35.1,20.9
"McCormick County School District, South Carolina","4503000",52.9,56.6,30.6,29.6,43.5,30.9
"Orangeburg School District 5, South Carolina","4503210",38,40.9,25.3,22.1,22.7,16.3
"Pickens County School District, South Carolina","4503330",36.7,42.6,23.9,21.1,22.1,29
"Richland School District 1, South Carolina","4503360",32.2,38.5,24,22.4,20.5,24
"Richland School District 2, South Carolina","4503390",36.9,38.7,28.3,28.5,30.4,36.1
"Saluda County School District, South Carolina","4503460",41,41.3,24.4,56.7,44.1,23.6
"Spartanburg School District 1, South Carolina","4503480",45.4,47.3,37.7,29.1,42.1,53.1
"Spartanburg School District 2, South Carolina","4503510",40.2,41.9,28.5,26.6,36.2,53.7
"Spartanburg School District 4, South Carolina","4503570",38.3,43.7,23.8,30.7,31.7,26.6
"Spartanburg School District 5, South Carolina","4503600",36.9,39.5,26.6,34,20.7,24.5
"Spartanburg School District 6, South Carolina","4503630",35.9,39.6,25.1,26.7,30.3,28.8
"Spartanburg School District 7, South Carolina","4503660",39.4,43.4,29.1,23.9,27.9,28.5
"Union County School District, South Carolina","4503750",44,46.7,29.1,25.9,46.3,30.1
"Williamsburg County School District, South Carolina","4503780",42.1,43.6,34.5,29.3,28.7,38.2
"York School District 1, South Carolina","4503810",41,42,30.9,26.9,40.3,29.5
"York School District 2, South Carolina","4503840",40.6,42.7,26.2,30.9,37.7,55.2
"York School District 3, South Carolina","4503870",37.7,40.2,26.6,22.1,34.3,28.7
"York School District 4, South Carolina","4503900",38.6,40.7,27.9,28.8,34.1,30.7
"Remainder of South Carolina, South Carolina","4599999",20.1,27.1,28.3,18.9,19.8,23.2
"Marion School District 10, South Carolina","4503908",40.5,42.1,28.7,25.8,38.3,26.1
"Sumter County Consolidated School District, South Carolina","4503902",36.7,40.8,25.2,26.3,25.5,32.8
"Aiken County School District, South Carolina","4500720",41.6,44.2,26.9,25.8,31.9,25.2
"Anderson School District 1, South Carolina","4500780",39.7,41.5,29.7,28.5,33.1,30.2
"Abbeville County School District, South Carolina","4500690",44,44.8,38.9,26.5,24.8,44.1
"Anderson School District 2, South Carolina","4500810",42.2,44,29.9,30.6,41,59.1
"Anderson School District 3, South Carolina","4500840",38.6,40.4,25.5,25,26.6,55.5
"Barnwell School District 45, South Carolina","4501080",39,42.8,24.5,25.8,21.3,49.5
"Anderson School District 5, South Carolina","4500900",41.3,44,28.7,24.2,27.1,32.5
"Beaufort County School District, South Carolina","4501110",44.6,49.3,26,25.8,29.5,30.8
"Berkeley County School District, South Carolina","4501170",36.3,39.1,26.6,27.8,24.4,40.6
"Charleston County School District, South Carolina","4501440",37.6,40.6,28.8,25.5,28.7,27
"Cherokee County School District, South Carolina","4501500",39.1,41.4,25.4,34,42.1,24.7
"Chester County School District, South Carolina","4501530",42.4,43,33.6,27.9,40.4,73.2
"Chesterfield County School District, South Carolina","4501560",42.2,43.7,32.3,33.1,31.8,73.4
"Clarendon School District 2, South Carolina","4501770",43.1,45.2,24.9,40.2,27.6,61.1
"Darlington County School District, South Carolina","4501860",41.8,44,24.9,23.9,32.4,63.3
"Dorchester School District 2, South Carolina","4502010",36.1,38.5,26,26.7,35.7,48
"Edgefield County School District, South Carolina","4502070",42.8,45.5,25.3,30.9,36.4,34.5
"Fairfield County School District, South Carolina","4502100",45.5,46.2,37.1,51.4,40.3,34.8
"Florence School District 1, South Carolina","4502130",39.4,41.7,28.6,24,33.5,30.2
"Georgetown County School District, South Carolina","4502280",48.9,49.8,30.6,33.9,56.3,57.2
"Greenville County School District, South Carolina","4502310",38.3,40.5,28.4,26.3,30,31
"Greenwood School District 50, South Carolina","4502340",38.7,41.3,24.2,23.4,31.4,40.7
"Horry County School District, South Carolina","4502490",44.8,46.9,28.4,34.3,47.1,50.6
"Kershaw County School District, South Carolina","4502550",42.2,42.9,33.7,27.2,35.2,13.1
"Lancaster County School District, South Carolina","4502580",42.4,43.8,31.1,26.9,37.6,43.5
"Laurens School District 56, South Carolina","4502640",42.7,45.3,30.3,22.9,28.8,21.7
"Lexington School District 1, South Carolina","4502700",38,39.7,28.4,28.5,33.6,32.6
"Lexington School District 2, South Carolina","4502730",39,42.3,28,25.1,25.9,37.1
"Lexington School District 3, South Carolina","4502760",42.2,45,18.5,29.3,49.7,60.5
"Lexington School District 5, South Carolina","4502820",41.1,43.5,29.3,30.2,28.9,38.2
