"","GEOID","B07010_001","B07010_002","B07010_003","B07010_004","B07010_005","B07010_006","B07010_007","B07010_008","B07010_009","B07010_010","B07010_011","B07010_012","B07010_013","B07010_014","B07010_015","B07010_016","B07010_017","B07010_018","B07010_019","B07010_020","B07010_021","B07010_022","B07010_023","B07010_024","B07010_025","B07010_026","B07010_027","B07010_028","B07010_029","B07010_030","B07010_031","B07010_032","B07010_033","B07010_034","B07010_035","B07010_036","B07010_037","B07010_038","B07010_039","B07010_040","B07010_041","B07010_042","B07010_043","B07010_044","B07010_045","B07010_046","B07010_047","B07010_048","B07010_049","B07010_050","B07010_051","B07010_052","B07010_053","B07010_054","B07010_055","B07010_056","B07010_057","B07010_058","B07010_059","B07010_060","B07010_061","B07010_062","B07010_063","B07010_064","B07010_065","B07010_066"
"Greenwood School District 52, South Carolina","4502400",6389,594,5795,997,845,1261,764,803,454,205,466,5801,477,5324,860,810,1167,740,683,406,196,462,296,71,225,69,0,41,14,96,0,5,0,150,0,150,48,5,31,6,8,48,0,4,142,46,96,20,30,22,4,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Hampton School District 1, South Carolina","4502430",9958,1465,8493,1417,1195,2164,1453,1285,446,209,324,9451,1403,8048,1336,1108,2090,1358,1210,435,209,302,314,38,276,67,6,40,90,48,3,0,22,89,21,68,0,30,4,2,27,5,0,0,104,3,101,14,51,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hampton School District 2, South Carolina","4502460",6434,1464,4970,1384,833,942,890,508,166,124,123,5754,1257,4497,1171,818,766,845,491,166,117,123,282,75,207,96,0,75,19,17,0,0,0,67,12,55,13,15,23,4,0,0,0,0,303,120,183,76,0,78,22,0,0,7,0,28,0,28,28,0,0,0,0,0,0,0
"Jasper County School District, South Carolina","4502520",22246,3177,19069,4320,2499,4073,3034,2582,1138,363,1060,19670,2933,16737,3621,2261,3615,2622,2305,1009,320,984,656,44,612,148,106,115,153,68,16,6,0,1057,138,919,296,101,223,202,41,34,0,22,835,62,773,255,31,120,57,156,79,21,54,28,0,28,0,0,0,0,12,0,16,0
"Kershaw County School District, South Carolina","4502550",51444,8450,42994,7961,4946,7458,6271,7035,4469,1681,3173,47593,7923,39670,7418,4697,6746,5619,6502,4158,1575,2955,2280,278,2002,361,123,379,510,346,132,30,121,758,114,644,75,99,136,36,116,136,25,21,690,127,563,86,18,187,106,16,33,41,76,123,8,115,21,9,10,0,55,10,10,0
"Lancaster County School District, South Carolina","4502580",70767,10706,60061,10623,7363,10789,8604,8614,5504,2185,6379,62987,9340,53647,9122,6516,9769,7869,7663,4905,2014,5789,3920,671,3249,877,594,588,395,472,166,29,128,1062,212,850,235,108,133,126,124,59,0,65,2602,384,2218,333,145,293,197,355,359,139,397,196,99,97,56,0,6,17,0,15,3,0
"Laurens School District 55, South Carolina","4502610",30113,4213,25900,5040,3710,5944,3408,3661,2177,593,1367,25916,3296,22620,4214,3017,5190,2947,3357,2029,584,1282,2647,657,1990,522,419,514,254,174,92,9,6,1314,250,1064,284,199,169,178,121,34,0,79,218,10,208,20,75,53,29,9,22,0,0,18,0,18,0,0,18,0,0,0,0,0
"Laurens School District 56, South Carolina","4502640",17808,2211,15597,4256,2698,2982,1934,1796,1054,251,626,15040,1864,13176,3277,2267,2530,1682,1680,950,224,566,1607,173,1434,527,328,329,140,57,41,0,12,739,95,644,259,95,60,104,45,54,19,8,310,46,264,151,8,34,0,14,9,8,40,112,33,79,42,0,29,8,0,0,0,0
"Lee County School District, South Carolina","4502670",14727,3475,11252,3148,1721,2145,1567,1230,669,175,597,13719,3049,10670,2939,1598,2050,1487,1170,669,175,582,329,80,249,37,85,60,37,30,0,0,0,580,329,251,128,38,22,31,17,0,0,15,93,17,76,44,0,7,12,13,0,0,0,6,0,6,0,0,6,0,0,0,0,0
"Lexington School District 1, South Carolina","4502700",107346,14329,93017,14244,7861,14337,12088,15525,11689,4228,13045,92794,12249,80545,11788,6654,12175,10257,13850,10186,3926,11709,8303,1398,6905,1250,560,1241,1230,986,895,187,556,3520,352,3168,759,364,530,323,402,328,97,365,2113,266,1847,294,200,261,270,228,280,7,307,616,64,552,153,83,130,8,59,0,11,108
"Lexington School District 2, South Carolina","4502730",53602,5633,47969,7952,5934,9553,8106,7084,4323,1482,3535,44414,4546,39868,6336,4682,7668,6621,6273,3887,1285,3116,4524,539,3985,681,649,1010,704,411,144,137,249,2843,355,2488,529,385,591,495,248,150,9,81,1494,135,1359,299,166,246,230,152,126,51,89,327,58,269,107,52,38,56,0,16,0,0
"Lexington School District 3, South Carolina","4502760",11176,1520,9656,1971,1259,2003,1179,1371,796,275,802,9901,1283,8618,1702,1126,1712,1056,1260,731,266,765,644,227,417,130,50,84,64,55,34,0,0,284,10,274,36,47,79,48,18,9,0,37,312,0,312,91,24,128,0,38,22,9,0,35,0,35,12,12,0,11,0,0,0,0
"Lexington School District 4, South Carolina","4502790",14311,2287,12024,2684,1730,2238,2089,1686,839,244,514,12902,2019,10883,2381,1629,2049,1794,1512,803,242,473,922,188,734,189,86,104,192,134,11,0,18,300,60,240,73,5,59,95,8,0,0,0,187,20,167,41,10,26,8,32,25,2,23,0,0,0,0,0,0,0,0,0,0,0
"Lexington School District 5, South Carolina","4502820",80047,8041,72006,11156,4965,9825,9623,11642,8588,3562,12645,70242,6994,63248,9864,4327,8379,8028,10437,7627,3138,11448,3351,266,3085,577,262,594,425,415,343,176,293,3860,531,3329,327,242,544,728,408,385,141,554,2378,190,2188,347,127,260,433,382,189,107,343,216,60,156,41,7,48,9,0,44,0,7
