"","GEOID","B07010_001","B07010_002","B07010_003","B07010_004","B07010_005","B07010_006","B07010_007","B07010_008","B07010_009","B07010_010","B07010_011","B07010_012","B07010_013","B07010_014","B07010_015","B07010_016","B07010_017","B07010_018","B07010_019","B07010_020","B07010_021","B07010_022","B07010_023","B07010_024","B07010_025","B07010_026","B07010_027","B07010_028","B07010_029","B07010_030","B07010_031","B07010_032","B07010_033","B07010_034","B07010_035","B07010_036","B07010_037","B07010_038","B07010_039","B07010_040","B07010_041","B07010_042","B07010_043","B07010_044","B07010_045","B07010_046","B07010_047","B07010_048","B07010_049","B07010_050","B07010_051","B07010_052","B07010_053","B07010_054","B07010_055","B07010_056","B07010_057","B07010_058","B07010_059","B07010_060","B07010_061","B07010_062","B07010_063","B07010_064","B07010_065","B07010_066"
"Anderson School District 4, South Carolina","4500870",17787,1334,16453,2954,2207,2632,2386,2297,1710,713,1554,15247,1076,14171,2325,1751,2258,2037,2225,1585,653,1337,876,57,819,124,117,207,171,47,50,39,64,1019,109,910,372,138,90,148,12,39,21,90,615,92,523,133,186,77,30,13,36,0,48,30,0,30,0,15,0,0,0,0,0,15
"Bamberg School District 2, South Carolina","4500960",5640,1089,4551,1426,646,846,597,360,267,90,319,5162,993,4169,1210,592,810,594,321,250,90,302,98,0,98,39,0,26,3,25,5,0,0,178,46,132,113,4,1,0,14,0,0,0,202,50,152,64,50,9,0,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",9893,1847,8046,1817,1157,1609,1175,811,635,260,582,8758,1502,7256,1528,1096,1562,1070,636,564,220,580,728,288,440,173,0,34,49,92,52,40,0,177,0,177,16,31,1,56,73,0,0,0,205,55,150,100,16,3,0,10,19,0,2,25,2,23,0,14,9,0,0,0,0,0
"Anderson School District 5, South Carolina","4500900",67178,8087,59091,11984,7469,11339,9006,8134,4529,1881,4749,56783,6600,50183,9630,6524,9685,7299,7022,4051,1752,4220,7278,916,6362,1523,563,1333,1420,881,365,89,188,1602,267,1335,614,152,55,162,137,57,40,118,1359,215,1144,217,219,250,118,78,56,0,206,156,89,67,0,11,16,7,16,0,0,17
"Bamberg School District 1, South Carolina","4500930",6773,1266,5507,879,834,977,1052,958,311,171,325,6299,1116,5183,775,730,942,1023,943,274,171,325,153,17,136,15,86,26,0,9,0,0,0,256,113,143,81,18,9,29,6,0,0,0,54,12,42,5,0,0,0,0,37,0,0,11,8,3,3,0,0,0,0,0,0,0
"Barnwell School District 19, South Carolina","4501020",3764,570,3194,896,570,454,388,559,187,68,72,3432,483,2949,749,524,429,371,558,187,61,70,189,58,131,83,33,5,7,1,0,0,2,74,28,46,28,8,10,0,0,0,0,0,62,1,61,36,5,10,10,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0
"Barnwell School District 29, South Carolina","4501050",3700,652,3048,744,583,415,279,361,345,135,186,3223,524,2699,647,475,362,215,347,345,122,186,106,0,106,0,39,17,36,14,0,0,0,226,100,126,33,54,36,3,0,0,0,0,145,28,117,64,15,0,25,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Calhoun County School District, South Carolina","4501250",12406,1733,10673,2301,1208,1926,1367,1786,823,194,1068,11652,1667,9985,2129,1083,1780,1229,1744,793,194,1033,304,6,298,99,77,56,33,24,0,0,9,337,60,277,47,42,69,71,1,21,0,26,113,0,113,26,6,21,34,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beaufort County School District, South Carolina","4501110",148750,14314,134436,21587,13101,23110,19565,19786,12464,5405,19418,121494,10858,110636,16883,10900,18619,15961,16132,10605,4637,16899,11721,2064,9657,1758,635,2055,1467,1655,939,342,806,2325,211,2114,676,271,313,231,293,145,53,132,12318,1059,11259,2116,1277,1991,1797,1531,716,351,1480,892,122,770,154,18,132,109,175,59,22,101
"Berkeley County School District, South Carolina","4501170",162928,22840,140088,23364,13799,24738,20908,21373,14789,5711,15406,136897,19278,117619,19354,11214,20225,17378,18471,12456,4996,13525,9214,1327,7887,1427,903,1690,1216,1086,738,300,527,7373,1184,6189,1035,687,937,1046,845,820,223,596,8782,930,7852,1397,938,1843,1207,871,728,168,700,662,121,541,151,57,43,61,100,47,24,58
"Charleston County School District, South Carolina","4501440",321836,37390,284446,49445,25512,44847,36048,40868,30095,11427,46204,267417,30801,236616,38442,21348,37409,29851,33875,25601,9681,40409,30092,3275,26817,5878,2556,4140,3625,4279,2635,907,2797,9879,1443,8436,2325,741,1395,1316,1257,622,225,555,13177,1349,11828,2659,781,1731,1147,1396,1213,597,2304,1271,522,749,141,86,172,109,61,24,17,139
"Cherokee County School District, South Carolina","4501500",44274,7917,36357,8017,5208,7619,5073,4706,2778,1000,1956,39407,6873,32534,6977,4681,6689,4538,4192,2619,980,1858,2821,601,2220,625,218,509,307,355,143,13,50,1241,226,1015,232,137,316,182,118,13,7,10,707,210,497,137,172,91,27,29,3,0,38,98,7,91,46,0,14,19,12,0,0,0
"Chester County School District, South Carolina","4501530",26268,4513,21755,4946,3178,4189,2861,2798,1847,426,1510,24798,4201,20597,4540,2920,4028,2759,2604,1835,420,1491,706,115,591,289,105,86,37,71,0,0,3,517,128,389,102,124,54,37,57,6,6,3,218,69,149,15,16,11,28,60,6,0,13,29,0,29,0,13,10,0,6,0,0,0
"Chesterfield County School District, South Carolina","4501560",37656,6014,31642,6785,4684,6937,4579,4281,2216,689,1471,33838,5439,28399,6012,4367,6006,3933,3987,2045,664,1385,1993,176,1817,502,134,417,399,253,60,25,27,1102,225,877,139,136,377,152,2,71,0,0,634,138,496,119,47,120,86,39,26,0,59,89,36,53,13,0,17,9,0,14,0,0
"Clarendon School District 1, South Carolina","4501740",7336,959,6377,1877,979,1039,934,626,443,131,348,6772,836,5936,1730,939,960,844,556,443,125,339,314,73,241,80,36,11,51,63,0,0,0,170,39,131,48,4,30,36,7,0,6,0,69,11,58,8,0,38,3,0,0,0,9,11,0,11,11,0,0,0,0,0,0,0
"Clarendon School District 2, South Carolina","4501770",15318,2207,13111,3424,1918,2330,1817,1714,859,334,715,13917,2029,11888,3091,1684,2029,1690,1643,770,304,677,642,39,603,195,137,154,62,20,24,11,0,439,73,366,93,54,106,24,41,12,9,27,283,50,233,45,43,41,41,10,43,10,0,37,16,21,0,0,0,0,0,10,0,11
"Clarendon School District 3, South Carolina","4501800",5885,1736,4149,1040,601,706,641,536,308,73,244,5285,1463,3822,946,530,686,542,510,299,69,240,90,50,40,18,5,10,0,3,0,4,0,381,167,214,54,55,10,70,12,9,0,4,104,46,58,22,11,0,14,11,0,0,0,25,10,15,0,0,0,15,0,0,0,0
