"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Newberry County School District, South Carolina","4503030",23654,23347,28790,31694,16114
"Oconee County School District, South Carolina","4503060",22361,20838,26871,15585,20650
"Marlboro County School District, South Carolina","4502970",18630,18710,18439,12284,22273
"McCormick County School District, South Carolina","4503000",20779,18111,27829,40250,21029
"Orangeburg School District 3, South Carolina","4503150",16947,15674,24500,38125,16364
"Pickens County School District, South Carolina","4503330",21429,20973,21885,25625,22048
"Richland School District 1, South Carolina","4503360",22076,20880,24960,26735,22083
"Richland School District 2, South Carolina","4503390",33369,30845,36946,28667,28851
"Spartanburg School District 2, South Carolina","4503510",25798,24942,28450,30977,22886
"Spartanburg School District 5, South Carolina","4503600",29376,27269,31757,34792,24101
"Spartanburg School District 6, South Carolina","4503630",24675,23714,27614,23011,23750
"Spartanburg School District 7, South Carolina","4503660",22062,20278,26432,37917,23588
"Union County School District, South Carolina","4503750",21548,21026,22806,31029,24680
"Williamsburg County School District, South Carolina","4503780",17561,18082,16922,11765,15975
"York School District 1, South Carolina","4503810",25163,22604,27029,41875,26473
"York School District 2, South Carolina","4503840",31882,30487,32212,33813,27028
"York School District 3, South Carolina","4503870",27093,24411,30684,29558,22654
"York School District 4, South Carolina","4503900",42415,30445,46740,47143,41323
"Remainder of South Carolina, South Carolina","4599999",12046,20167,11827,8996,12824
"Marion School District 10, South Carolina","4503908",18452,18570,19879,25956,13825
"Sumter County Consolidated School District, South Carolina","4503902",22622,20815,27468,30957,18814
"Aiken County School District, South Carolina","4500720",25660,21576,28748,28125,25199
"Anderson School District 1, South Carolina","4500780",28142,26960,30910,24583,24120
"Anderson School District 4, South Carolina","4500870",26474,25458,28919,32607,26964
"Anderson School District 5, South Carolina","4500900",23692,22153,26429,17500,25317
"Bamberg School District 1, South Carolina","4500930",25396,25560,24361,9583,25117
"Beaufort County School District, South Carolina","4501110",29689,21295,33321,32197,25959
"Berkeley County School District, South Carolina","4501170",28728,26061,31577,29882,26785
"Charleston County School District, South Carolina","4501440",30777,24870,38609,31484,26794
"Cherokee County School District, South Carolina","4501500",21092,20476,22504,35875,21179
"Chester County School District, South Carolina","4501530",20918,19565,24533,46023,33536
"Clarendon School District 2, South Carolina","4501770",20444,19022,25851,24625,16386
"Dorchester School District 2, South Carolina","4502010",31227,27385,34102,31272,28488
"Edgefield County School District, South Carolina","4502070",22218,19415,26421,23616,21922
"Fairfield County School District, South Carolina","4502100",20623,19028,31054,55208,16778
"Florence School District 1, South Carolina","4502130",25144,23091,29992,23672,25836
"Greenville County School District, South Carolina","4502310",27191,24196,32130,32364,24020
"Horry County School District, South Carolina","4502490",23760,20788,25839,25735,21255
"Kershaw County School District, South Carolina","4502550",26560,23932,32184,32305,24054
"Laurens School District 55, South Carolina","4502610",21622,21265,22469,30353,21430
"Lee County School District, South Carolina","4502670",18283,17187,22447,31705,31484
"Lexington School District 1, South Carolina","4502700",32812,31489,35972,39583,28153
"Lexington School District 2, South Carolina","4502730",25587,24356,28114,31845,24159
"Lexington School District 3, South Carolina","4502760",23318,22635,26913,34375,18194
"Lexington School District 4, South Carolina","4502790",21457,19887,24409,35833,19325
"Lexington School District 5, South Carolina","4502820",35424,33227,38235,30755,29361
