"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Abbeville County, South Carolina","45001",17056,3796,6096,5067,1422,675,12762,2970,4695,3647,1009,441,4049,781,1318,1361,361,228,110,14,27,32,31,6,135,31,56,27,21,0
"Aiken County, South Carolina","45003",111815,16001,35228,32866,17340,10380,44248,8581,16718,11590,4659,2700,61092,5784,16781,19769,11854,6904,1262,194,355,408,213,92,5213,1442,1374,1099,614,684
"Allendale County, South Carolina","45005",6948,1999,2385,1681,674,209,5581,1760,1979,1231,465,146,1231,182,353,425,208,63,24,3,21,0,0,0,112,54,32,25,1,0
"Anderson County, South Carolina","45007",128851,23197,40601,40280,15874,8899,81701,16744,27739,24269,8736,4213,41993,4845,11751,15011,6379,4007,1299,397,326,177,308,91,3858,1211,785,823,451,588
"Bamberg County, South Carolina","45009",10014,2411,2440,3333,1292,538,8040,1966,1981,2681,983,429,1683,301,423,601,309,49,38,0,20,18,0,0,253,144,16,33,0,60
"Barnwell County, South Carolina","45011",14482,2821,5606,4362,1292,401,10831,2330,4189,3028,967,317,3222,382,1329,1177,268,66,136,0,40,96,0,0,293,109,48,61,57,18
"Beaufort County, South Carolina","45013",117294,9813,28550,35027,25790,18114,22580,3035,8113,6441,2831,2160,79506,3175,15929,25092,20825,14485,1769,187,309,629,533,111,13439,3416,4199,2865,1601,1358
"Berkeley County, South Carolina","45015",122245,15258,38698,41931,17106,9252,53703,8717,19268,16745,5624,3349,57916,4479,16167,22013,9966,5291,1901,158,626,684,334,99,8725,1904,2637,2489,1182,513
"Calhoun County, South Carolina","45017",10716,1928,3946,3044,1264,534,7750,1464,2962,2100,958,266,2594,326,880,874,266,248,41,0,35,6,0,0,331,138,69,64,40,20
"Charleston County, South Carolina","45019",250419,26979,53394,69936,63805,36305,111978,16960,31557,31745,20933,10783,118857,5105,18048,34629,38483,22592,3367,327,600,1049,1088,303,16217,4587,3189,2513,3301,2627
"Cherokee County, South Carolina","45021",36622,8399,13678,9150,3760,1635,24682,6156,9343,5940,2168,1075,10734,1826,3981,2944,1439,544,266,63,91,59,37,16,940,354,263,207,116,0
"Chester County, South Carolina","45023",22197,4727,8703,5876,1999,892,15917,3627,6583,4046,1194,467,5921,1006,2064,1750,731,370,42,19,18,4,1,0,317,75,38,76,73,55
"Chesterfield County, South Carolina","45025",31264,7602,12526,7260,2534,1342,20593,4892,8855,4734,1323,789,9796,2290,3443,2397,1155,511,32,2,7,22,0,1,843,418,221,107,56,41
"Clarendon County, South Carolina","45027",23560,4987,8956,6421,2020,1176,17082,4036,6725,4307,1294,720,5954,745,2065,2000,717,427,88,9,51,28,0,0,436,197,115,86,9,29
"Colleton County, South Carolina","45029",25919,5226,9679,7356,2184,1474,18212,3838,6887,5253,1315,919,7140,1122,2554,2071,861,532,49,0,25,21,0,3,518,266,213,11,8,20
"Darlington County, South Carolina","45031",45854,8932,17113,12438,5155,2216,34660,7239,13573,8956,3577,1315,9900,1222,3159,3290,1432,797,307,83,96,77,38,13,987,388,285,115,108,91
