"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Abbeville County, South Carolina","45001",20534,2841,17693,4231,2614,3777,2706,2111,1248,426,580,15440,2036,13404,3084,2045,2865,2136,1694,969,260,351,4781,741,4040,1089,555,890,538,393,246,154,175,114,0,114,15,0,5,10,10,29,0,45,199,64,135,43,14,17,22,14,4,12,9
"Aiken County, South Carolina","45003",132609,19574,113035,24000,13085,20288,14807,14529,9522,4324,12480,53279,8151,45128,10747,5277,9019,6189,5610,3303,1447,3536,72149,10121,62028,12152,6987,10198,7832,8186,5754,2708,8211,1509,138,1371,370,186,101,174,107,138,91,204,5672,1164,4508,731,635,970,612,626,327,78,529
"Allendale County, South Carolina","45005",8277,2636,5641,1437,1280,1301,676,420,281,163,83,6681,2213,4468,1213,1087,958,571,286,207,89,57,1402,389,1013,214,182,280,47,117,74,74,25,36,3,33,1,0,11,21,0,0,0,0,158,31,127,9,11,52,37,17,0,0,1
"Anderson County, South Carolina","45007",152696,20960,131736,27751,17444,24902,19074,17871,10994,4384,9316,99997,14655,85342,18843,11883,16573,12332,11550,6776,2652,4733,47085,5392,41693,8097,5042,7313,5864,5743,3773,1627,4234,1415,72,1343,338,120,190,339,120,123,51,62,4199,841,3358,473,399,826,539,458,322,54,287
"Bamberg County, South Carolina","45009",12958,2802,10156,2882,1337,1750,1472,1237,641,306,531,10048,1865,8183,2153,1170,1344,1200,1048,545,279,444,2619,937,1682,673,134,312,242,169,68,18,66,38,0,38,18,0,0,0,20,0,0,0,253,0,253,38,33,94,30,0,28,9,21
"Barnwell County, South Carolina","45011",17602,3486,14116,3504,1956,2570,1931,1832,1045,343,935,13437,2730,10707,2802,1538,1985,1476,1400,745,251,510,3736,674,3062,647,418,538,432,368,272,92,295,136,0,136,0,0,4,0,24,9,0,99,293,82,211,55,0,43,23,40,19,0,31
"Beaufort County, South Carolina","45013",139138,14893,124245,21420,13991,21283,17486,16123,11575,4641,17726,29048,4492,24556,6395,3690,4140,3559,2768,1741,769,1494,92261,7991,84270,12548,7883,13292,11587,11716,8828,3596,14820,2218,267,1951,421,252,257,265,253,165,102,236,15611,2143,13468,2056,2166,3594,2075,1386,841,174,1176
"Berkeley County, South Carolina","45015",149578,21052,128526,25612,13079,22839,18383,19166,12929,4821,11697,69371,11179,58192,13598,6879,10310,8066,8240,5689,1699,3711,68072,7561,60511,10187,5367,10042,9083,9536,6470,2700,7126,2328,424,1904,250,176,427,247,270,187,91,256,9807,1888,7919,1577,657,2060,987,1120,583,331,604
"Calhoun County, South Carolina","45017",12466,1719,10747,2289,1350,2100,1546,1529,879,236,818,9199,1373,7826,1817,935,1578,1145,1153,506,182,510,2846,288,2558,310,403,475,401,312,322,54,281,41,0,41,13,6,13,0,0,0,0,9,380,58,322,149,6,34,0,64,51,0,18
"Charleston County, South Carolina","45019",301903,34984,266919,55438,25425,43001,35867,37399,24263,9165,36361,140658,18067,122591,31417,14263,21664,17246,15230,9034,3197,10540,139075,13434,125641,21418,9126,16745,15936,19822,13786,5379,23429,4172,519,3653,552,408,538,426,648,339,154,588,17998,2964,15034,2051,1628,4054,2259,1699,1104,435,1804
