"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Abbeville County, South Carolina","45001",25100,1441,4120,2483,2235,3120,3475,1861,673,1197,2618,1877,19620,1413,3610,1835,1794,2192,2498,1452,495,842,1959,1530,5070,28,413,580,414,857,931,375,162,345,632,333,129,0,15,4,0,23,40,6,16,0,11,14,281,0,82,64,27,48,6,28,0,10,16,0
"Aiken County, South Carolina","45003",162991,9752,26872,14552,20073,19289,23236,11699,4259,6481,15688,11090,66866,4922,11518,6178,6823,7598,9380,5406,1612,2474,6118,4837,88313,4751,14729,7741,11606,10001,12428,5889,2500,3854,8807,6007,1793,34,285,212,303,354,409,44,45,0,90,17,6019,45,340,421,1341,1336,1019,360,102,153,673,229
"Allendale County, South Carolina","45005",10027,563,1558,958,1445,1270,1346,709,355,357,933,533,8258,551,1338,788,1099,970,1119,685,315,306,677,410,1575,12,191,141,303,256,183,21,40,50,255,123,36,0,0,12,0,0,21,3,0,0,0,0,158,0,29,17,43,44,23,0,0,1,1,0
"Anderson County, South Carolina","45007",189763,11603,33130,16179,21623,24342,27472,13076,4331,7403,17739,12865,132209,10710,27757,12041,14264,16117,16353,8285,2759,4564,10811,8548,51516,742,5023,3758,6006,6933,10035,4345,1469,2673,6452,4080,1485,30,40,116,248,455,206,214,7,57,56,56,4553,121,310,264,1105,837,878,232,96,109,420,181
"Bamberg County, South Carolina","45009",15649,851,2465,2319,1354,1662,2074,1152,468,637,1555,1112,12402,721,2112,1529,1056,1404,1474,977,409,552,1305,863,2956,130,353,790,192,215,559,162,59,69,232,195,38,0,0,0,18,0,20,0,0,0,0,0,253,0,0,0,88,43,21,13,0,16,18,54
"Barnwell County, South Carolina","45011",22287,1507,4167,2131,2257,2655,3161,1666,639,750,1992,1362,17298,1210,3409,1848,1734,2009,2255,1242,488,606,1385,1112,4560,297,758,283,445,474,888,392,151,125,497,250,136,0,0,0,0,111,0,25,0,0,0,0,293,0,0,0,78,61,18,7,0,19,110,0
"Beaufort County, South Carolina","45013",168453,10488,23918,16753,20459,17738,18669,9584,5025,7992,23239,14588,46921,7672,12714,3955,5347,3558,4518,2445,905,1120,2606,2081,102500,2653,9552,10789,11035,10232,11627,6355,3807,6195,18935,11320,2597,163,258,407,435,399,425,132,50,132,107,89,16435,0,1394,1602,3642,3549,2099,652,263,545,1591,1098
"Berkeley County, South Carolina","45015",188835,13404,33321,19865,27799,25138,26167,11910,4365,5884,13762,7220,98744,11142,23206,10693,11998,10870,10906,5431,2142,2630,6170,3556,76823,2021,9000,7886,12924,11694,12840,5689,2015,2759,6675,3320,2876,157,451,367,559,648,466,109,48,23,4,44,10392,84,664,919,2318,1926,1955,681,160,472,913,300
"Calhoun County, South Carolina","45017",15031,826,2324,1165,1467,1714,2362,1127,482,774,1731,1059,11591,780,2017,1044,1161,1126,1757,849,350,579,1094,834,3012,46,252,120,293,460,497,273,116,186,572,197,41,0,0,0,6,0,22,0,0,0,0,13,387,0,55,1,7,128,86,5,16,9,65,15
"Charleston County, South Carolina","45019",365674,23153,51697,40405,60943,44907,48470,23829,9520,12857,29375,20518,192267,20479,38824,20986,24959,17862,21924,11586,4561,5932,14329,10825,149988,2507,11384,17240,29574,22026,23180,10986,4467,6215,13517,8892,4616,89,417,743,827,910,989,237,132,110,103,59,18803,78,1072,1436,5583,4109,2377,1020,360,600,1426,742
