"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Alabama","01",4777326,305091,825138,480673,607797,619112,686672,310336,121748,157454,374441,288864,3354931,269525,658356,330614,393193,386639,443266,208637,84340,108348,261357,210656,1219114,32960,146813,123631,161718,189298,214493,92347,34456,45455,104773,73170,36547,813,4740,5146,6649,7478,7310,2254,579,460,813,305,166734,1793,15229,21282,46237,35697,21603,7098,2373,3191,7498,4733
"Alaska","02",711139,53591,133035,76970,102535,93563,109280,51177,16057,19159,35849,19923,282015,44352,89848,39662,38615,23056,22404,9363,2581,2912,6003,3219,364640,8354,36730,30475,53711,57732,74443,36665,12193,14115,25912,14310,15143,669,2746,2449,2457,2520,2457,1098,233,215,181,118,49341,216,3711,4384,7752,10255,9976,4051,1050,1917,3753,2276
"Arizona","04",6410979,455375,1169276,636373,863824,826384,836953,377080,149194,202010,505280,389230,2409076,400742,819765,314088,296540,205798,175186,62537,22561,25296,50415,36148,3057297,46405,278143,234316,377204,411755,500761,255055,105242,149553,388349,310514,75787,2450,10922,8861,13008,13051,13456,4941,1325,1571,3521,2681,868819,5778,60446,79108,177072,195780,147550,54547,20066,25590,62995,39887
"Arkansas","05",2916372,196735,512649,285949,375531,368742,402090,184964,71144,96385,236461,185722,1784576,167635,378899,173766,211803,195488,211159,101620,41369,54685,135621,112531,984228,27040,119333,93329,126928,140524,168758,76731,28119,38935,95061,69470,18419,491,3043,2272,2924,3525,3908,1202,208,228,395,223,129149,1569,11374,16582,33876,29205,18265,5411,1448,2537,5384,3498
"California","06",37325068,2543777,6739029,3924945,5343359,5199915,5224402,2209203,799614,1040318,2312897,1987609,20072113,2388449,5794284,2776258,2648785,1983597,2004137,789177,273654,342125,610713,460934,6702288,92354,376506,353571,761975,837729,1172330,640259,259786,355213,918546,934019,445928,19302,63581,48707,65394,76691,79465,29854,9541,12341,21835,19217,10104739,43672,504658,746409,1867205,2301898,1968470,749913,256633,330639,761803,573439
"Colorado","08",5042853,340829,879450,493705,730849,703443,735982,329302,118989,151961,316420,241923,2129786,294501,614840,241362,262693,199396,211017,88033,30717,38199,81907,67121,2352735,39606,214344,193755,345606,375905,431626,211083,77953,101059,206943,154855,70378,2266,10357,8571,12398,12985,14225,4309,1251,1191,1626,1199,489954,4456,39909,50017,110152,115157,79114,25877,9068,11512,25944,18748
"Connecticut","09",3572213,200031,612181,328661,421617,485127,570253,238882,87141,118498,258464,251358,1974550,172643,459571,198132,208102,225097,274392,111864,39238,52955,112370,120186,989427,21679,105746,80575,102560,138482,185860,84748,31961,45116,98226,94474,126356,2280,15254,10956,19900,20625,22887,9023,3783,5235,9822,6591,481880,3429,31610,38998,91055,100923,87114,33247,12159,15192,38046,30107
"Delaware","10",900131,56062,149539,91199,112300,116073,132405,58161,22273,31242,73768,57109,409387,46590,101969,43733,46966,43990,50889,22116,7125,9647,19852,16510,401033,8415,40200,37789,45270,53311,67706,31438,13416,19038,48032,36418,14806,323,2049,1869,2677,2058,2737,913,380,435,779,586,74905,734,5321,7808,17387,16714,11073,3694,1352,2122,5105,3595
"District of Columbia","11",605759,34718,69268,84341,125674,82259,75612,34064,13316,17462,37180,31865,229202,27650,52579,26230,29592,25287,29865,13066,4395,5117,9461,5960,285041,5958,12560,48312,71681,37405,31932,15696,7023,9927,22655,21892,9468,138,713,1316,2563,2034,1477,527,165,248,141,146,82048,972,3416,8483,21838,17533,12338,4775,1733,2170,4923,3867
"Florida","12",18885152,1076198,2926175,1755155,2307813,2443968,2726991,1214306,475566,661416,1747634,1549930,6610833,961813,2054970,920763,814856,602092,576008,213821,71463,86265,177217,131565,8032748,88124,590078,503902,825238,1031517,1363857,692698,289454,415991,1148428,1083461,597239,10648,79067,56641,92214,99752,97436,38307,14646,21352,49799,37377,3644332,15613,202060,273849,575505,710607,689690,269480,100003,137808,372190,297527
