"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"New Hampshire","33",907338,77643,265671,260654,191995,111375,298855,34100,111541,86361,47512,19341,540036,31341,139230,158784,130470,80211,10268,1379,2262,3319,2261,1047,58179,10823,12638,12190,11752,10776
"New Jersey","34",5969516,723029,1741272,1393117,1314380,797718,2503051,210105,855490,653965,530562,252929,1707740,125040,433754,422673,427848,298425,174628,57855,54011,34405,18055,10302,1584097,330029,398017,282074,337915,236062
"New Mexico","35",1333926,221143,351718,419187,195148,146730,555740,91575,183467,184598,61660,34440,597730,47041,132648,203712,116579,97750,15535,1647,2972,5201,3586,2129,164921,80880,32631,25676,13323,12411
"New York","36",13101982,1981850,3578443,3245783,2442722,1853184,7259153,674441,2186387,2088780,1311525,998020,1762635,160262,350797,389335,464630,397611,382086,142871,100833,73252,37527,27603,3698108,1004276,940426,694416,629040,429950
"North Carolina","37",6324119,979717,1722998,1924759,1126665,569980,3279536,582242,1058618,1011920,454034,172722,2412302,189076,535608,789051,574202,324365,65349,5799,13197,23983,14295,8075,566932,202600,115575,99805,84134,64818
"North Dakota","38",442789,42106,120581,160302,86925,32875,298479,31208,85643,108330,56189,17109,129708,8568,31784,48619,27938,12799,2820,124,798,911,585,402,11782,2206,2356,2442,2213,2565
"Ohio","39",7715893,910330,2694883,2202241,1207216,701223,5411797,576473,2048836,1608070,790757,387661,1877632,251801,552012,506813,334620,232386,57791,11567,15655,16136,8857,5576,368673,70489,78380,71222,72982,75600
"Oklahoma","40",2438321,336888,773447,761486,379676,186824,1319076,166057,450281,413183,201059,88496,936869,105184,280307,314876,154577,81925,23190,1973,6079,8448,4648,2042,159186,63674,36780,24979,19392,14361
"Oregon","41",2612044,283302,647185,917646,483035,280876,900652,70979,263642,350288,153571,62172,1380039,108140,317118,496122,278769,179890,27814,1845,5050,9088,7359,4472,303539,102338,61375,62148,43336,34342
"Pennsylvania","42",8658872,1013820,3222376,2080799,1439079,902798,6185888,679327,2567021,1495207,940751,503582,1720524,150016,469416,447568,374352,279172,146201,49927,43899,29168,13912,9295,606259,134550,142040,108856,110064,110749
"Rhode Island","44",709683,108156,195007,188195,131880,86445,378587,47360,120649,110741,64637,35200,202610,15139,42820,51580,52145,40926,14603,5037,3587,3601,1464,914,113883,40620,27951,22273,13634,9405
"South Carolina","45",3075655,490863,932051,897454,486253,269034,1633224,326931,563987,448986,196687,96633,1233063,106822,317897,401825,258176,148343,31912,3083,7479,11068,6935,3347,177456,54027,42688,35575,24455,20711
"South Dakota","46",531773,52522,169564,171164,97147,41376,323579,33069,112624,102781,55853,19252,189097,13917,52537,64497,38812,19334,3129,342,746,1103,520,418,15968,5194,3657,2783,1962,2372
"Tennessee","47",4250890,685390,1401231,1165595,644834,353840,2335703,430843,874478,607621,283819,138942,1659304,184909,463402,508269,320575,182149,32689,2543,8549,11311,6521,3765,223194,67095,54802,38394,33919,28984
"Texas","48",15765048,3031189,3986617,4607434,2761112,1378696,7863131,1154278,2332731,2569605,1282905,523612,4310743,334721,961346,1445327,1014547,554802,210267,25224,39356,72159,48762,24766,3380907,1516966,653184,520343,414898,275516
"Utah","49",1578143,147760,376840,582358,317521,153664,820609,53568,218117,327227,155799,65898,561683,32912,112892,210682,134089,71108,17313,1185,3719,6129,4065,2215,178538,60095,42112,38320,23568,14443
"Vermont","50",431581,37748,134734,111475,89459,58165,197293,23644,84815,52370,27036,9428,209564,10728,44153,53314,57051,44318,4346,300,1117,1092,960,877,20378,3076,4649,4699,4412,3542
"Virginia","51",5356571,699056,1352347,1447591,1085567,772010,2206002,397821,742689,612423,308502,144567,2318085,143714,452264,657286,588010,476811,88032,5894,14619,25537,25496,16486,744452,151627,142775,152345,163559,134146
"Washington","53",4507469,451404,1063518,1569438,910457,512652,1632354,120360,457524,630817,299204,124449,2082433,134829,448255,748613,462895,287841,75756,5094,16217,27804,17618,9023,716926,191121,141522,162204,130740,91339
"West Virginia","54",1292274,214586,528874,317396,142236,89182,902715,165385,392069,209981,86612,48668,364680,45708,131572,101805,51162,34433,5168,341,1613,1834,791,589,19711,3152,3620,3776,3671,5492
"Wisconsin","55",3800291,374135,1258948,1163995,663920,339293,2576998,214929,948278,811630,427073,175088,987011,88406,257027,305834,203478,132266,27551,5817,6907,8298,3954,2575,208731,64983,46736,38233,29415,29364
"Wyoming","56",371096,29387,113353,138325,60011,30020,122574,8621,39795,48371,18204,7583,231349,16597,68305,85961,39552,20934,2821,136,769,1130,530,256,14352,4033,4484,2863,1725,1247
