"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Atlantic County, New Jersey","34001",224232,27234,196998,38854,20486,34030,25793,25648,18558,7316,26313,114030,14909,99121,22291,9410,15131,12682,12818,10269,3688,12832,59930,4667,55263,7795,5578,9166,7085,7649,5598,2600,9792,6969,897,6072,1619,839,1112,936,650,352,100,464,43303,6761,36542,7149,4659,8621,5090,4531,2339,928,3225
"Bergen County, New Jersey","34003",765523,117703,647820,96375,49826,79239,64758,76688,72253,32118,176563,283626,46443,237183,43387,18460,27357,23400,28800,27447,12004,56328,196210,22312,173898,20427,10809,18863,15842,18709,18876,8987,61385,12292,1750,10542,1913,907,1339,1070,1142,1229,458,2484,273395,47198,226197,30648,19650,31680,24446,28037,24701,10669,56366
"Burlington County, New Jersey","34005",370728,44897,325831,51073,23924,42597,36818,43972,38844,18545,70058,174475,24409,150066,27868,11293,19090,17340,20315,18538,8436,27186,147796,13266,134530,16857,9439,17878,14460,17959,16107,7962,33868,8450,1146,7304,1113,712,1059,812,1004,944,498,1162,40007,6076,33931,5235,2480,4570,4206,4694,3255,1649,7842
"Camden County, New Jersey","34007",412888,51275,361613,66317,34400,56098,42167,47447,38459,17879,58846,198071,28099,169972,36362,15774,26440,19604,22235,18750,7850,22957,145959,12889,133070,18519,11719,18672,14723,18382,15391,7532,28132,14810,1812,12998,4032,1911,1924,1467,1121,952,482,1109,54048,8475,45573,7404,4996,9062,6373,5709,3366,2015,6648
"Cape May County, New Jersey","34009",81488,6350,75138,14326,7150,11918,9860,10007,7907,3035,10935,36082,3230,32852,6922,3082,4812,4369,4292,3645,1288,4442,39408,2342,37066,5941,3598,5892,4834,5162,3957,1634,6048,1377,97,1280,502,200,191,84,120,32,26,125,4621,681,3940,961,270,1023,573,433,273,87,320
"Cumberland County, New Jersey","34011",124677,16757,107920,26889,12232,19670,13530,13567,8917,3595,9520,76082,10741,65341,16116,6861,10239,7894,8875,6361,2450,6545,23787,2488,21299,4794,2414,4095,3045,2544,1609,707,2091,8743,988,7755,2821,1024,1482,705,850,444,234,195,16065,2540,13525,3158,1933,3854,1886,1298,503,204,689
"Essex County, New Jersey","34013",633404,109165,524239,101883,52636,82515,61232,62954,49529,21887,91603,285440,59449,225991,51163,20509,32375,24703,28211,23027,10175,35828,132830,16732,116098,18620,10895,15051,11694,11822,10714,4939,32363,23245,3253,19992,5618,3040,3368,2258,2181,1292,520,1715,191889,29731,162158,26482,18192,31721,22577,20740,14496,6253,21697
"Gloucester County, New Jersey","34015",236817,26601,210216,36721,17938,27479,22209,27030,24456,12077,42306,124020,15830,108190,22029,9880,14030,11455,13922,12402,6400,18072,94651,8301,86350,11862,6663,10860,9018,11362,10728,4866,20991,2984,268,2716,444,316,409,390,381,261,98,417,15162,2202,12960,2386,1079,2180,1346,1365,1065,713,2826
"Hudson County, New Jersey","34017",551246,93713,457533,76892,44299,71205,50698,54632,47107,22071,90629,160881,31142,129739,23852,11387,18677,13345,16248,15804,6839,23587,93774,10577,83197,10213,5140,8716,7628,10150,10436,5035,25879,22753,2839,19914,4833,3212,2923,2481,2004,1719,714,2028,273838,49155,224683,37994,24560,40889,27244,26230,19148,9483,39135
"Hunterdon County, New Jersey","34019",105255,13149,92106,13832,5511,9709,8587,10080,9297,5283,29807,60691,8571,52120,8819,3233,5523,4819,5555,5570,3373,15228,32143,2974,29169,3262,1496,2887,2720,3188,2864,1520,11232,1510,128,1382,415,58,122,104,123,116,31,413,10911,1476,9435,1336,724,1177,944,1214,747,359,2934
"Mercer County, New Jersey","34021",304819,40585,264234,52558,20760,37132,28115,29958,26352,12646,56713,140482,18804,121678,27344,9340,15650,13352,14976,14023,6405,20588,78091,7569,70522,12770,4908,7908,6381,7283,6769,3585,20918,8478,1101,7377,2066,892,970,979,873,709,331,557,77768,13111,64657,10378,5620,12604,7403,6826,4851,2325,14650
"Middlesex County, New Jersey","34023",679740,124825,554915,84335,44590,75115,62733,69425,61699,29039,127979,272722,58614,214108,37623,17217,26706,24539,28816,27647,11980,39580,136488,15231,121257,15829,8695,16072,13314,16044,13672,6689,30942,16372,2319,14053,2769,1584,2237,1805,2120,1173,470,1895,254158,48661,205497,28114,17094,30100,23075,22445,19207,9900,55562
"Monmouth County, New Jersey","34025",515009,65282,449727,72353,34537,58385,45546,49844,48843,21662,118557,261826,35239,226587,42788,17750,27541,22533,25286,25676,11900,53113,164324,17054,147270,18839,10023,17546,13436,16221,16328,7053,47824,6946,804,6142,1049,580,1058,665,608,716,339,1127,81913,12185,69728,9677,6184,12240,8912,7729,6123,2370,16493
