"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Atlantic County, New Jersey","34001",187290,26797,62075,49932,33037,15449,85623,8538,31304,25036,14606,6139,55743,5191,18167,15116,11018,6251,6285,1727,2108,1559,674,217,39639,11341,10496,8221,6739,2842
"Bergen County, New Jersey","34003",653207,52189,156597,133706,194268,116447,213481,10907,60326,50213,59766,32269,174108,5665,34686,36272,56231,41254,10776,2129,2592,2331,2116,1608,254842,33488,58993,44890,76155,41316
"Burlington County, New Jersey","34005",312858,22247,91180,85665,74124,39642,134594,8845,44436,37226,31066,13021,133773,7004,35842,38564,32887,19476,7352,891,2286,2076,1443,656,37139,5507,8616,7799,8728,6489
"Camden County, New Jersey","34007",347104,40771,108016,91950,68238,38129,151947,14167,53349,44157,28189,12085,132451,10557,38155,35524,29006,19209,13770,4856,4301,2951,1063,599,48936,11191,12211,9318,9980,6236
"Cape May County, New Jersey","34009",70266,6976,23780,18077,14237,7196,28657,2534,10431,7289,5857,2546,36453,3259,11683,9613,7667,4231,1120,249,401,254,162,54,4036,934,1265,921,551,365
"Cumberland County, New Jersey","34011",104849,23764,41258,24864,10614,4349,61538,9844,26550,16140,6763,2241,21622,3780,8585,5539,2351,1367,7727,3442,2572,1331,339,43,13962,6698,3551,1854,1161,698
"Essex County, New Jersey","34013",526945,80669,150208,120445,105847,69776,214009,20940,70404,55470,43752,23443,117447,11838,25506,24818,29036,26249,20621,7712,6162,3858,2050,839,174868,40179,48136,36299,31009,19245
"Gloucester County, New Jersey","34015",197574,15827,67858,54740,40076,19073,95936,6645,35585,27316,19150,7240,85029,6049,27959,23568,17537,9916,2809,548,934,767,330,230,13800,2585,3380,3089,3059,1687
"Hudson County, New Jersey","34017",470945,78197,123253,87935,113760,67800,119198,10550,38127,26163,30899,13459,81965,5408,14192,16531,28948,16886,20622,7236,6682,3370,1954,1380,249160,55003,64252,41871,51959,36075
"Hunterdon County, New Jersey","34019",88335,4695,19811,20003,25921,17905,47626,2069,12602,11620,13866,7469,29350,952,4953,6329,9418,7698,1343,206,327,333,277,200,10016,1468,1929,1721,2360,2538
"Mercer County, New Jersey","34021",247879,30548,62510,54584,51947,48290,106149,8940,33898,30254,21059,11998,66115,4629,12192,13091,17089,19114,7016,1779,2553,1529,644,511,68599,15200,13867,9710,13155,16667
"Middlesex County, New Jersey","34023",566559,62513,147820,121283,140178,94765,196000,12303,69443,52398,42390,19466,120322,6379,31508,31388,29900,21147,14462,3878,4661,2828,1877,1218,235775,39953,42208,34669,66011,52934
"Monmouth County, New Jersey","34025",434984,31831,109162,105706,113820,74465,204301,10315,56903,53576,54553,28954,149200,6436,33275,36292,42022,31175,6172,1108,1593,1673,1094,704,75311,13972,17391,14165,16151,13632
"Morris County, New Jersey","34027",346314,20900,75112,70641,105914,73747,164270,5881,41612,37648,51578,27551,91530,2293,13834,17214,31790,26399,6096,962,1551,1605,1146,832,84418,11764,18115,14174,21400,18965
"Ocean County, New Jersey","34029",404208,36753,142483,113888,74063,37021,237473,16816,89031,68557,44266,18803,118369,8245,39584,34199,21966,14375,6910,1291,2252,1826,1018,523,41456,10401,11616,9306,6813,3320
"Passaic County, New Jersey","34031",332386,58216,113611,71777,58809,29973,136980,12945,49914,33157,28300,12664,50828,4472,13862,12185,12173,8136,18083,7350,5514,3257,1456,506,126495,33449,44321,23178,16880,8667
"Salem County, New Jersey","34033",44731,6013,17215,12437,6265,2801,27060,3261,11529,7430,3462,1378,14198,1455,4681,4411,2388,1263,758,212,188,216,137,5,2715,1085,817,380,278,155
"Somerset County, New Jersey","34035",228768,13572,48389,45639,66798,54370,94310,3276,24224,23190,27732,15888,60082,2225,10255,11382,19485,16735,3206,603,626,568,846,563,71170,7468,13284,10499,18735,21184
"Sussex County, New Jersey","34037",101456,6168,31665,29384,23609,10630,64457,3733,22285,18882,14020,5537,25821,1115,6205,7568,7226,3707,1038,135,354,339,146,64,10140,1185,2821,2595,2217,1322
"Union County, New Jersey","34039",371007,52756,109393,84964,75296,48598,145627,8547,46892,37410,34733,18045,71495,4291,14908,15568,19855,16873,10643,2541,3689,2339,1340,734,143242,37377,43904,29647,19368,12946
"Warren County, New Jersey","34041",74882,7211,24610,20267,15158,7636,43035,3658,15597,11858,8240,3682,21928,1406,6636,6054,4879,2953,933,65,245,355,205,63,8986,2082,2132,2000,1834,938
