"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Dorchester School District 4, South Carolina","4500002",14954,2747,1771,10436,11235,2308,1332,7595,3496,397,394,2705,55,5,0,50,168,37,45,86
"Marion School District 7, South Carolina","4500012",6446,1317,1001,4128,4983,833,877,3273,1012,413,50,549,18,0,0,18,433,71,74,288
"Abbeville County School District, South Carolina","4500690",23581,4753,3014,15814,18721,3929,2331,12461,4381,736,566,3079,112,11,0,101,367,77,117,173
"Aiken County School District, South Carolina","4500720",159000,29469,16457,113074,68978,15905,8275,44798,83237,12081,7533,63623,1485,179,46,1260,5300,1304,603,3393
"Allendale County School District, South Carolina","4500750",9280,3731,1181,4368,7702,3240,999,3463,1468,446,182,840,0,0,0,0,110,45,0,65
"Anderson School District 1, South Carolina","4500780",48252,4642,4173,39437,32816,3722,2972,26122,14057,868,943,12246,364,0,17,347,1015,52,241,722
"Anderson School District 2, South Carolina","4500810",22930,3252,3213,16465,17719,2480,2832,12407,4807,641,336,3830,114,52,10,52,290,79,35,176
"Anderson School District 3, South Carolina","4500840",15345,3596,1867,9882,11630,3027,1264,7339,3530,561,603,2366,94,0,0,94,91,8,0,83
"Anderson School District 4, South Carolina","4500870",21001,3013,2310,15678,13745,2237,1475,10033,6656,706,784,5166,141,11,8,122,459,59,43,357
"Anderson School District 5, South Carolina","4500900",75270,14337,8389,52544,50716,10487,6016,34213,20813,3122,1900,15791,777,193,73,511,2964,535,400,2029
"Bamberg School District 1, South Carolina","4500930",8187,2322,750,5115,6288,1555,556,4177,1731,713,169,849,19,0,0,19,149,54,25,70
"Bamberg School District 2, South Carolina","4500960",6892,2297,793,3802,5823,2007,644,3172,994,248,149,597,0,0,0,0,75,42,0,33
"Barnwell School District 19, South Carolina","4501020",5786,1751,605,3430,4700,1399,498,2803,878,194,107,577,4,4,0,0,204,154,0,50
"Barnwell School District 29, South Carolina","4501050",5211,1099,1026,3086,3930,746,705,2479,1281,353,321,607,0,0,0,0,0,0,0,0
"Barnwell School District 45, South Carolina","4501080",11291,3034,1165,7092,8283,2555,857,4871,2817,462,248,2107,129,12,60,57,62,5,0,57
"Beaufort County School District, South Carolina","4501110",150979,16156,13664,121159,43551,7782,5851,29918,89452,5256,5072,79124,1762,118,287,1357,16214,3000,2454,10760
"Berkeley County School District, South Carolina","4501170",170923,23731,16723,130469,90130,14739,9967,65424,67485,6661,4725,56099,2816,127,207,2482,10492,2204,1824,6464
"Calhoun County School District, South Carolina","4501250",15078,2618,2205,10255,11929,2170,1704,8055,2914,431,463,2020,11,0,8,3,224,17,30,177
"Charleston County School District, South Carolina","4501440",336269,56559,30646,249064,179834,37071,19360,123403,133780,15704,8251,109825,3658,539,207,2912,18997,3245,2828,12924
"Cherokee County School District, South Carolina","4501500",51942,10526,7241,34175,37506,8293,5144,24069,12752,1994,1616,9142,280,14,71,195,1404,225,410,769
"Chester County School District, South Carolina","4501530",32660,7978,4320,20362,25116,6778,3341,14997,7124,1098,967,5059,104,0,0,104,316,102,12,202
