"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Oconee County School District, South Carolina","4503060",51981,9118,17325,14441,6497,4600,28128,6804,10419,7319,2100,1486,21472,1660,6411,6523,4147,2731,247,22,63,118,28,16,2134,632,432,481,222,367
"Orangeburg School District 3, South Carolina","4503150",14211,4118,5578,3093,949,473,11068,3476,4249,2234,740,369,2896,565,1220,828,179,104,53,13,23,13,4,0,194,64,86,18,26,0
"Orangeburg School District 4, South Carolina","4503180",13684,2598,5887,3319,1298,582,10492,2074,4503,2540,898,477,2891,468,1237,692,389,105,42,10,17,15,0,0,259,46,130,72,11,0
"Orangeburg School District 5, South Carolina","4503210",31538,6148,10863,7545,3821,3161,24267,5051,8876,5577,2741,2022,6253,804,1839,1873,876,861,216,0,53,58,68,37,802,293,95,37,136,241
"Pickens County School District, South Carolina","4503330",72310,13104,22228,20249,9824,6905,41929,9463,14940,11202,4390,1934,26454,2962,6636,8417,4677,3762,391,29,108,75,144,35,3536,650,544,555,613,1174
"Richland School District 1, South Carolina","4503360",125825,18686,30921,34864,24912,16442,77332,13889,21643,21093,14187,6520,40500,3318,7935,12087,9174,7986,1861,89,436,608,436,292,6132,1390,907,1076,1115,1644
"Richland School District 2, South Carolina","4503390",78507,6429,14940,26941,18231,11966,33153,3052,7093,11347,7375,4286,35345,1385,5873,12942,9216,5929,1956,115,372,672,485,312,8053,1877,1602,1980,1155,1439
"Saluda County School District, South Carolina","4503460",9607,2234,3898,2216,905,354,7189,1406,3061,1855,679,188,1508,74,774,294,200,166,49,49,0,0,0,0,861,705,63,67,26,0
"Spartanburg School District 1, South Carolina","4503480",20724,4259,7054,5827,2504,1080,11797,2629,4466,3087,1064,551,7916,1083,2452,2503,1372,506,137,37,0,64,30,6,874,510,136,173,38,17
"Spartanburg School District 2, South Carolina","4503510",35659,6357,11789,10658,4729,2126,20460,4004,7016,6207,2397,836,11682,1351,3708,3694,1902,1027,191,0,28,53,53,57,3326,1002,1037,704,377,206
"Spartanburg School District 3, South Carolina","4503540",11469,2759,3915,3341,941,513,8358,2137,3030,2368,535,288,2888,511,825,947,401,204,24,0,14,0,0,10,199,111,46,26,5,11
"Spartanburg School District 4, South Carolina","4503570",12410,3347,4666,2933,909,555,8439,2424,3246,1934,542,293,3625,751,1354,910,358,252,47,0,8,39,0,0,299,172,58,50,9,10
"Spartanburg School District 5, South Carolina","4503600",27265,4292,8414,9001,3924,1634,15419,2842,5324,4755,1878,620,9678,892,2344,3813,1771,858,293,105,92,51,35,10,1875,453,654,382,240,146
"Spartanburg School District 6, South Carolina","4503630",37941,7252,10761,10926,5701,3301,20958,4280,6459,6106,2656,1457,12681,1182,3262,3982,2710,1545,276,77,28,70,67,34,4026,1713,1012,768,268,265
"Spartanburg School District 7, South Carolina","4503660",35949,7070,9393,10110,5364,4012,22899,5289,6896,6057,2827,1830,11025,1068,2325,3418,2272,1942,243,0,0,183,60,0,1782,713,172,452,205,240
"Sumter School District 17, South Carolina","4503690",32694,5490,10101,9673,4771,2659,19559,4233,6768,5203,2358,997,11097,908,2629,3958,2083,1519,538,54,142,220,43,79,1500,295,562,292,287,64
"Sumter School District 2, South Carolina","4503720",35233,7177,11624,11794,2930,1708,21723,5451,7724,6251,1567,730,11519,1344,3285,4943,1093,854,561,0,167,284,60,50,1430,382,448,316,210,74
"Union County School District, South Carolina","4503750",20067,4705,7312,5494,1709,847,16052,3986,5981,4329,1129,627,3741,695,1215,1108,513,210,87,0,10,24,53,0,187,24,106,33,14,10
"Williamsburg County School District, South Carolina","4503780",23447,5198,10353,5257,1547,1092,19474,4173,8835,4242,1414,810,3566,794,1380,999,119,274,58,36,19,3,0,0,349,195,119,13,14,8
"York School District 1, South Carolina","4503810",20804,4962,7516,5305,2034,987,10643,2987,3520,2568,1131,437,9106,1648,3740,2567,696,455,59,27,2,30,0,0,996,300,254,140,207,95
"York School District 2, South Carolina","4503840",22635,3114,6323,6778,4807,1613,5336,1161,1649,1409,860,257,16212,1833,4474,5062,3552,1291,337,10,96,36,167,28,750,110,104,271,228,37
"York School District 3, South Carolina","4503870",69930,9762,21055,21328,11489,6296,35921,6412,12066,10365,4691,2387,29864,2497,7954,9917,6108,3388,570,13,115,230,155,57,3575,840,920,816,535,464
"York School District 4, South Carolina","4503900",31340,2375,6129,9313,9580,3943,5545,947,1148,1447,1440,563,22622,908,4400,6952,7541,2821,516,0,25,182,202,107,2657,520,556,732,397,452
"School District Not Defined, South Carolina","4599997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Remainder of South Carolina, South Carolina","4599999",4295,116,657,2368,761,393,534,69,56,166,146,97,2916,14,442,1757,476,227,251,11,41,169,30,0,594,22,118,276,109,69
