"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Dorchester School District 4, South Carolina","4500002",16544,795,2601,1325,1997,2011,3116,962,443,685,1749,860,12405,704,1980,1189,1592,1311,2056,711,359,563,1214,726,3916,91,606,136,355,656,976,240,84,122,528,122,55,0,0,0,0,0,44,11,0,0,0,0,168,0,15,0,50,44,40,0,0,0,7,12
"Marion School District 7, South Carolina","4500012",6555,335,1134,655,861,676,936,504,170,245,593,446,5092,312,804,399,639,488,679,435,143,245,525,423,1012,23,330,24,80,176,210,69,9,0,68,23,18,0,0,0,0,0,0,0,18,0,0,0,433,0,0,232,142,12,47,0,0,0,0,0
"Abbeville County School District, South Carolina","4500690",24398,1496,4215,2243,2344,3063,3442,1900,666,971,2270,1788,19293,1483,3859,1742,1789,2119,2481,1381,466,770,1810,1393,4620,13,313,461,474,848,904,435,195,172,419,386,112,0,0,0,14,27,55,0,5,0,11,0,373,0,43,40,67,69,2,84,0,29,30,9
"Aiken County School District, South Carolina","4500720",161590,9878,27243,14376,19510,20133,24635,11640,4007,5632,13788,10748,70456,5144,12174,5825,8134,8529,10974,5192,1631,2436,5343,5074,84260,4691,14339,7954,9945,10264,12437,6096,2268,2996,7908,5362,1530,23,276,132,272,236,350,70,0,64,46,61,5344,20,454,465,1159,1104,874,282,108,136,491,251
"Allendale County School District, South Carolina","4500750",10548,612,1763,964,1466,1408,1540,663,425,322,784,601,8610,561,1496,852,1011,1086,1237,605,367,285,610,500,1809,51,267,111,351,318,283,58,58,37,174,101,18,0,0,1,13,4,0,0,0,0,0,0,111,0,0,0,91,0,20,0,0,0,0,0
"Anderson School District 1, South Carolina","4500780",48502,3175,9409,3830,5384,7252,7291,3215,1325,1629,3844,2148,33063,3027,7467,2972,3644,4427,3994,2165,910,856,2239,1362,14060,148,1848,596,1542,2591,3001,970,364,668,1564,768,364,0,25,99,27,36,131,31,0,15,0,0,1015,0,69,163,171,198,165,49,51,90,41,18
"Anderson School District 2, South Carolina","4500810",23314,1362,4097,1649,2521,2954,3260,1834,916,1023,2092,1606,17964,1181,3608,1430,1779,2042,2206,1395,693,845,1579,1206,4937,108,468,207,711,833,967,418,223,178,445,379,116,0,0,12,17,22,52,13,0,0,0,0,297,73,21,0,14,57,35,8,0,0,68,21
"Anderson School District 3, South Carolina","4500840",15439,1293,2658,1301,1648,1979,2056,1171,360,766,1374,833,11708,1246,2265,993,1281,1395,1232,863,244,582,908,699,3546,47,393,308,318,542,771,287,116,164,466,134,94,0,0,0,11,0,42,21,0,20,0,0,91,0,0,0,38,42,11,0,0,0,0,0
"Anderson School District 4, South Carolina","4500870",21016,1254,3347,1585,2152,3124,3078,1596,564,954,2065,1297,13759,1180,2634,1203,1497,1885,1690,937,320,499,1106,808,6657,74,693,382,600,1138,1291,564,244,431,815,425,141,0,11,0,38,14,11,59,0,0,8,0,459,0,9,0,17,87,86,36,0,24,136,64
"Anderson School District 5, South Carolina","4500900",77841,4896,13308,7217,9883,9868,11699,4400,1739,2352,6298,6181,52602,4487,10753,4671,5921,6125,7199,2739,1077,1381,4190,4059,21408,369,2246,2161,2936,2856,3833,1527,581,901,2004,1994,807,0,69,36,145,269,131,21,0,37,23,76,3024,40,240,349,881,618,536,113,81,33,81,52
