"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Georgetown County, South Carolina","45043",20699,17769,27233,26932,17802
"Greenville County, South Carolina","45045",25339,22592,30177,26629,20365
"Greenwood County, South Carolina","45047",21660,21027,23990,35563,17065
"Hampton County, South Carolina","45049",18165,18625,17766,8661,17173
"Horry County, South Carolina","45051",22751,19621,25623,25101,18866
"Jasper County, South Carolina","45053",20347,19332,20792,21473,20963
"Kershaw County, South Carolina","45055",24057,23162,27210,26806,19164
"Lancaster County, South Carolina","45057",22431,20059,26824,4869,24950
"Laurens County, South Carolina","45059",20355,20696,20004,44821,16891
"Lee County, South Carolina","45061",16266,16011,16615,9432,20163
"Lexington County, South Carolina","45063",28947,27805,31943,32426,20260
"McCormick County, South Carolina","45065",21031,17749,27095,21705,9494
"Marion County, South Carolina","45067",16896,15873,21961,2499,21597
"Marlboro County, South Carolina","45069",16260,15435,19768,11411,10164
"Newberry County, South Carolina","45071",23822,22764,26728,31893,24654
"Oconee County, South Carolina","45073",21770,19568,25492,20058,21852
"Orangeburg County, South Carolina","45075",18438,17866,20117,11908,22692
"Pickens County, South Carolina","45077",18901,18167,20090,20923,18515
"Richland County, South Carolina","45079",25108,23125,27982,24005,22057
"Saluda County, South Carolina","45081",19568,19662,20639,18520,17555
"Spartanburg County, South Carolina","45083",22386,20683,27025,22654,21382
"Sumter County, South Carolina","45085",21895,18630,29200,24036,21219
"Union County, South Carolina","45087",20113,19493,22334,15694,16563
"Williamsburg County, South Carolina","45089",14908,15146,13790,9189,13250
"York County, South Carolina","45091",27383,23538,31564,38657,22729
"Abbeville County, South Carolina","45001",19025,18702,19553,42273,21676
"Aiken County, South Carolina","45003",24845,21776,27458,33648,22252
"Anderson County, South Carolina","45007",22734,21529,25715,24088,21576
"Barnwell County, South Carolina","45011",20171,19662,22576,11324,10647
"Beaufort County, South Carolina","45013",28076,20195,32912,24744,21218
"Berkeley County, South Carolina","45015",25695,22852,29605,33285,18885
"Charleston County, South Carolina","45019",26504,21392,33196,33776,21550
"Cherokee County, South Carolina","45021",19575,18545,21940,25333,19432
"Chester County, South Carolina","45023",18917,17461,21877,43250,24722
"Chesterfield County, South Carolina","45025",20001,19540,20527,15156,21594
"Clarendon County, South Carolina","45027",16880,16716,17343,12188,19167
"Colleton County, South Carolina","45029",18326,17644,19216,20813,20947
"Darlington County, South Carolina","45031",21637,21541,22655,20435,20158
"Dillon County, South Carolina","45033",15764,15877,16648,32500,6871
"Dorchester County, South Carolina","45035",28408,24506,33150,28646,22831
"Edgefield County, South Carolina","45037",21642,20180,25181,47656,16225
"Fairfield County, South Carolina","45039",20434,19404,23319,42232,20909
"Florence County, South Carolina","45041",22060,20546,28322,30013,25729
