"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Georgetown County, South Carolina","45043",60280,3392,9765,4270,5747,6839,8767,4781,1916,3112,7136,4555,37878,3110,7772,2951,3725,3872,5480,2894,944,1507,3231,2392,20508,242,1704,1064,1813,2743,2905,1775,960,1391,3815,2096,319,0,82,30,0,37,85,65,0,0,0,20,1575,40,207,225,209,187,297,47,12,214,90,47
"Greenville County, South Carolina","45045",445586,30919,77373,41920,59959,63332,64060,28383,9731,13581,31808,24520,239190,26775,53400,20994,28101,27580,28399,13566,4525,6397,15572,13881,165921,3613,20436,15669,22612,26640,29154,12942,4463,6362,14117,9913,4904,165,580,621,920,1018,1143,124,78,45,161,49,35571,366,2957,4636,8326,8094,5364,1751,665,777,1958,677
"Greenwood County, South Carolina","45047",69243,4631,11874,7383,8364,8929,9416,4135,1990,2192,5431,4898,50928,4277,9808,5461,5939,6153,6249,3025,1453,1497,3869,3197,14925,301,1685,1435,1636,2102,2658,993,431,610,1433,1641,444,0,49,38,21,88,120,0,29,85,14,0,2946,53,332,449,768,586,389,117,77,0,115,60
"Hampton County, South Carolina","45049",21120,1396,3762,1873,2668,2908,3082,1317,482,802,1646,1184,15424,1246,3127,1279,1459,1879,2295,1028,397,557,1184,973,5095,141,614,505,1028,889,702,236,85,241,447,207,78,9,10,0,34,15,10,0,0,0,0,0,523,0,11,89,147,125,75,53,0,4,15,4
"Horry County, South Carolina","45051",265139,15127,38623,25243,33474,33849,36467,19284,7769,11003,27167,17133,105429,12749,23471,11178,12516,10793,12072,6308,2186,2694,6608,4854,140202,2063,13332,11517,15789,19470,22148,12250,5109,7818,19182,11524,2019,0,280,388,338,456,423,40,10,0,64,20,17489,315,1540,2160,4831,3130,1824,686,464,491,1313,735
"Jasper County, South Carolina","45053",24195,1915,4148,2731,3264,3370,3261,1367,735,643,1674,1087,14759,1578,2703,1628,1485,1594,2049,860,498,334,1166,864,6998,331,1194,745,906,1092,1159,472,148,246,482,223,93,0,0,0,9,13,0,0,65,6,0,0,2345,6,251,358,864,671,53,35,24,57,26,0
"Kershaw County, South Carolina","45055",61010,4118,10915,4856,6755,8161,9397,4435,1803,2009,4915,3646,41784,3876,9128,3318,4511,4661,5304,2974,1098,1498,3182,2234,16630,242,1468,1344,1824,2832,3613,1289,702,502,1522,1292,647,0,128,23,102,142,193,12,0,0,13,34,1949,0,191,171,318,526,287,160,3,9,198,86
"Lancaster County, South Carolina","45057",74500,5021,12465,5931,9028,10687,10323,4602,2170,2937,6830,4506,45470,3593,8315,3657,4600,6243,6461,2861,1138,1491,3985,3126,26249,1412,3992,1960,3621,3798,3641,1620,944,1327,2706,1228,404,0,39,27,119,40,31,48,6,0,16,78,2377,16,119,287,688,606,190,73,82,119,123,74
"Laurens County, South Carolina","45059",66859,4308,11253,6533,7427,8624,10063,4301,1745,2780,5439,4386,50565,3975,10027,4858,5225,6438,6929,2933,1058,1906,4167,3049,14136,333,1084,1506,1496,1927,2602,1210,630,805,1230,1313,292,0,17,24,63,96,68,17,7,0,0,0,1866,0,125,145,643,163,464,141,50,69,42,24
"Lee County, South Carolina","45061",19412,1123,3297,2041,2492,2365,3031,1460,441,576,1432,1154,16507,1107,3151,1626,1977,1855,2369,1378,355,493,1211,985,2576,16,132,288,488,450,575,82,86,83,207,169,60,0,14,0,3,26,17,0,0,0,0,0,269,0,0,127,24,34,70,0,0,0,14,0
