"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Georgetown County, South Carolina","45043",42853,6651,14466,12287,5894,3555,24045,4952,9320,6433,1841,1499,17498,1056,4952,5580,3926,1984,207,34,43,61,56,13,1103,609,151,213,71,59
"Greenville County, South Carolina","45045",295374,44174,80175,81556,59159,30310,138021,25940,45451,36824,20543,9263,126203,8885,28041,38577,33186,17514,3538,291,990,1087,871,299,27612,9058,5693,5068,4559,3234
"Greenwood County, South Carolina","45047",45355,8799,14863,11768,7052,2873,31382,6258,10834,8520,4354,1416,11504,1638,3413,2917,2311,1225,357,0,43,135,51,128,2112,903,573,196,336,104
"Hampton County, South Carolina","45049",14089,3290,5681,3524,1089,505,9772,2426,4115,2252,629,350,3835,619,1456,1206,415,139,59,21,18,14,6,0,423,224,92,52,39,16
"Horry County, South Carolina","45051",186146,23541,64048,57801,26507,14249,58031,10401,21385,16693,6529,3023,113290,9570,37544,37548,18480,10148,1351,146,337,450,266,152,13474,3424,4782,3110,1232,926
"Jasper County, South Carolina","45053",15401,3733,6132,3822,1314,400,8850,2127,3864,2034,617,208,4728,643,1798,1534,600,153,93,0,81,3,9,0,1730,963,389,251,88,39
"Kershaw County, South Carolina","45055",41121,6878,14490,12274,4706,2773,25462,4971,9451,7120,2515,1405,13576,1355,4395,4746,1962,1118,496,25,244,101,55,71,1587,527,400,307,174,179
"Lancaster County, South Carolina","45057",51083,9969,17836,14684,5685,2909,29905,7224,11576,7649,2289,1167,18885,2126,5683,6513,3044,1519,338,11,186,78,39,24,1955,608,391,444,313,199
"Laurens County, South Carolina","45059",44765,11010,15445,11658,4679,1973,31705,8167,11549,7946,2792,1251,11213,2070,3448,3380,1739,576,251,0,21,88,110,32,1596,773,427,244,38,114
"Lee County, South Carolina","45061",12951,4171,4876,2868,571,465,10623,3611,4079,2203,410,320,2140,469,783,622,161,105,46,0,14,6,0,26,142,91,0,37,0,14
"Lexington County, South Carolina","45063",172068,21003,49518,54578,30902,16067,92912,12540,30391,27735,15395,6851,66850,4880,16298,24064,13984,7624,2314,134,639,878,411,252,9992,3449,2190,1901,1112,1340
"McCormick County, South Carolina","45065",7952,1622,2396,2560,838,536,4451,1306,1413,1423,211,98,3315,290,921,1093,591,420,40,0,26,7,7,0,146,26,36,37,29,18
"Marion County, South Carolina","45067",22323,4421,9935,5135,2041,791,17377,3478,7807,3971,1512,609,4342,664,1924,1106,475,173,27,0,22,0,5,0,577,279,182,58,49,9
"Marlboro County, South Carolina","45069",20108,6428,8006,3913,1205,556,13832,4821,5737,2443,514,317,5739,1396,2050,1416,657,220,111,49,40,12,10,0,426,162,179,42,24,19
"Newberry County, South Carolina","45071",25147,6069,7850,6177,3303,1748,18215,4552,5775,4627,2216,1045,5231,790,1551,1276,1008,606,170,10,56,92,0,12,1531,717,468,182,79,85
"Oconee County, South Carolina","45073",51981,9118,17325,14441,6497,4600,28128,6804,10419,7319,2100,1486,21472,1660,6411,6523,4147,2731,247,22,63,118,28,16,2134,632,432,481,222,367
"Orangeburg County, South Carolina","45075",59433,12864,22328,13957,6068,4216,45827,10601,17628,10351,4379,2868,12040,1837,4296,3393,1444,1070,311,23,93,86,72,37,1255,403,311,127,173,241
"Pickens County, South Carolina","45077",72310,13104,22228,20249,9824,6905,41929,9463,14940,11202,4390,1934,26454,2962,6636,8417,4677,3762,391,29,108,75,144,35,3536,650,544,555,613,1174
"Richland County, South Carolina","45079",234892,26229,52105,71657,51606,33295,123103,17489,31949,35833,25215,12617,91403,5191,16446,30484,22601,16681,4524,215,914,1623,1133,639,15862,3334,2796,3717,2657,3358
"Saluda County, South Carolina","45081",13332,3035,5501,2997,1304,495,10020,1875,4447,2392,987,319,2158,183,971,537,291,176,49,49,0,0,0,0,1105,928,83,68,26,0
"Spartanburg County, South Carolina","45083",185564,36461,57496,53723,24383,13501,110598,24260,37687,30756,11935,5960,60465,6801,16385,19813,10979,6487,1313,219,187,523,267,117,13188,5181,3237,2631,1202,937
"Sumter County, South Carolina","45085",67927,12667,21725,21467,7701,4367,41282,9684,14492,11454,3925,1727,22616,2252,5914,8901,3176,2373,1099,54,309,504,103,129,2930,677,1010,608,497,138
"Union County, South Carolina","45087",20067,4705,7312,5494,1709,847,16052,3986,5981,4329,1129,627,3741,695,1215,1108,513,210,87,0,10,24,53,0,187,24,106,33,14,10
"Williamsburg County, South Carolina","45089",23447,5198,10353,5257,1547,1092,19474,4173,8835,4242,1414,810,3566,794,1380,999,119,274,58,36,19,3,0,0,349,195,119,13,14,8
"York County, South Carolina","45091",144709,20213,41023,42724,27910,12839,57445,11507,18383,15789,8122,3644,77804,6886,20568,24498,17897,7955,1482,50,238,478,524,192,7978,1770,1834,1959,1367,1048
"Abbeville County, South Carolina","45001",17118,3914,5836,4984,1573,811,12759,3099,4514,3574,1068,504,3957,766,1141,1330,466,254,112,8,28,40,36,0,290,41,153,40,3,53
"Aiken County, South Carolina","45003",107523,16813,34343,30918,16226,9223,45372,9601,17123,11771,4574,2303,56824,5652,16390,17790,10731,6261,1099,101,218,481,194,105,4228,1459,612,876,727,554
"Allendale County, South Carolina","45005",7209,2018,2719,1503,701,268,5701,1727,2214,1033,562,165,1380,233,442,465,139,101,17,13,0,4,0,0,111,45,63,1,0,2
"Anderson County, South Carolina","45007",125426,24183,41271,37218,14881,7873,79819,17501,27767,22990,7883,3678,40415,5299,12148,12950,6320,3698,1270,355,285,266,308,56,3922,1028,1071,1012,370,441
"Bamberg County, South Carolina","45009",10360,2248,2955,3296,1242,619,8151,1937,2240,2417,1046,511,1961,209,646,873,168,65,19,0,19,0,0,0,229,102,50,6,28,43
