"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Georgetown County, South Carolina","45043",59664,12452,6576,40636,37411,9630,4837,22944,20381,2009,1620,16752,319,60,28,231,1553,753,91,709
"Greenville County, South Carolina","45045",433712,63796,41746,328170,234374,39523,24074,170777,159847,16840,11745,131262,4724,565,270,3889,34767,6868,5657,22242
"Greenwood County, South Carolina","45047",66942,12735,7665,46542,49366,9816,5872,33678,14284,1968,1385,10931,436,77,3,356,2856,874,405,1577
"Hampton County, South Carolina","45049",19693,4442,2803,12448,15068,3473,2014,9581,4309,919,740,2650,35,0,0,35,281,50,49,182
"Horry County, South Carolina","45051",261710,43830,28950,188930,103607,22276,13646,67685,138788,17127,12164,109497,2010,271,209,1530,17305,4156,2931,10218
"Jasper County, South Carolina","45053",22864,4898,3133,14833,13792,3321,2100,8371,6696,1041,674,4981,79,0,0,79,2297,536,359,1402
"Kershaw County, South Carolina","45055",60476,9573,8266,42637,41350,7464,5882,28004,16537,1541,1890,13106,647,66,121,460,1942,502,373,1067
"Lancaster County, South Carolina","45057",73108,15224,7191,50693,44472,10817,5114,28541,25908,3904,1632,20372,375,13,136,226,2353,490,309,1554
"Laurens County, South Carolina","45059",64532,12293,7770,44469,49261,9601,6104,33556,13199,1917,1535,9747,258,11,13,234,1814,764,118,932
"Lee County, South Carolina","45061",17630,4739,2288,10603,15253,4291,1938,9024,2077,448,315,1314,31,0,0,31,269,0,35,234
"Lexington County, South Carolina","45063",255151,29678,21694,203779,154698,19455,14446,120797,84538,7660,5246,71632,2866,242,103,2521,13049,2321,1899,8829
"McCormick County, South Carolina","45065",8863,1289,859,6715,5329,1076,711,3542,3387,199,127,3061,37,4,11,22,110,10,10,90
"Marion County, South Carolina","45067",32890,7974,4624,20292,26240,6039,4143,16058,5766,1834,386,3546,69,30,21,18,815,71,74,670
"Marlboro County, South Carolina","45069",25495,7367,3612,14516,19083,6276,2792,10015,6247,1049,808,4390,39,18,0,21,126,24,12,90
"Newberry County, South Carolina","45071",36316,5973,3863,26480,27726,4754,2763,20209,6361,755,430,5176,175,10,5,160,2054,454,665,935
"Oconee County, South Carolina","45073",72834,13198,6838,52798,43858,8837,4436,30585,26113,3811,2103,20199,344,50,18,276,2519,500,281,1738
"Orangeburg County, South Carolina","45075",88546,21710,11836,55000,70818,17718,9328,43772,15637,3470,2252,9915,399,90,31,278,1692,432,225,1035
"Pickens County, South Carolina","45077",110248,20089,11622,78537,69977,12812,7732,49433,34785,5725,3043,26017,880,267,171,442,4606,1285,676,2645
"Richland County, South Carolina","45079",349445,55417,31129,262899,204498,36883,19320,148295,118990,14410,9035,95545,6520,746,408,5366,19437,3378,2366,13693
"Saluda County, South Carolina","45081",19469,3251,2633,13585,14996,2375,1839,10782,2779,393,299,2087,58,9,0,49,1636,474,495,667
"Spartanburg County, South Carolina","45083",274255,44324,28378,201553,179025,30579,19390,129056,77032,9956,6749,60327,1679,199,145,1335,16519,3590,2094,10835
"Sumter County, South Carolina","45085",103840,18989,14423,70428,68160,14534,10180,43446,30300,3790,3898,22612,1802,101,88,1613,3578,564,257,2757
