"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Georgetown County, South Carolina","45043",49544,7169,42375,10797,5171,8215,5039,4994,3181,1273,3705,28847,4819,24028,7030,3327,5131,2710,2414,1422,551,1443,19077,1954,17123,3479,1646,2756,2210,2502,1759,652,2119,249,55,194,60,0,20,56,17,0,13,28,1371,341,1030,228,198,308,63,61,0,57,115
"Greenville County, South Carolina","45045",355456,46997,308459,65766,33845,52878,41956,42353,26106,10573,34982,170581,23570,147011,34492,18088,25768,21572,20080,11219,4595,11197,147488,16330,131158,25211,11631,19866,16448,19123,13164,5111,20604,4302,328,3974,912,236,725,406,709,398,95,493,33085,6769,26316,5151,3890,6519,3530,2441,1325,772,2688
"Greenwood County, South Carolina","45047",55594,7498,48096,11236,6345,8928,7175,6478,3712,1135,3087,39023,5364,33659,7934,4740,6235,5069,4492,2624,785,1780,13543,1509,12034,2722,1360,2122,1623,1739,957,312,1199,395,23,372,50,18,40,69,152,15,18,10,2633,602,2031,530,227,531,414,95,116,20,98
"Hampton County, South Carolina","45049",16987,3083,13904,3913,1969,2499,2007,1842,934,282,458,11909,2099,9810,2807,1329,1718,1500,1235,760,204,257,4502,798,3704,1003,577,683,443,589,143,78,188,64,25,39,27,0,0,0,6,6,0,0,512,161,351,76,63,98,64,12,25,0,13
"Horry County, South Carolina","45051",220497,22301,198196,41244,24789,40353,29186,28550,14796,5415,13863,73900,9134,64766,16639,8785,13246,9386,7520,4156,1452,3582,128695,10361,118334,21316,13750,22872,17844,19390,9782,3768,9612,1852,305,1547,268,181,323,185,430,96,37,27,16050,2501,13549,3021,2073,3912,1771,1210,762,158,642
"Jasper County, South Carolina","45053",19111,3452,15659,3826,2454,3147,2015,2378,852,248,739,11157,2276,8881,2225,1485,1674,1032,1449,597,114,305,5698,753,4945,1068,839,962,594,789,176,118,399,93,11,82,3,5,56,3,6,0,0,9,2163,412,1751,530,125,455,386,134,79,16,26
"Kershaw County, South Carolina","45055",48606,6682,41924,8612,4816,8185,6334,6146,3895,1219,2717,30916,4827,26089,5904,3141,4890,4182,3577,2331,669,1395,15354,1407,13947,2343,1497,2725,1971,2293,1398,513,1207,529,16,513,66,46,125,27,116,87,13,33,1807,432,1375,299,132,445,154,160,79,24,82
"Lancaster County, South Carolina","45057",59921,10397,49524,10738,6812,9311,7173,6801,4182,1611,2896,35590,6785,28805,6743,4680,5519,4106,3602,2557,584,1014,21708,3074,18634,3525,1851,3409,2692,2958,1502,924,1773,367,118,249,141,35,38,19,8,8,0,0,2256,420,1836,329,246,345,356,233,115,103,109
"Laurens County, South Carolina","45059",54144,6658,47486,12164,6013,9628,6895,6213,3374,1096,2103,38965,4922,34043,8749,4226,6917,5337,4619,2121,680,1394,13094,1428,11666,3002,1676,2092,1356,1425,1033,396,686,282,31,251,25,0,11,50,69,76,20,0,1803,277,1526,388,111,608,152,100,144,0,23
"Lee County, South Carolina","45061",15792,3574,12218,3942,1726,2599,1650,1036,791,156,318,13021,2844,10177,3490,1345,2016,1374,871,715,142,224,2456,668,1788,441,349,424,276,165,76,14,43,46,29,17,11,0,6,0,0,0,0,0,269,33,236,0,32,153,0,0,0,0,51
"Lexington County, South Carolina","45063",205311,23089,182222,31819,17377,31158,26526,31304,18342,6947,18749,114281,13716,100565,19294,9892,16405,14984,17278,10141,3462,9109,76256,7121,69135,10759,6141,10661,9855,12593,7048,3266,8812,2695,398,2297,303,184,414,334,408,319,193,142,12079,1854,10225,1463,1160,3678,1353,1025,834,26,686
"McCormick County, South Carolina","45065",8960,1727,7233,1783,838,1535,1112,843,642,108,372,5265,1184,4081,1165,610,935,689,312,223,37,110,3509,521,2988,542,221,586,403,515,408,71,242,40,3,37,4,7,11,12,0,0,0,3,146,19,127,72,0,3,8,16,11,0,17
"Marion County, South Carolina","45067",26786,4015,22771,6301,4119,4448,3083,2262,1237,308,1013,20848,2925,17923,5294,3298,3440,2301,1786,853,182,769,5047,948,4099,967,682,664,656,417,360,118,235,63,36,27,18,9,0,0,0,0,0,0,828,106,722,22,130,344,126,59,24,8,9
"Marlboro County, South Carolina","45069",23808,5795,18013,5376,3124,3710,2371,1952,741,276,463,16726,3895,12831,4025,2250,2820,1728,1240,393,161,214,6519,1619,4900,1230,797,876,625,696,343,115,218,118,49,69,17,31,0,10,11,0,0,0,445,232,213,104,46,14,8,5,5,0,31
"Newberry County, South Carolina","45071",30256,3741,26515,5790,3122,4875,4168,4465,2014,556,1525,22207,2433,19774,4506,2525,3585,3165,3150,1491,417,935,5975,594,5381,1192,464,861,734,1018,471,139,502,175,26,149,0,0,42,41,56,0,0,10,1899,688,1211,92,133,387,228,241,52,0,78
"Oconee County, South Carolina","45073",60823,7542,53281,12550,7117,9321,7205,7058,4336,1535,4159,34225,4707,29518,7472,4475,5205,4247,3670,2212,748,1489,23907,2414,21493,4685,2275,3615,2524,3125,1994,716,2559,302,61,241,41,69,74,33,0,0,11,13,2389,360,2029,352,298,427,401,263,130,60,98
"Orangeburg County, South Carolina","45075",74835,13001,61834,18297,7582,11584,8355,6975,4362,1649,3030,56903,9375,47528,14515,5853,8922,6503,5303,3203,1159,2070,15818,3217,12601,3370,1567,2216,1675,1446,1020,486,821,457,32,425,198,22,28,60,34,53,4,26,1657,377,1280,214,140,418,117,192,86,0,113
"Pickens County, South Carolina","45077",98602,12115,86487,26116,10301,15021,10429,10596,6276,2355,5393,57378,7473,49905,15039,6526,8743,6609,6050,3233,1395,2310,36242,3711,32531,10046,3263,5282,3262,4151,2802,891,2834,702,130,572,155,76,125,132,13,22,12,37,4280,801,3479,876,436,871,426,382,219,57,212
