"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Alabama","01",3108132,578837,987491,866728,430068,245008,2075473,426669,715673,562355,243375,127401,891065,111913,239525,276736,164006,98885,24452,1697,5725,8700,5337,2993,117142,38558,26568,18937,17350,15729
"Alaska","02",429979,39945,117637,156285,74901,41211,99335,14005,36809,34056,10862,3603,279967,15742,68847,106817,55550,33011,8960,651,2173,3685,1487,964,41717,9547,9808,11727,7002,3633
"Arizona","04",4017638,604363,1008463,1347437,672317,385058,804170,126755,231375,297310,104196,44534,2455941,192061,605071,900167,477410,281232,49987,5014,9979,19157,10411,5426,707540,280533,162038,130803,80300,53866
"Arkansas","05",1885607,340704,665899,518244,240558,120202,1049735,194894,399443,275962,122875,56561,731388,103670,241555,225379,105585,55199,11922,896,3866,3990,2148,1022,92562,41244,21035,12913,9950,7420
"California","06",23497945,4539748,5049169,6845338,4516776,2546914,8667350,833617,2140549,3250062,1663118,780004,6003806,517597,1183130,1939183,1405760,958136,298291,40297,57332,96409,67580,36673,8528498,3148237,1668158,1559684,1380318,772101
"Colorado","08",3201139,342256,747052,963082,737279,411470,941054,98923,282966,311441,175182,72542,1838510,103336,370660,574329,495717,294468,44625,2634,8612,14868,12431,6080,376950,137363,84814,62444,53949,38380
"Connecticut","09",2398283,279399,685158,590151,476316,367259,1126899,100004,387861,311688,202969,124377,783842,56835,164594,184730,200440,177243,92885,35319,27809,17659,6983,5115,394657,87241,104894,76074,65924,60524
"Delaware","10",587903,76146,189132,159974,97543,65108,212865,29235,83378,58417,28492,13343,307748,29885,92166,88997,56265,40435,9939,2553,2276,2709,1610,791,57351,14473,11312,9851,11176,10539
"District of Columbia","11",399457,53953,79659,69332,87682,108831,119771,20780,41463,30881,15318,11329,209794,18048,28843,29138,58590,75175,6253,497,500,808,1941,2507,63639,14628,8853,8505,11833,19820
"Florida","12",12788471,1880402,3868678,3725980,2144046,1169365,2513406,373930,855858,759132,358689,165797,6828116,674067,2051366,2158504,1244596,699583,426853,82662,116589,128875,67508,31219,3020096,749743,844865,679469,473253,272766
"Georgia","13",6052410,999844,1792051,1613469,1061551,585495,2846794,584335,1038265,711443,343027,169724,2417584,202325,570447,750111,574506,320195,72275,5950,17105,23504,17017,8699,715757,207234,166234,128411,127001,86877
"Hawaii","15",903810,92445,261791,283479,177727,88368,433254,39487,151477,132755,76693,32842,240840,7827,46486,85750,60073,40704,25721,2287,8102,8342,4837,2153,203995,42844,55726,56632,36124,12669
"Idaho","16",952630,112587,274745,333911,159376,72011,345083,32524,113907,128210,52715,17727,530450,48570,144259,190305,98289,49027,8862,619,2300,3392,1672,879,68235,30874,14279,12004,6700,4378
"Illinois","17",8345982,1151003,2324361,2343734,1573705,953179,4927735,477382,1528292,1583995,879023,459043,1868423,212176,419711,489884,436231,310421,91928,23609,21231,23317,14701,9070,1457896,437836,355127,246538,243750,174645
"Indiana","18",4165617,574447,1506526,1150352,597152,337140,2632064,326396,1052805,743477,343238,166148,1292268,177991,396098,364238,216799,137142,25503,3120,6963,7810,4993,2617,215782,66940,50660,34827,32122,31233
"Iowa","19",1985012,199576,682824,615966,337255,149391,1397280,122473,529502,447883,220898,76524,486543,44087,131751,150387,101931,58387,8926,735,2198,3184,1884,925,92263,32281,19373,14512,12542,13555
"Kansas","20",1802904,194580,520501,558732,347368,181723,943822,82824,312822,307913,166538,73725,707630,59429,173937,224961,159163,90140,14032,920,3329,4864,3386,1533,137420,51407,30413,20994,18281,16325
"Kentucky","21",2856001,543787,982494,748749,345689,235282,1942706,415413,722828,486802,191620,126043,798242,102093,230575,239437,135068,91069,18057,1649,4720,6363,3202,2123,96996,24632,24371,16147,15799,16047
