"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Alabama","01",4712651,302659,829644,472216,597185,633270,685414,301166,113367,142513,353234,281983,3317588,265403,657985,318727,385039,400120,446813,206923,78751,98768,252692,206367,1201753,34595,152168,123925,163035,194290,211027,86036,32032,40609,93334,70702,35375,772,4604,5547,6608,6950,7443,1590,460,381,579,441,157935,1889,14887,24017,42503,31910,20131,6617,2124,2755,6629,4473
"Alaska","02",691189,51360,133787,76063,94389,96353,110482,47444,14318,16839,32019,18135,270407,42192,89865,39015,33517,22900,21158,8450,2327,2398,5492,3093,356021,8049,38025,29980,50297,60158,76710,34042,10566,12409,22921,12864,14999,835,2947,2257,2467,2545,2319,979,196,184,125,145,49762,284,2950,4811,8108,10750,10295,3973,1229,1848,3481,2033
"Arizona","04",6246816,463060,1150441,615677,853236,828522,820262,360930,138141,183319,462410,370818,2264402,399224,775242,285766,266474,194375,166371,56354,18587,21997,45939,34073,3026174,53875,290305,226053,374471,428983,505522,252044,100310,138573,356626,299412,71615,2596,10356,8676,13240,12162,13005,3843,1428,1108,2860,2341,884625,7365,74538,95182,199051,193002,135364,48689,17816,21641,56985,34992
"Arkansas","05",2872684,195486,510775,280816,369430,374462,399719,178042,67250,90809,223331,182564,1755531,164496,369279,172021,208576,196550,210795,100384,39441,51315,131345,111329,976384,29033,126026,89937,125362,147390,168901,71862,26200,36959,87093,67621,18323,460,3448,2493,3150,3521,3582,811,233,170,197,258,122446,1497,12022,16365,32342,27001,16441,4985,1376,2365,4696,3356
"California","06",36637290,2545065,6780264,3814016,5236909,5288140,5147450,2093293,740587,930970,2135547,1925049,19406052,2386734,5784036,2567932,2445657,2017246,1955297,732214,248780,290255,530116,447785,6850819,92150,380794,374069,771396,903148,1252399,650602,253608,341892,890468,940293,417947,16508,59370,43778,63465,75029,76481,27680,8674,9927,19810,17225,9962472,49673,556064,828237,1956391,2292717,1863273,682797,229525,288896,695153,519746
"Colorado","08",4887061,339998,862532,483392,700084,703580,732578,307777,107665,134433,283790,231232,2062427,294299,591205,235869,244144,202720,209371,82560,27191,34065,76056,64947,2279545,38636,215666,186733,329632,379328,437191,199609,71237,89872,182969,148672,65320,1902,10352,8441,11797,12446,13320,2938,925,706,1376,1117,479769,5161,45309,52349,114511,109086,72696,22670,8312,9790,23389,16496
"Connecticut","09",3545837,205479,622044,320031,410082,513028,564213,229099,81956,108202,240127,251576,1961149,177551,466336,190363,197803,242782,273866,104490,35734,48501,102684,121039,995285,22016,107676,81751,101000,150427,188388,84405,31437,41476,92354,94355,120223,2187,14957,10194,18659,21019,21213,8777,3509,4742,9214,5752,469180,3725,33075,37723,92620,98800,80746,31427,11276,13483,35875,30430
"Delaware","10",881278,56010,149259,88106,109970,120497,129825,55058,20938,28703,67891,55021,400606,46536,100532,40673,45835,46828,50627,19967,6657,8102,18937,15912,394310,8598,40724,37240,44135,55751,67031,30852,12624,18306,43773,35276,13831,287,2027,1578,2413,2160,2537,812,371,404,643,599,72531,589,5976,8615,17587,15758,9630,3427,1286,1891,4538,3234
"District of Columbia","11",584400,32422,70668,81853,113833,81602,74988,33689,12634,15603,35237,31871,224428,25910,53281,25466,28295,27386,29564,11923,3850,4333,8370,6050,275586,5699,13200,46893,63173,36964,32705,16588,6795,9129,22382,22058,8328,85,697,1293,2154,1764,1256,450,179,96,196,158,76058,728,3490,8201,20211,15488,11463,4728,1810,2045,4289,3605
"Florida","12",18511620,1080506,2932584,1710059,2249923,2510125,2668334,1162393,447540,616051,1633014,1501091,6323660,956323,2006756,847175,746102,592573,553911,193721,62806,75233,162275,126785,8068755,96502,625508,518629,821403,1116750,1380716,685553,278214,396495,1082521,1066464,569695,10713,77222,54907,90359,96164,92005,35157,13637,19319,45510,34702,3549510,16968,223098,289348,592059,704638,641702,247962,92883,125004,342708,273140
