"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Atlantic County, New Jersey","34001",185318,30152,61996,48528,30006,14636,81391,9517,30057,23236,12921,5660,59811,6437,19459,17463,10653,5799,6244,2352,2217,1025,411,239,37872,11846,10263,6804,6021,2938
"Bergen County, New Jersey","34003",635424,56391,156987,132985,181019,108042,209165,12733,62471,49814,55716,28431,180191,7577,36674,38320,56350,41270,10403,2073,2936,2167,1962,1265,235665,34008,54906,42684,66991,37076
"Burlington County, New Jersey","34005",307746,26393,92708,83538,67871,37236,128948,10233,44583,36078,26314,11740,135644,8938,37081,38485,32251,18889,6345,867,1862,1859,1010,747,36809,6355,9182,7116,8296,5860
"Camden County, New Jersey","34007",342579,45981,109044,89310,63029,35215,144058,15985,52181,41116,24407,10369,139698,13088,41835,37752,29050,17973,14074,6055,4123,2520,972,404,44749,10853,10905,7922,8600,6469
"Cape May County, New Jersey","34009",71072,7605,25898,17974,12756,6839,26352,2406,9794,7322,4884,1946,40109,3839,14785,9888,7183,4414,852,207,402,161,36,46,3759,1153,917,603,653,433
"Cumberland County, New Jersey","34011",104345,23922,41347,24434,10487,4155,60543,10148,26467,15590,6134,2204,24040,4484,9222,5917,3048,1369,7064,3512,2107,1249,172,24,12698,5778,3551,1678,1133,558
"Essex County, New Jersey","34013",515238,87917,148148,115307,99307,64559,208468,24403,67088,53540,41743,21694,119885,13745,26754,24802,29277,25307,22095,8972,6467,3890,1825,941,164790,40797,47839,33075,26462,16617
"Gloucester County, New Jersey","34015",191400,17708,65883,54121,37074,16614,91352,7156,34406,26473,16552,6765,85337,7598,28127,24555,16997,8060,2391,486,654,617,345,289,12320,2468,2696,2476,3180,1500
"Hudson County, New Jersey","34017",441933,80906,116311,86033,101201,57482,116775,13609,39709,25401,26244,11812,79529,6449,14282,17136,26701,14961,21754,7712,6651,4054,2147,1190,223875,53136,55669,39442,46109,29519
"Hunterdon County, New Jersey","34019",88992,5125,20106,20922,24849,17990,48191,2647,13301,11930,13219,7094,30399,1102,5096,6593,9290,8318,1053,146,167,283,131,326,9349,1230,1542,2116,2209,2252
"Mercer County, New Jersey","34021",243587,31240,63368,55838,49724,43417,106355,10629,35249,29930,20109,10438,67237,5086,12844,14582,17269,17456,7491,2290,2454,1627,691,429,62504,13235,12821,9699,11655,15094
"Middlesex County, New Jersey","34023",543847,60913,148984,117752,130577,85621,194747,14225,72560,52047,38532,17383,121502,7449,32929,31780,28413,20931,16067,5362,5095,2889,1741,980,211531,33877,38400,31036,61891,46327
"Monmouth County, New Jersey","34025",430374,34855,114032,108043,108569,64875,199905,11596,59764,52056,51793,24696,152326,7473,34385,40735,41909,27824,6542,1447,1880,1703,962,550,71601,14339,18003,13549,13905,11805
"Morris County, New Jersey","34027",340991,23002,78855,71999,100452,66683,162937,7110,44518,39077,47119,25113,92974,2886,15326,18543,31788,24431,4891,867,1360,1105,888,671,80189,12139,17651,13274,20657,16468
"Ocean County, New Jersey","34029",398506,41022,149927,108111,67285,32161,228511,18937,92879,62509,38299,15887,123658,9887,43361,35347,21988,13075,6831,1529,2001,1967,917,417,39506,10669,11686,8288,6081,2782
"Passaic County, New Jersey","34031",324818,59765,112295,68859,56495,27404,130215,12418,48398,31488,26073,11838,53367,5956,15400,13110,11720,7181,24887,10486,8416,3503,1883,599,116349,30905,40081,20758,16819,7786
"Salem County, New Jersey","34033",45107,6438,17201,12901,5944,2623,26543,3339,11318,7538,3239,1109,15602,2131,5122,4558,2433,1358,682,221,279,112,66,4,2280,747,482,693,206,152
"Somerset County, New Jersey","34035",221964,15403,49515,44834,61909,50303,91503,4447,24022,22694,26168,14172,61606,2183,10328,12155,19630,17310,3080,541,878,620,754,287,65775,8232,14287,9365,15357,18534
"Sussex County, New Jersey","34037",102229,6831,32480,30578,21644,10696,62331,4136,22282,18562,12390,4961,29436,1301,7446,9244,7282,4163,1258,211,327,449,126,145,9204,1183,2425,2323,1846,1427
"Union County, New Jersey","34039",359658,53524,109736,82672,69495,44231,140498,9960,46753,36469,30879,16437,74777,5893,17168,16494,19637,15585,9674,2213,3451,2460,938,612,134709,35458,42364,27249,18041,11597
"Warren County, New Jersey","34041",74388,7936,26451,18378,14687,6936,44263,4471,17690,11095,7827,3180,20612,1538,6130,5214,4979,2751,950,306,284,145,78,137,8563,1621,2347,1924,1803,868
