"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Atlantic County, New Jersey","34001",26924,26558,31623,21077,23868
"Bergen County, New Jersey","34003",40151,38025,48830,30760,36290
"Burlington County, New Jersey","34005",37142,34500,41909,36335,32062
"Camden County, New Jersey","34007",30428,28538,35801,18170,26307
"Cape May County, New Jersey","34009",29947,29630,31383,22313,20340
"Cumberland County, New Jersey","34011",24677,26655,25782,16323,19582
"Essex County, New Jersey","34013",29413,30237,37404,19948,26071
"Gloucester County, New Jersey","34015",34859,32094,38618,31277,31671
"Hudson County, New Jersey","34017",31149,31278,48461,20811,27159
"Hunterdon County, New Jersey","34019",46124,42456,52768,41949,41879
"Mercer County, New Jersey","34021",32336,31142,40190,21465,29887
"Middlesex County, New Jersey","34023",36263,33602,41827,23727,37210
"Monmouth County, New Jersey","34025",37628,36194,45753,30298,28569
"Morris County, New Jersey","34027",43704,42529,53990,31716,37448
"Ocean County, New Jersey","34029",30146,30713,31665,23592,22844
"Passaic County, New Jersey","34031",27490,30716,37043,18844,24292
"Salem County, New Jersey","34033",29921,30139,31345,19443,23567
"Somerset County, New Jersey","34035",44517,40851,55164,41319,42838
"Sussex County, New Jersey","34037",37885,36172,42455,31173,39363
"Union County, New Jersey","34039",31242,33545,40830,27453,26345
"Warren County, New Jersey","34041",34518,32849,40810,26423,31024
