"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Atlantic County, New Jersey","34001",266648,34002,23671,208975,146440,19463,12645,114332,68234,6763,4755,56716,7916,1817,1294,4805,44058,5959,4977,33122
"Bergen County, New Jersey","34003",896852,59409,41895,795548,385760,22497,15707,347556,233046,11208,8087,213751,13928,1348,785,11795,264118,24356,17316,222446
"Burlington County, New Jersey","34005",436462,24795,20176,391491,227344,14279,10777,202288,159823,6787,6305,146731,7953,588,496,6869,41342,3141,2598,35603
"Camden County, New Jersey","34007",506571,61493,36158,408920,265722,36284,18323,211115,171234,12885,9853,148496,16721,4677,2502,9542,52894,7647,5480,39767
"Cape May County, New Jersey","34009",94742,9186,7112,78444,44724,4345,3003,37376,44334,3879,3456,36999,1134,151,18,965,4550,811,635,3104
"Cumberland County, New Jersey","34011",145554,23460,14747,107347,96881,14961,8372,73548,26007,3188,2909,19910,7246,2052,982,4212,15420,3259,2484,9677
"Essex County, New Jersey","34013",763865,122618,66939,574308,395177,72204,31971,291002,153022,17245,10656,125121,26161,6342,3375,16444,189505,26827,20937,141741
"Gloucester County, New Jersey","34015",283211,21691,13972,247548,160849,13606,8327,138916,105162,5940,4651,94571,2708,368,262,2078,14492,1777,732,11983
"Hudson County, New Jersey","34017",629507,99109,60253,470145,237894,42537,23428,171929,107541,11347,6321,89873,26055,5674,3356,17025,258017,39551,27148,191318
"Hunterdon County, New Jersey","34019",123931,4739,3784,115408,76952,2936,2482,71534,35205,1015,994,33196,1249,103,36,1110,10525,685,272,9568
"Mercer County, New Jersey","34021",347076,37378,21109,288589,183508,21525,10537,151446,81975,6235,3328,72412,9129,1482,1017,6630,72464,8136,6227,58101
"Middlesex County, New Jersey","34023",787665,63123,41880,682662,368629,30065,18314,320250,156438,9641,5327,141470,19405,3008,1988,14409,243193,20409,16251,206533
"Monmouth County, New Jersey","34025",622672,41398,30988,550286,348977,23553,16046,309378,184112,8616,6994,168502,7918,774,561,6583,81665,8455,7387,65823
"Morris County, New Jersey","34027",485889,20447,17482,447960,278420,10534,8693,259193,109748,3472,2445,103831,6142,455,341,5346,91579,5986,6003,79590
"Ocean County, New Jersey","34029",568350,57964,42797,467589,370376,36183,25937,308256,144103,14431,10584,119088,9027,2037,977,6013,44844,5313,5299,34232
"Passaic County, New Jersey","34031",491715,77616,47859,366240,258171,40886,21069,196216,66289,7695,3505,55089,30552,7840,6247,16465,136703,21195,17038,98470
"Salem County, New Jersey","34033",64994,7296,5652,52046,40692,4847,3861,31984,21002,1889,1392,17721,733,183,9,541,2567,377,390,1800
"Somerset County, New Jersey","34035",320287,14465,12117,293705,169410,7386,6139,155885,73372,2302,1900,69170,3853,125,152,3576,73652,4652,3926,65074
"Sussex County, New Jersey","34037",147311,7722,5993,133596,100623,5256,4456,90911,35090,1584,1004,32502,1484,105,62,1317,10114,777,471,8866
"Union County, New Jersey","34039",529632,54978,36899,437755,265957,27395,16210,222352,95779,8177,4575,83027,12694,1967,1441,9286,155202,17439,14673,123090
"Warren County, New Jersey","34041",106829,7670,5534,93625,70358,5320,3529,61509,25737,1567,1084,23086,1126,97,130,899,9608,686,791,8131
