"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Alabama","01",38.6,35.9,44.2,38.3,38.1
"Alaska","02",33.3,20.4,44.6,30.9,44.4
"Arizona","04",36.9,19,50.9,32.3,43.3
"Arkansas","05",37.8,33.1,45.2,31.3,37.6
"California","06",36,23.9,54,37.2,45.7
"Colorado","08",36.3,22.8,46,37.6,40.7
"Connecticut","09",40.5,32.3,49.2,43.4,44.1
"Delaware","10",39.6,27.9,49.4,40.7,40.6
"District of Columbia","11",33.8,27.3,34.9,36.1,37.3
"Florida","12",41.6,21.3,54.3,40.8,47.3
"Georgia","13",36.1,28.3,43.8,34.9,40.3
"Hawaii","15",38.1,32,38.6,35.3,48.1
"Idaho","16",35.9,25,45.8,33.1,40.4
"Illinois","17",37.5,32.2,46.6,39.3,43.8
"Indiana","18",37.4,33.9,45.4,40.6,37.5
"Iowa","19",38.2,37.6,40.2,31,37.3
"Kansas","20",36.2,31,43.4,36,37.6
"Kentucky","21",38.5,36.8,42.6,34.8,36
"Louisiana","22",36.1,34.2,43.3,37.4,38.8
"Maine","23",44.1,40.2,49.8,45.5,45.9
"Maryland","24",38.3,27.6,46.5,36.1,42.2
"Massachusetts","25",39.4,35.2,43.8,40.3,42.7
"Michigan","26",39.6,36.2,50.9,38,42.9
"Minnesota","27",37.8,34.5,45.6,30.1,37.8
"Mississippi","28",36.7,34.4,42.4,39,37.8
"Missouri","29",38.5,34.1,46.3,37.6,39.5
"Montana","30",39.6,32.9,46.8,38.6,43.2
"Nebraska","31",36.2,33.3,42.3,32.7,37
"Nevada","32",37.4,13.3,45.9,39.5,44.5
"New Hampshire","33",42.5,28.7,49.4,39.1,46
"New Jersey","34",39.4,28.5,49.7,47.2,44.6
"New Mexico","35",37.2,27.3,49.3,41.3,42.8
"New York","36",38.2,32.2,41.6,48,45.7
"North Carolina","37",38.3,33.1,43.8,35.9,38.7
"North Dakota","38",35.1,36.1,34.2,28.6,34.4
"Ohio","39",39.4,36,49.7,38.7,40.9
"Oklahoma","40",36.2,31.1,44.8,36.5,36.9
"Oregon","41",39.3,26.9,49.6,34.9,41.4
"Pennsylvania","42",40.7,39.7,43.6,40.5,41.2
"Rhode Island","44",39.8,36,42.6,38.5,45.4
"South Carolina","45",38.8,33.8,45,38.1,39.6
"South Dakota","46",36.6,34.2,42.4,25.7,34.1
"Tennessee","47",38.6,33.4,45.7,34.7,37.8
"Texas","48",34.3,26.4,44.5,35.7,41.5
"Utah","49",30.5,24,39.2,31.2,38.7
"Vermont","50",42.8,36,48.2,37.4,45.4
"Virginia","51",37.7,28.8,44.6,35.2,41.1
"Washington","53",37.5,26.5,47.4,36.9,41.4
"West Virginia","54",41.9,42,41.8,41.4,39.9
"Wisconsin","55",39.2,36.6,45.1,38,39.2
"Wyoming","56",36.6,26.8,44.3,33.5,37.7
