"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Alabama","01",4849377,291160,817440,484011,615948,613234,651204,332246,128234,169388,434244,312268,3409230,259966,658983,346476,400616,389947,410955,217522,86636,115145,298500,224484,1238719,29380,140162,116407,170850,181334,208355,101238,37453,49626,124378,79536,44072,1139,6008,4641,8676,5698,7757,4369,1669,978,2201,936,157356,675,12287,16487,35806,36255,24137,9117,2476,3639,9165,7312
"Alaska","02",736732,53408,133361,84814,113774,93083,96361,50972,18394,22666,46227,23672,304277,44123,92859,44282,47858,25865,22814,9165,2576,4315,6656,3764,359770,8283,33713,32089,55205,53061,60331,34518,13650,16802,35211,16907,18013,505,3401,2918,2905,3361,2365,1752,301,63,163,279,54672,497,3388,5525,7806,10796,10851,5537,1867,1486,4197,2722
"Arizona","04",6731484,432663,1189408,673187,895519,839439,836539,411123,156127,226722,622516,448241,2622700,380385,872251,358335,347756,232332,177697,79130,26093,35158,70297,43266,3091404,42614,248416,225990,367760,394962,472701,261802,104326,159075,465182,348576,97821,3395,18177,13186,18834,13484,12500,7029,1779,2628,4221,2588,919559,6269,50564,75676,161169,198661,173641,63162,23929,29861,82816,53811
"Arkansas","05",2966369,190396,515744,291815,378309,374567,380913,192353,72422,104838,268763,196249,1812501,164267,386177,181382,215229,200225,196084,102282,39403,57829,151702,117921,993733,24641,117260,93464,123450,135746,159817,82901,29228,43787,109422,74017,20138,486,3113,2884,4608,4026,2730,783,296,176,659,377,139997,1002,9194,14085,35022,34570,22282,6387,3495,3046,6980,3934
"California","06",38802500,2511692,6639887,3996629,5722924,5184418,5235948,2421544,895484,1203882,2836598,2153494,21322694,2341168,5751929,2993682,3148310,2077450,1981558,912947,324570,426008,859801,505271,6470238,95423,392833,357353,759116,752836,990177,591588,255095,351745,1002009,922063,497169,25109,75873,47510,84926,72604,77833,35996,12438,15816,29119,19945,10512399,49992,419252,598084,1730572,2281528,2186380,881013,303381,410313,945669,706215
"Colorado","08",5355866,332058,915087,524258,798685,724786,711280,350888,132391,186861,409895,269677,2296599,289867,676329,256834,296888,214678,203553,101785,34703,50107,99431,72424,2439470,35665,194700,212621,374657,363714,396571,210264,84649,120411,274008,172210,81553,2078,11001,10784,13192,16294,14049,7153,1764,2012,1720,1506,538244,4448,33057,44019,113948,130100,97107,31686,11275,14331,34736,23537
"Connecticut","09",3596677,188862,586014,349983,438421,441421,549077,267359,95078,124934,304711,250817,1992919,161776,443376,212034,235229,200228,262945,128443,46255,55466,134740,112427,977382,20576,97800,89597,99224,117780,169659,88431,33659,48054,116855,95747,134457,1941,15782,11487,18651,23675,22900,11005,3310,5565,11617,8524,491919,4569,29056,36865,85317,99738,93573,39480,11854,15849,41499,34119
"Delaware","10",935614,56010,147832,91429,121964,111621,128366,68820,23699,32114,91578,62181,426504,46781,104406,43034,52988,43720,48663,25049,8709,10423,24618,18113,413036,8459,37115,39707,49375,45659,64575,37487,13005,19064,58597,39993,15774,280,1133,1802,2014,4165,2596,1681,240,580,843,440,80300,490,5178,6886,17587,18077,12532,4603,1745,2047,7520,3635
"District of Columbia","11",658893,42763,72267,80652,150211,92877,76790,36171,13563,19134,41946,32519,238581,32511,49635,27194,33951,25247,26750,14059,5275,6489,11138,6332,316189,8329,16054,43159,91286,45597,32989,15184,6404,10154,24522,22511,12174,472,1036,1494,2894,2200,1485,1355,141,348,107,642,91949,1451,5542,8805,22080,19833,15566,5573,1743,2143,6179,3034
"Florida","12",19893297,1077572,2976451,1798078,2512629,2432609,2730745,1334879,515057,724323,2083890,1707064,7176103,949956,2161353,991192,1003809,647430,586945,259774,86582,104769,231174,153119,8065349,91631,538193,482952,821482,921958,1276741,713937,294896,425276,1343671,1154612,678330,14679,85011,62513,110248,111897,96366,47129,16215,25350,62603,46319,3973515,21306,191894,261421,577090,751324,770693,314039,117364,168928,446442,353014
"Georgia","13",10097343,654439,1836982,1029514,1375152,1384956,1390329,622843,235163,319095,768963,479907,5613438,578697,1384169,602724,664965,595743,591281,290686,111269,154691,378867,260346,3350747,65184,375043,322850,471824,513877,588619,262786,100388,137125,327574,185477,138507,4383,20364,16249,28480,25491,22011,8514,3027,2217,5200,2571,994651,6175,57406,87691,209883,249845,188418,60857,20479,25062,57322,31513
"Hawaii","15",1419561,91007,217347,136621,210810,176248,178931,92042,37432,51062,127000,101061,753553,74600,157486,74699,95392,76797,76236,39599,17096,23781,58841,59026,366795,12808,37280,42173,73125,47038,48923,26585,11050,14829,35921,17063,48941,1976,7653,6238,8458,7044,6780,4755,1290,1240,1877,1630,250272,1623,14928,13511,33835,45369,46992,21103,7996,11212,30361,23342
"Idaho","16",1634464,111707,319558,158006,211307,202500,196806,99858,42061,57682,140968,94011,792239,93809,224428,77790,99411,80920,67152,35919,15574,19750,43927,33559,729904,17580,83461,68211,92164,95776,108804,57124,24276,35255,90522,56731,14968,198,2644,1987,3094,2044,3369,718,174,284,341,115,97353,120,9025,10018,16638,23760,17481,6097,2037,2393,6178,3606
"Illinois","17",12880580,789126,2195608,1256770,1777446,1681898,1768994,876596,320725,425563,1002919,784935,8673103,719308,1884281,939455,1088812,957357,1073266,536024,187913,255806,568498,462383,2280534,56296,218780,186141,335355,292839,342853,191471,74603,100320,271715,210161,142540,4483,19784,14531,23406,20544,19536,9414,3889,4352,13062,9539,1784403,9039,72763,116643,329873,411158,333339,139687,54320,65085,149644,102852
"Indiana","18",6596855,418024,1165650,670265,843079,832070,887498,449629,165007,224139,535455,406039,4508289,374397,946836,452061,537559,530560,565677,291667,106781,142308,320818,239625,1728218,40746,186526,177276,228452,220499,264986,137671,51152,74340,195368,151202,40768,589,4355,3286,6282,9411,7622,3748,827,890,2393,1365,319580,2292,27933,37642,70786,71600,49213,16543,6247,6601,16876,13847
"Iowa","19",3107126,193571,532020,318801,390194,365753,409347,214912,83896,108004,259096,231532,2212549,167074,413350,208118,253935,232920,279149,155075,60367,78269,187924,176368,724199,23829,100261,88714,101868,93491,102986,51320,20952,26018,64670,50090,17057,1031,3046,1996,3029,2306,2659,980,626,343,567,474,153321,1637,15363,19973,31362,37036,24553,7537,1951,3374,5935,4600
"Kansas","20",2904021,199348,523139,300013,387054,349971,364467,190126,71779,100591,226755,190778,1702619,167909,381510,176693,206179,163684,182243,102306,39307,54222,119248,109318,971325,27728,121008,95265,131525,133089,147757,75488,28257,40975,96077,74156,25657,1641,3233,2637,4968,4737,4136,2458,651,542,411,243,204420,2070,17388,25418,44382,48461,30331,9874,3564,4852,11019,7061
"Kentucky","21",4413457,274632,740671,430973,562906,559455,613459,309695,110892,157752,385378,267644,3073585,235352,589969,284959,354721,357697,392200,205751,71830,108929,270815,201362,1151386,36454,131291,122548,162600,165313,192692,92326,36011,45496,106325,60330,26446,873,2468,4358,5653,4087,4360,2230,851,331,728,507,162040,1953,16943,19108,39932,32358,24207,9388,2200,2996,7510,5445
"Louisiana","22",4649676,305454,809330,474204,660444,578342,603300,313787,114032,159613,372329,258841,3614295,281531,697483,371003,495123,414557,451392,232656,85607,117658,273266,194019,810618,21121,94952,81001,115935,115174,117763,65684,24812,33864,84746,55566,30486,906,4661,3262,4261,5273,6361,2451,482,772,956,1101,194277,1896,12234,18938,45125,43338,27784,12996,3131,7319,13361,8155
"Maine","23",1330089,62917,195055,112710,152283,156180,201870,107922,42718,55870,140191,102373,842300,55369,152848,72997,93837,94073,114665,59135,22918,33650,79965,62843,425012,6057,37450,33698,49709,52716,76703,43321,18213,19709,54272,33164,13091,737,1113,1242,1270,2030,2414,1630,207,585,917,946,49686,754,3644,4773,7467,7361,8088,3836,1380,1926,5037,5420
"Maryland","24",5976407,367283,983892,562419,827460,771141,877068,415303,145185,204485,479017,343154,2839795,301660,691908,318027,350581,266430,331898,155095,52316,72977,168376,130527,2163289,57506,224217,176015,281760,292072,366940,189207,71663,101212,238702,163995,82884,1808,14659,8455,15627,12461,14650,6073,1693,1826,3530,2102,890439,6309,53108,59922,179492,200178,163580,64928,19513,28470,68409,46530
"Massachusetts","25",6745408,365967,1024718,700372,928715,839355,985071,472156,177357,236120,563406,452171,4166418,328821,840458,429577,474927,409547,556400,271372,105369,135147,331202,283598,1329580,25205,104206,163040,215571,183636,206401,107082,40322,58057,133576,92484,189129,4042,21651,19246,33163,30962,32633,15000,4734,6701,13786,7211,1060281,7899,58403,88509,205054,215210,189637,78702,26932,36215,84842,68878
